WELL,CELL,SIRNA,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
C03,HCT116,ARMC5 pool,Triptolide 1 µM,480,Total Pol,Goat anti-mouse 568
D03,HCT116,ARMC5 pool,Triptolide 1 µM,240,Total Pol,Goat anti-mouse 568
E03,HCT116,ARMC5 pool,Triptolide 1 µM,120,Total Pol,Goat anti-mouse 568
G03,HCT116,ARMC5 pool,Triptolide 1 µM,60,Total Pol,Goat anti-mouse 568
F03,HCT116,ARMC5 pool,Triptolide 1 µM,20,Total Pol,Goat anti-mouse 568
H03,HCT116,ARMC5 pool,0,0,No primary,Goat anti-mouse 568
I03,HCT116,ARMC5 pool,Triptolide 1 µM,20,Total Pol,Goat anti-mouse 568
J03,HCT116,ARMC5 pool,Triptolide 1 µM,60,Total Pol,Goat anti-mouse 568
K03,HCT116,ARMC5 pool,Triptolide 1 µM,120,Total Pol,Goat anti-mouse 568
L03,HCT116,ARMC5 pool,Triptolide 1 µM,240,Total Pol,Goat anti-mouse 568
M03,HCT116,ARMC5 pool,Triptolide 1 µM,480,Total Pol,Goat anti-mouse 568
C04,HCT116,ARMC5 pool,LDC4297 10 µM,480,Total Pol,Goat anti-mouse 568
D04,HCT116,ARMC5 pool,LDC4297 10 µM,240,Total Pol,Goat anti-mouse 568
E04,HCT116,ARMC5 pool,LDC4297 10 µM,120,Total Pol,Goat anti-mouse 568
G04,HCT116,ARMC5 pool,LDC4297 10 µM,60,Total Pol,Goat anti-mouse 568
F04,HCT116,ARMC5 pool,LDC4297 10 µM,20,Total Pol,Goat anti-mouse 568
H04,HCT116,ARMC5 pool,0,0,Total Pol,Goat anti-mouse 568
I04,HCT116,ARMC5 pool,LDC4297 10 µM,20,Total Pol,Goat anti-mouse 568
J04,HCT116,ARMC5 pool,LDC4297 10 µM,60,Total Pol,Goat anti-mouse 568
K04,HCT116,ARMC5 pool,LDC4297 10 µM,120,Total Pol,Goat anti-mouse 568
L04,HCT116,ARMC5 pool,LDC4297 10 µM,240,Total Pol,Goat anti-mouse 568
M04,HCT116,ARMC5 pool,LDC4297 10 µM,480,Total Pol,Goat anti-mouse 568
C05,HCT116,ARMC5 pool,THZ1 1 µM,480,Total Pol,Goat anti-mouse 568
D05,HCT116,ARMC5 pool,THZ1 1 µM,240,Total Pol,Goat anti-mouse 568
E05,HCT116,ARMC5 pool,THZ1 1 µM,120,Total Pol,Goat anti-mouse 568
G05,HCT116,ARMC5 pool,THZ1 1 µM,60,Total Pol,Goat anti-mouse 568
F05,HCT116,ARMC5 pool,THZ1 1 µM,20,Total Pol,Goat anti-mouse 568
H05,HCT116,ARMC5 pool,0,0,No primary,Goat anti-mouse 568
I05,HCT116,ARMC5 pool,THZ1 1 µM,20,Total Pol,Goat anti-mouse 568
J05,HCT116,ARMC5 pool,THZ1 1 µM,60,Total Pol,Goat anti-mouse 568
K05,HCT116,ARMC5 pool,THZ1 1 µM,120,Total Pol,Goat anti-mouse 568
L05,HCT116,ARMC5 pool,THZ1 1 µM,240,Total Pol,Goat anti-mouse 568
M05,HCT116,ARMC5 pool,THZ1 1 µM,480,Total Pol,Goat anti-mouse 568
C06,HCT116,ARMC5 pool,AZD4573 1 µM,480,Total Pol,Goat anti-mouse 568
D06,HCT116,ARMC5 pool,AZD4573 1 µM,240,Total Pol,Goat anti-mouse 568
E06,HCT116,ARMC5 pool,AZD4573 1 µM,120,Total Pol,Goat anti-mouse 568
G06,HCT116,ARMC5 pool,AZD4573 1 µM,60,Total Pol,Goat anti-mouse 568
F06,HCT116,ARMC5 pool,AZD4573 1 µM,20,Total Pol,Goat anti-mouse 568
H06,HCT116,ARMC5 pool,0,0,Total Pol,Goat anti-mouse 568
I06,HCT116,ARMC5 pool,AZD4573 1 µM,20,Total Pol,Goat anti-mouse 568
J06,HCT116,ARMC5 pool,AZD4573 1 µM,60,Total Pol,Goat anti-mouse 568
K06,HCT116,ARMC5 pool,AZD4573 1 µM,120,Total Pol,Goat anti-mouse 568
L06,HCT116,ARMC5 pool,AZD4573 1 µM,240,Total Pol,Goat anti-mouse 568
M06,HCT116,ARMC5 pool,AZD4573 1 µM,480,Total Pol,Goat anti-mouse 568
