Well,Cell,Primary,Secondary
C3,HEK293 parental,Total Pol II,Anti-mouse 488
D3,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
E3,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
F3,HEK293 parental,Total Pol II,Anti-mouse 488
G3,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
H3,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
I3,HEK293 parental,Total Pol II,Anti-mouse 488
J3,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
K3,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
L3,HEK293 parental,Total Pol II,Anti-mouse 488
M3,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
N3,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
C4,HEK293 parental,Total Pol II,Anti-mouse 488
D4,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
E4,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
F4,HEK293 parental,Total Pol II,Anti-mouse 488
G4,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
H4,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
I4,HEK293 parental,Total Pol II,Anti-mouse 488
J4,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
K4,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
L4,HEK293 parental,Total Pol II,Anti-mouse 488
M4,HEK293 ARMC5 KO 1A3,Total Pol II,Anti-mouse 488
N4,HEK293 ARMC5 KO 2B6,Total Pol II,Anti-mouse 488
C5,HEK293 parental,pSer5 Pol II,Anti-rat 488
D5,HEK293 ARMC5 KO 1A3,pSer5 Pol II,Anti-rat 488
E5,HEK293 ARMC5 KO 2B6,pSer5 Pol II,Anti-rat 488
F5,HEK293 parental,pSer5 Pol II,Anti-rat 488
G5,HEK293 ARMC5 KO 1A3,pSer5 Pol II,Anti-rat 488
H5,HEK293 ARMC5 KO 2B6,pSer5 Pol II,Anti-rat 488
I5,HEK293 parental,pSer5 Pol II,Anti-rat 488
J5,HEK293 ARMC5 KO 1A3,pSer5 Pol II,Anti-rat 488
K5,HEK293 ARMC5 KO 2B6,pSer5 Pol II,Anti-rat 488
L5,HEK293 parental,pSer5 Pol II,Anti-rat 488
M5,HEK293 ARMC5 KO 1A3,pSer5 Pol II,Anti-rat 488
N5,HEK293 ARMC5 KO 2B6,pSer5 Pol II,Anti-rat 488
C6,HEK293 parental,pSer5 Pol II,Anti-rat 488
