Well name,Cell,Drug,Drug time,EU concentration,EU time
C3,HEK293 parental,LDC4297 10 µM,120 min,100 µM,15 min
D3,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,15 min
E3,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,15 min
F3,HEK293 parental,LDC4297 10 µM,120 min,100 µM,15 min
G3,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,15 min
H3,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,15 min
I3,HEK293 parental,LDC4297 10 µM,120 min,100 µM,30 min
J3,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,30 min
K3,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,30 min
L3,HEK293 parental,LDC4297 10 µM,120 min,100 µM,30 min
M3,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,30 min
N3,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,30 min
C4,HEK293 parental,THZ1 1 µM,120 min,100 µM,15 min
D4,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,15 min
E4,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,15 min
F4,HEK293 parental,THZ1 1 µM,120 min,100 µM,15 min
G4,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,15 min
H4,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,15 min
I4,HEK293 parental,THZ1 1 µM,120 min,100 µM,30 min
J4,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,30 min
K4,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,30 min
L4,HEK293 parental,THZ1 1 µM,120 min,100 µM,30 min
M4,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,30 min
N4,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,30 min
C5,HEK293 parental,Triptolide 300 nM,120 min,100 µM,15 min
D5,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,120 min,100 µM,15 min
E5,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,120 min,100 µM,15 min
F5,HEK293 parental,Triptolide 300 nM,120 min,100 µM,15 min
G5,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,120 min,100 µM,15 min
H5,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,120 min,100 µM,15 min
I5,HEK293 parental,Triptolide 300 nM,120 min,100 µM,30 min
J5,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,120 min,100 µM,30 min
K5,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,120 min,100 µM,30 min
L5,HEK293 parental,Triptolide 300 nM,120 min,100 µM,30 min
M5,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,120 min,100 µM,30 min
N5,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,120 min,100 µM,30 min
C6,HEK293 parental,AZD4573 1 µM,120 min,100 µM,15 min
D6,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,120 min,100 µM,15 min
E6,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,120 min,100 µM,15 min
F6,HEK293 parental,AZD4573 1 µM,120 min,100 µM,15 min
G6,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,120 min,100 µM,15 min
H6,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,120 min,100 µM,15 min
I6,HEK293 parental,AZD4573 1 µM,120 min,100 µM,30 min
J6,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,120 min,100 µM,30 min
K6,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,120 min,100 µM,30 min
L6,HEK293 parental,AZD4573 1 µM,120 min,100 µM,30 min
M6,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,120 min,100 µM,30 min
N6,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,120 min,100 µM,30 min
C7,HEK293 parental,DRB 100 µM,120 min,100 µM,15 min
D7,HEK293 ARMC5 KO 1A3,DRB 100 µM,120 min,100 µM,15 min
E7,HEK293 ARMC5 KO 2B6,DRB 100 µM,120 min,100 µM,15 min
F7,HEK293 parental,DRB 100 µM,120 min,100 µM,15 min
G7,HEK293 ARMC5 KO 1A3,DRB 100 µM,120 min,100 µM,15 min
H7,HEK293 ARMC5 KO 2B6,DRB 100 µM,120 min,100 µM,15 min
I7,HEK293 parental,DRB 100 µM,120 min,100 µM,30 min
J7,HEK293 ARMC5 KO 1A3,DRB 100 µM,120 min,100 µM,30 min
K7,HEK293 ARMC5 KO 2B6,DRB 100 µM,120 min,100 µM,30 min
L7,HEK293 parental,DRB 100 µM,120 min,100 µM,30 min
M7,HEK293 ARMC5 KO 1A3,DRB 100 µM,120 min,100 µM,30 min
N7,HEK293 ARMC5 KO 2B6,DRB 100 µM,120 min,100 µM,30 min
C8,HEK293 parental,Vehicle,120 min,100 µM,15 min
D8,HEK293 ARMC5 KO 1A3,Vehicle,120 min,100 µM,15 min
E8,HEK293 ARMC5 KO 2B6,Vehicle,120 min,100 µM,15 min
F8,HEK293 parental,Vehicle,120 min,100 µM,15 min
G8,HEK293 ARMC5 KO 1A3,Vehicle,120 min,100 µM,15 min
H8,HEK293 ARMC5 KO 2B6,Vehicle,120 min,100 µM,15 min
I8,HEK293 parental,Vehicle,120 min,100 µM,30 min
J8,HEK293 ARMC5 KO 1A3,Vehicle,120 min,100 µM,30 min
K8,HEK293 ARMC5 KO 2B6,Vehicle,120 min,100 µM,30 min
L8,HEK293 parental,Vehicle,120 min,100 µM,30 min
M8,HEK293 ARMC5 KO 1A3,Vehicle,120 min,100 µM,30 min
N8,HEK293 ARMC5 KO 2B6,Vehicle,120 min,100 µM,30 min
C9,HEK293 parental,LDC4297 10 µM,120 min,100 µM,60 min
D9,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,60 min
E9,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,60 min
F9,HEK293 parental,LDC4297 10 µM,120 min,100 µM,60 min
G9,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,120 min,100 µM,60 min
H9,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,120 min,100 µM,60 min
I9,HEK293 parental,None,None,None,15 min
C10,HEK293 parental,THZ1 1 µM,120 min,100 µM,60 min
D10,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,60 min
E10,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,60 min
F10,HEK293 parental,THZ1 1 µM,120 min,100 µM,60 min
G10,HEK293 ARMC5 KO 1A3,THZ1 1 µM,120 min,100 µM,60 min
H10,HEK293 ARMC5 KO 2B6,THZ1 1 µM,120 min,100 µM,60 min
I10,HEK293 parental,None,None,100 µM,15 min
C11,HEK293 parental,Triptolide 300 nM,120 min,100 µM,60 min
