Well name,Cell,Drug,Drug time,Primary,Secondary
C03,HEK293 parental,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
D03,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
E03,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
F03,HEK293 parental,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
G03,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
H03,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
I03,HEK293 parental,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
J03,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
K03,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
L03,HEK293 parental,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
M03,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
N03,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
C04,HEK293 parental,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
D04,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
E04,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
F04,HEK293 parental,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
G04,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
H04,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
I04,HEK293 parental,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
J04,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
K04,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
L04,HEK293 parental,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
M04,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
N04,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
C05,HEK293 parental,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
D05,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
E05,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
F05,HEK293 parental,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
G05,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
H05,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
I05,HEK293 parental,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
J05,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
K05,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
L05,HEK293 parental,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
M05,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
N05,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
C06,HEK293 parental,THZ1 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
D06,HEK293 ARMC5 KO 1A3,THZ1 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
E06,HEK293 ARMC5 KO 2B6,THZ1 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
F06,HEK293 parental,THZ1 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
G06,HEK293 ARMC5 KO 1A3,THZ1 1 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
