Well_name,Cell,Hybridisation
C03,HEK293 parental,ATTO647N poly(T)
D03,HEK293 ARMC5 KO 1A3,ATTO647N poly(T)
E03,HEK293 ARMC5 KO 2B6,ATTO647N poly(T)
F03,HEK293 parental,ATTO647N poly(T)
G03,HEK293 ARMC5 KO 1A3,ATTO647N poly(T)
H03,HEK293 ARMC5 KO 2B6,ATTO647N poly(T)
I03,HEK293 parental,ATTO647N poly(T)
J03,HEK293 ARMC5 KO 1A3,ATTO647N poly(T)
K03,HEK293 ARMC5 KO 2B6,ATTO647N poly(T)
C04,HEK293 parental,ATTO647N poly(T)
D04,HEK293 ARMC5 KO 1A3,ATTO647N poly(T)
E04,HEK293 ARMC5 KO 2B6,ATTO647N poly(T)
F04,HEK293 parental,ATTO647N poly(T)
G04,HEK293 ARMC5 KO 1A3,ATTO647N poly(T)
H04,HEK293 ARMC5 KO 2B6,ATTO647N poly(T)
I04,HEK293 parental,Negative
J04,HEK293 ARMC5 KO 1A3,Negative
K04,HEK293 ARMC5 KO 2B6,Negative
