gene_id	hgnc_symbol	condition	coverage	dataset	target	treatment
ENSG00000243485	MIR1302-2HG	WT	11.17051333	TSS	Total Pol II	UNT
ENSG00000243485	MIR1302-2HG	ARMC5.KO	15.61221286	TSS	Total Pol II	UNT
ENSG00000227232	WASH7P	WT	11.17051333	TSS	Total Pol II	UNT
ENSG00000227232	WASH7P	ARMC5.KO	15.61221286	TSS	Total Pol II	UNT
ENSG00000237491	LINC01409	WT	29.07197619	TSS	Total Pol II	UNT
ENSG00000237491	LINC01409	ARMC5.KO	41.74854762	TSS	Total Pol II	UNT
ENSG00000225880	LINC00115	WT	16.74622095	TSS	Total Pol II	UNT
ENSG00000225880	LINC00115	ARMC5.KO	26.77001571	TSS	Total Pol II	UNT
ENSG00000223764	LINC02593	WT	13.0752219	TSS	Total Pol II	UNT
ENSG00000223764	LINC02593	ARMC5.KO	13.379093	TSS	Total Pol II	UNT
ENSG00000187634	SAMD11	WT	8.215578095	TSS	Total Pol II	UNT
ENSG00000187634	SAMD11	ARMC5.KO	11.28827	TSS	Total Pol II	UNT
ENSG00000188976	NOC2L	WT	8.12511195	TSS	Total Pol II	UNT
ENSG00000188976	NOC2L	ARMC5.KO	11.38765519	TSS	Total Pol II	UNT
ENSG00000187583	PLEKHN1	WT	9.4534055	TSS	Total Pol II	UNT
ENSG00000187583	PLEKHN1	ARMC5.KO	11.3503935	TSS	Total Pol II	UNT
ENSG00000188290	HES4	WT	32.91004286	TSS	Total Pol II	UNT
ENSG00000188290	HES4	ARMC5.KO	47.40200952	TSS	Total Pol II	UNT
ENSG00000187608	ISG15	WT	33.74854	TSS	Total Pol II	UNT
ENSG00000187608	ISG15	ARMC5.KO	44.97908571	TSS	Total Pol II	UNT
ENSG00000131591	C1orf159	WT	6.425433333	TSS	Total Pol II	UNT
ENSG00000131591	C1orf159	ARMC5.KO	10.05947053	TSS	Total Pol II	UNT
ENSG00000078808	SDF4	WT	11.70994429	TSS	Total Pol II	UNT
ENSG00000078808	SDF4	ARMC5.KO	18.04756048	TSS	Total Pol II	UNT
ENSG00000176022	B3GALT6	WT	10.9420895	TSS	Total Pol II	UNT
ENSG00000176022	B3GALT6	ARMC5.KO	15.56252905	TSS	Total Pol II	UNT
ENSG00000160087	UBE2J2	WT	16.33091	TSS	Total Pol II	UNT
ENSG00000160087	UBE2J2	ARMC5.KO	25.45294429	TSS	Total Pol II	UNT
ENSG00000169972	PUSL1	WT	17.37635238	TSS	Total Pol II	UNT
ENSG00000169972	PUSL1	ARMC5.KO	22.68834286	TSS	Total Pol II	UNT
ENSG00000131584	ACAP3	WT	18.921845	TSS	Total Pol II	UNT
ENSG00000131584	ACAP3	ARMC5.KO	21.62599524	TSS	Total Pol II	UNT
ENSG00000127054	INTS11	WT	18.43612333	TSS	Total Pol II	UNT
ENSG00000127054	INTS11	ARMC5.KO	25.88160952	TSS	Total Pol II	UNT
ENSG00000224051	CPTP	WT	18.56501333	TSS	Total Pol II	UNT
ENSG00000224051	CPTP	ARMC5.KO	25.93131048	TSS	Total Pol II	UNT
ENSG00000169962	TAS1R3	WT	12.0918381	TSS	Total Pol II	UNT
ENSG00000169962	TAS1R3	ARMC5.KO	11.037265	TSS	Total Pol II	UNT
ENSG00000107404	DVL1	WT	6.363370619	TSS	Total Pol II	UNT
ENSG00000107404	DVL1	ARMC5.KO	8.23881875	TSS	Total Pol II	UNT
ENSG00000175756	AURKAIP1	WT	23.192415	TSS	Total Pol II	UNT
ENSG00000175756	AURKAIP1	ARMC5.KO	33.67840952	TSS	Total Pol II	UNT
ENSG00000221978	CCNL2	WT	24.18846286	TSS	Total Pol II	UNT
ENSG00000221978	CCNL2	ARMC5.KO	33.464065	TSS	Total Pol II	UNT
ENSG00000224870	MRPL20-AS1	WT	27.67328286	TSS	Total Pol II	UNT
ENSG00000224870	MRPL20-AS1	ARMC5.KO	37.912895	TSS	Total Pol II	UNT
ENSG00000242485	MRPL20	WT	29.32020952	TSS	Total Pol II	UNT
ENSG00000242485	MRPL20	ARMC5.KO	41.23289048	TSS	Total Pol II	UNT
ENSG00000272455	MRPL20-DT	WT	8.282408095	TSS	Total Pol II	UNT
ENSG00000272455	MRPL20-DT	ARMC5.KO	8.95854381	TSS	Total Pol II	UNT
ENSG00000160072	ATAD3B	WT	20.56043524	TSS	Total Pol II	UNT
ENSG00000160072	ATAD3B	ARMC5.KO	29.75827524	TSS	Total Pol II	UNT
ENSG00000197785	ATAD3A	WT	20.87549333	TSS	Total Pol II	UNT
ENSG00000197785	ATAD3A	ARMC5.KO	28.1429881	TSS	Total Pol II	UNT
ENSG00000215014	SSU72-AS1	WT	10.60721619	TSS	Total Pol II	UNT
ENSG00000215014	SSU72-AS1	ARMC5.KO	14.2401775	TSS	Total Pol II	UNT
ENSG00000160075	SSU72	WT	23.2671381	TSS	Total Pol II	UNT
ENSG00000160075	SSU72	ARMC5.KO	31.3362619	TSS	Total Pol II	UNT
ENSG00000197530	MIB2	WT	24.9266995	TSS	Total Pol II	UNT
ENSG00000197530	MIB2	ARMC5.KO	33.08200476	TSS	Total Pol II	UNT
ENSG00000248333	CDK11B	WT	14.581092	TSS	Total Pol II	UNT
ENSG00000248333	CDK11B	ARMC5.KO	21.25323714	TSS	Total Pol II	UNT
ENSG00000189339	SLC35E2B	WT	33.43036667	TSS	Total Pol II	UNT
ENSG00000189339	SLC35E2B	ARMC5.KO	50.50207619	TSS	Total Pol II	UNT
ENSG00000008128	CDK11A	WT	23.63948381	TSS	Total Pol II	UNT
ENSG00000008128	CDK11A	ARMC5.KO	29.804542	TSS	Total Pol II	UNT
ENSG00000215790	SLC35E2A	WT	12.27324714	TSS	Total Pol II	UNT
ENSG00000215790	SLC35E2A	ARMC5.KO	17.3517381	TSS	Total Pol II	UNT
ENSG00000008130	NADK	WT	7.1577205	TSS	Total Pol II	UNT
ENSG00000008130	NADK	ARMC5.KO	7.759511905	TSS	Total Pol II	UNT
ENSG00000078369	GNB1	WT	9.10348619	TSS	Total Pol II	UNT
ENSG00000078369	GNB1	ARMC5.KO	13.509563	TSS	Total Pol II	UNT
ENSG00000231050	GNB1-DT	WT	10.63107524	TSS	Total Pol II	UNT
ENSG00000231050	GNB1-DT	ARMC5.KO	16.54148421	TSS	Total Pol II	UNT
ENSG00000067606	PRKCZ	WT	6.706602	TSS	Total Pol II	UNT
ENSG00000067606	PRKCZ	ARMC5.KO	10.939426	TSS	Total Pol II	UNT
ENSG00000116151	MORN1	WT	19.08534905	TSS	Total Pol II	UNT
ENSG00000116151	MORN1	ARMC5.KO	26.39103381	TSS	Total Pol II	UNT
ENSG00000157916	RER1	WT	18.91349524	TSS	Total Pol II	UNT
ENSG00000157916	RER1	ARMC5.KO	26.04312952	TSS	Total Pol II	UNT
ENSG00000157911	PEX10	WT	10.816779	TSS	Total Pol II	UNT
ENSG00000157911	PEX10	ARMC5.KO	11.02423	TSS	Total Pol II	UNT
ENSG00000157881	PANK4	WT	11.58105381	TSS	Total Pol II	UNT
ENSG00000157881	PANK4	ARMC5.KO	16.3080315	TSS	Total Pol II	UNT
ENSG00000157870	PRXL2B	WT	13.2614081	TSS	Total Pol II	UNT
ENSG00000157870	PRXL2B	ARMC5.KO	18.75578857	TSS	Total Pol II	UNT
ENSG00000078900	TP73	WT	6.783457619	TSS	Total Pol II	UNT
ENSG00000078900	TP73	ARMC5.KO	9.4456085	TSS	Total Pol II	UNT
ENSG00000116213	WRAP73	WT	6.377691429	TSS	Total Pol II	UNT
ENSG00000116213	WRAP73	ARMC5.KO	9.060739	TSS	Total Pol II	UNT
ENSG00000227372	GFOD3P	WT	12.61217286	TSS	Total Pol II	UNT
ENSG00000227372	GFOD3P	ARMC5.KO	17.40765286	TSS	Total Pol II	UNT
ENSG00000130764	LRRC47	WT	19.6386285	TSS	Total Pol II	UNT
ENSG00000130764	LRRC47	ARMC5.KO	27.8149725	TSS	Total Pol II	UNT
ENSG00000169598	DFFB	WT	11.964633	TSS	Total Pol II	UNT
ENSG00000169598	DFFB	ARMC5.KO	20.1846681	TSS	Total Pol II	UNT
ENSG00000116198	CEP104	WT	12.104981	TSS	Total Pol II	UNT
ENSG00000116198	CEP104	ARMC5.KO	20.53257286	TSS	Total Pol II	UNT
ENSG00000198912	C1orf174	WT	13.82947286	TSS	Total Pol II	UNT
ENSG00000198912	C1orf174	ARMC5.KO	22.39635762	TSS	Total Pol II	UNT
ENSG00000236423	LINC01134	WT	14.31161619	TSS	Total Pol II	UNT
ENSG00000236423	LINC01134	ARMC5.KO	23.25369048	TSS	Total Pol II	UNT
ENSG00000131697	NPHP4	WT	9.017563333	TSS	Total Pol II	UNT
ENSG00000131697	NPHP4	ARMC5.KO	14.05907048	TSS	Total Pol II	UNT
ENSG00000158286	RNF207	WT	7.192808	TSS	Total Pol II	UNT
ENSG00000158286	RNF207	ARMC5.KO	9.909067143	TSS	Total Pol II	UNT
ENSG00000225077	ICMT-DT	WT	7.789285	TSS	Total Pol II	UNT
ENSG00000225077	ICMT-DT	ARMC5.KO	10.08923238	TSS	Total Pol II	UNT
ENSG00000116237	ICMT	WT	10.44013619	TSS	Total Pol II	UNT
ENSG00000116237	ICMT	ARMC5.KO	15.199089	TSS	Total Pol II	UNT
ENSG00000097021	ACOT7	WT	15.15656429	TSS	Total Pol II	UNT
ENSG00000097021	ACOT7	ARMC5.KO	22.81819	TSS	Total Pol II	UNT
ENSG00000171680	PLEKHG5	WT	10.34942762	TSS	Total Pol II	UNT
ENSG00000171680	PLEKHG5	ARMC5.KO	10.137079	TSS	Total Pol II	UNT
ENSG00000162408	NOL9	WT	11.81018857	TSS	Total Pol II	UNT
ENSG00000162408	NOL9	ARMC5.KO	18.21528857	TSS	Total Pol II	UNT
ENSG00000204859	ZBTB48	WT	15.61006667	TSS	Total Pol II	UNT
ENSG00000204859	ZBTB48	ARMC5.KO	23.79419286	TSS	Total Pol II	UNT
ENSG00000116273	PHF13	WT	10.47355	TSS	Total Pol II	UNT
ENSG00000116273	PHF13	ARMC5.KO	16.13407762	TSS	Total Pol II	UNT
ENSG00000041988	THAP3	WT	13.48337278	TSS	Total Pol II	UNT
ENSG00000041988	THAP3	ARMC5.KO	15.91042	TSS	Total Pol II	UNT
ENSG00000007923	DNAJC11	WT	10.806756	TSS	Total Pol II	UNT
ENSG00000007923	DNAJC11	ARMC5.KO	15.57493286	TSS	Total Pol II	UNT
ENSG00000049245	VAMP3	WT	10.06300476	TSS	Total Pol II	UNT
ENSG00000049245	VAMP3	ARMC5.KO	14.24544429	TSS	Total Pol II	UNT
ENSG00000116285	ERRFI1	WT	15.30933476	TSS	Total Pol II	UNT
ENSG00000116285	ERRFI1	ARMC5.KO	26.24194571	TSS	Total Pol II	UNT
ENSG00000238290	ERRFI1-DT	WT	12.666362	TSS	Total Pol II	UNT
ENSG00000238290	ERRFI1-DT	ARMC5.KO	19.53857	TSS	Total Pol II	UNT
ENSG00000230679	ENO1-AS1	WT	36.38530476	TSS	Total Pol II	UNT
ENSG00000230679	ENO1-AS1	ARMC5.KO	54.22340952	TSS	Total Pol II	UNT
ENSG00000074800	ENO1	WT	26.68987476	TSS	Total Pol II	UNT
ENSG00000074800	ENO1	ARMC5.KO	40.64891429	TSS	Total Pol II	UNT
ENSG00000234546	LNCTAM34A	WT	12.46419429	TSS	Total Pol II	UNT
ENSG00000234546	LNCTAM34A	ARMC5.KO	15.623095	TSS	Total Pol II	UNT
ENSG00000049239	H6PD	WT	7.680923333	TSS	Total Pol II	UNT
ENSG00000049239	H6PD	ARMC5.KO	11.4025705	TSS	Total Pol II	UNT
ENSG00000171612	SLC25A33	WT	14.29729857	TSS	Total Pol II	UNT
ENSG00000171612	SLC25A33	ARMC5.KO	20.53258762	TSS	Total Pol II	UNT
ENSG00000188807	TMEM201	WT	7.052459	TSS	Total Pol II	UNT
ENSG00000188807	TMEM201	ARMC5.KO	10.4240905	TSS	Total Pol II	UNT
ENSG00000162441	LZIC	WT	23.7397181	TSS	Total Pol II	UNT
ENSG00000162441	LZIC	ARMC5.KO	36.63559143	TSS	Total Pol II	UNT
ENSG00000173614	NMNAT1	WT	23.7397181	TSS	Total Pol II	UNT
ENSG00000173614	NMNAT1	ARMC5.KO	36.63559143	TSS	Total Pol II	UNT
ENSG00000130939	UBE4B	WT	8.153514762	TSS	Total Pol II	UNT
ENSG00000130939	UBE4B	ARMC5.KO	15.812255	TSS	Total Pol II	UNT
ENSG00000054523	KIF1B	WT	9.638152857	TSS	Total Pol II	UNT
ENSG00000054523	KIF1B	ARMC5.KO	16.87336381	TSS	Total Pol II	UNT
ENSG00000142657	PGD	WT	9.222832381	TSS	Total Pol II	UNT
ENSG00000142657	PGD	ARMC5.KO	15.84829762	TSS	Total Pol II	UNT
ENSG00000251503	CENPS-CORT	WT	8.509961111	TSS	Total Pol II	UNT
ENSG00000251503	CENPS-CORT	ARMC5.KO	11.93404211	TSS	Total Pol II	UNT
ENSG00000175279	CENPS	WT	14.60458368	TSS	Total Pol II	UNT
ENSG00000175279	CENPS	ARMC5.KO	20.2219585	TSS	Total Pol II	UNT
ENSG00000241563	CORT	WT	7.174904286	TSS	Total Pol II	UNT
ENSG00000241563	CORT	ARMC5.KO	7.482122	TSS	Total Pol II	UNT
ENSG00000142655	PEX14	WT	12.88904762	TSS	Total Pol II	UNT
ENSG00000142655	PEX14	ARMC5.KO	19.3935025	TSS	Total Pol II	UNT
ENSG00000160049	DFFA	WT	13.14682762	TSS	Total Pol II	UNT
ENSG00000160049	DFFA	ARMC5.KO	20.587256	TSS	Total Pol II	UNT
ENSG00000120948	TARDBP	WT	17.2477015	TSS	Total Pol II	UNT
ENSG00000120948	TARDBP	ARMC5.KO	24.38437524	TSS	Total Pol II	UNT
ENSG00000116649	SRM	WT	15.2477475	TSS	Total Pol II	UNT
ENSG00000116649	SRM	ARMC5.KO	21.45825857	TSS	Total Pol II	UNT
ENSG00000230337	EXOSC10-AS1	WT	21.32422	TSS	Total Pol II	UNT
ENSG00000230337	EXOSC10-AS1	ARMC5.KO	30.97592857	TSS	Total Pol II	UNT
ENSG00000171824	EXOSC10	WT	21.10940667	TSS	Total Pol II	UNT
