,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
0,C03,444.398223883566,259.49310590849984,440.9435324059617,1734.4132431126147,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4218,135.04025030595102,1633.1424418604652,250203_ARMC5mAC_TotalPolII
1,C04,440.1301200444293,258.3233483311108,453.79041802784303,1728.4544992374174,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3306,135.82794930796524,1595.5012594458437,250203_ARMC5mAC_TotalPolII
2,C05,470.56476183172543,259.9064672200733,468.2900273599582,1649.8355263157894,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3637,136.0890649574445,1528.11131898971,250203_ARMC5mAC_TotalPolII
3,C06,460.14179940758214,260.730616980866,468.11184092520443,1721.67194092827,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3696,135.57470671825425,1578.012201591512,250203_ARMC5mAC_TotalPolII
4,C07,464.7189752629562,262.01739968190833,484.4727097935988,1663.941596076683,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4018,135.0996285412174,1543.4196510560148,250203_ARMC5mAC_TotalPolII
5,C08,444.80245283299985,260.2921023654176,454.780608142284,1762.422990570274,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3467,134.4860716735454,1637.5392290249433,250203_ARMC5mAC_TotalPolII
6,C09,449.2573286330402,259.8839437687449,463.5885672633983,1703.6279969064192,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4007,134.67719868531142,1597.562185199535,250203_ARMC5mAC_TotalPolII
7,C10,468.1015843635118,261.90908746438197,454.54241982830916,1705.624674196351,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3940,135.03562327151633,1554.0538156153507,250203_ARMC5mAC_TotalPolII
8,C11,454.36158437066496,261.0430819640109,477.97906434228304,1759.8955613577023,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3998,134.1687764574407,1640.5070175438595,250203_ARMC5mAC_TotalPolII
9,C12,452.69140065919726,262.1829723146644,435.20929617547364,1742.3019425675675,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4108,132.81061889263242,1556.332972972973,250203_ARMC5mAC_TotalPolII
10,C13,442.49970135715466,261.5040497452384,466.5587713995737,1673.259115044248,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4388,134.87766984639288,1567.4437679083094,250203_ARMC5mAC_TotalPolII
11,C14,441.1022660395474,257.0924346926302,438.11131770459605,1713.8856372737775,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4201,134.2402937009938,1576.6378568635118,250203_ARMC5mAC_TotalPolII
12,C15,459.1331170876499,252.7559958593765,454.53837882652044,1647.640038040894,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4115,134.9976476997816,1535.9191321499013,250203_ARMC5mAC_TotalPolII
13,C16,428.2563454847568,249.41559766243358,415.9570181600521,1738.5986368799697,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3427,133.57959079752388,1620.1798698813625,250203_ARMC5mAC_TotalPolII
14,C17,433.6324584642186,249.05767610946137,432.61494744707863,1786.7741007194245,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4106,133.956518401655,1656.4603000365898,250203_ARMC5mAC_TotalPolII
15,C18,435.0685239731131,250.322574865298,441.2605515066078,1727.0515463917525,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3964,134.26561486215002,1612.8752212389381,250203_ARMC5mAC_TotalPolII
