,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,481.0821726748636,277.9496083722829,683.3615532472843,1711.5619722146555,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3671,250210_ARMC5mAC_PhosphoPolII
1,C04,437.31847925685867,279.2019771205502,655.3284531030687,1678.0859924283398,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1849,250210_ARMC5mAC_PhosphoPolII
2,C05,448.8837498585127,281.0948985965144,668.9071584598481,1656.9298245614036,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2679,250210_ARMC5mAC_PhosphoPolII
3,C06,445.61720976856407,284.5946692173953,645.7447158194207,1687.6253699788583,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2365,250210_ARMC5mAC_PhosphoPolII
4,C07,446.4585016244699,288.560617808079,666.2819196517519,1709.9278948976473,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3273,250210_ARMC5mAC_PhosphoPolII
5,C08,425.59829433699235,301.5152661800984,642.0730193247396,1693.375598967932,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2713,250210_ARMC5mAC_PhosphoPolII
6,C09,429.98765748474113,282.4518108306531,644.8193002359634,1638.2524020694752,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2706,250210_ARMC5mAC_PhosphoPolII
7,C10,484.6623350026036,278.7364139284271,686.2312315429091,1712.552204176334,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,431,250210_ARMC5mAC_PhosphoPolII
8,C11,446.2672784072576,275.6435845416513,660.5449793580011,1688.6357635763577,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3333,250210_ARMC5mAC_PhosphoPolII
9,C12,437.70053085991674,272.0632619196624,664.250841807719,1679.6022241231822,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3507,250210_ARMC5mAC_PhosphoPolII
10,C13,1094.305686898283,270.4055316141402,594.5482315406288,1718.448030796565,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3377,250210_ARMC5mAC_PhosphoPolII
11,C14,1177.7630154196218,270.38823699203243,659.3934189950028,1652.582687773661,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2969,250210_ARMC5mAC_PhosphoPolII
12,C15,1119.5090029799394,270.25099095079815,613.297220888826,1637.8499313186812,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2912,250210_ARMC5mAC_PhosphoPolII
13,C16,1143.9250585629954,270.26388990905286,666.7077745325608,1641.2667105696412,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3037,250210_ARMC5mAC_PhosphoPolII
14,C17,1128.0499835100159,271.83268323516893,635.166938324652,1642.5700141442717,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2828,250210_ARMC5mAC_PhosphoPolII
15,C18,1140.1413726453743,273.0076045845816,654.6335099243295,1652.1669111176298,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3409,250210_ARMC5mAC_PhosphoPolII
16,C19,1185.1545601536952,272.2799971266353,659.8190723658324,1636.167563688554,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2787,250210_ARMC5mAC_PhosphoPolII
17,C20,1118.2693867005692,271.516328260619,636.8250235763854,1660.0136148930258,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3599,250210_ARMC5mAC_PhosphoPolII
18,C21,1143.1112131382379,270.89770630635104,654.7642826819591,1684.4240734667103,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3049,250210_ARMC5mAC_PhosphoPolII
19,C22,1124.614940068327,270.1576242409304,647.3559427590121,1689.9062695924765,HCT116 OsTIRF74G,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3190,250210_ARMC5mAC_PhosphoPolII
20,D03,513.0413789836136,307.4972292995318,777.3697612525308,1502.0711166562694,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1603,250210_ARMC5mAC_PhosphoPolII
21,D04,524.5962440629469,335.58714508205946,890.5629364357596,1436.4451038575667,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,250210_ARMC5mAC_PhosphoPolII
22,D05,535.1856460455748,272.05612953143975,799.5461010064702,1541.733467945482,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1981,250210_ARMC5mAC_PhosphoPolII
23,D06,545.5341530940807,279.832456552549,866.8890271487355,1436.2740993184032,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2054,250210_ARMC5mAC_PhosphoPolII
24,D07,499.803884657276,327.0266740605493,809.3107426306525,1402.3745819397993,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,897,250210_ARMC5mAC_PhosphoPolII
25,D08,536.1403129047756,351.96505023024037,956.4057371438905,1382.5866050808313,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,433,250210_ARMC5mAC_PhosphoPolII
26,D09,526.6490174189262,275.570042321307,804.4567308165116,1462.0108108108109,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,555,250210_ARMC5mAC_PhosphoPolII
27,D11,554.9800382701699,312.80282323443356,897.3779574886722,1393.7915407854985,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,331,250210_ARMC5mAC_PhosphoPolII
28,D13,2507.20633414974,269.57404414138927,836.9149086681746,1503.8246073298428,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,764,250210_ARMC5mAC_PhosphoPolII
29,D14,2263.1445732097272,274.1595888201494,858.5474767953926,1416.4065811489124,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1793,250210_ARMC5mAC_PhosphoPolII
30,D15,1384.1853305053862,315.28584031776677,819.0292682667712,1465.140268456376,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1490,250210_ARMC5mAC_PhosphoPolII
31,D16,1382.8377173648646,330.9552997309417,872.7113055121417,1396.1406067677947,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1714,250210_ARMC5mAC_PhosphoPolII
32,D17,2214.745786786449,269.68379613887276,779.764506343791,1492.8319652341863,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2071,250210_ARMC5mAC_PhosphoPolII
33,D18,2326.739998117762,274.48798791350964,906.0123665349676,1441.981591448931,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1684,250210_ARMC5mAC_PhosphoPolII
34,D19,1359.076327581842,319.4527420523922,802.2045049501552,1360.1231155778894,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1194,250210_ARMC5mAC_PhosphoPolII
35,D20,1394.3696109900973,338.6281837237329,902.2390294666875,1373.8529230769232,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1625,250210_ARMC5mAC_PhosphoPolII
36,D21,2567.9106123534316,276.4040674505433,883.6365583216585,1425.3214936247723,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1098,250210_ARMC5mAC_PhosphoPolII
37,D22,2490.537461765723,276.87741699220237,856.5841625862498,1397.9362340585146,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1333,250210_ARMC5mAC_PhosphoPolII
38,E03,492.43067638617083,329.0174887662829,741.0281764635135,1565.7151898734178,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2370,250210_ARMC5mAC_PhosphoPolII
39,E04,520.5572158044922,349.04494064826474,872.8594142215791,1378.2929092113982,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1509,250210_ARMC5mAC_PhosphoPolII
40,E05,548.2785889094541,270.41320674351624,788.5459921986928,1535.3947498761763,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2019,250210_ARMC5mAC_PhosphoPolII
41,E06,548.3743759246734,274.1236913862859,873.4860183201355,1395.4545454545455,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1617,250210_ARMC5mAC_PhosphoPolII
