,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,820.93660176481,703.6108172824753,918.5270502770237,1596.4742447294066,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4601,260119_ARMC5mAC_TotalPhospho
1,C04,805.3155027540496,706.3306426322439,911.3858870373527,1610.6591654946085,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4266,260119_ARMC5mAC_TotalPhospho
2,C05,843.1585282196116,702.0759109155026,921.2572926116428,1573.3374587458745,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,3636,260119_ARMC5mAC_TotalPhospho
3,C06,853.259324780055,702.409362224782,949.7521524223039,1569.9658224735676,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4067,260119_ARMC5mAC_TotalPhospho
4,C07,861.864417672009,700.056024700693,946.6689731895503,1566.6122228231477,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,3698,260119_ARMC5mAC_TotalPhospho
5,C08,840.7162488046322,691.8313607743131,929.2220444214215,1580.6096544964469,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4081,260119_ARMC5mAC_TotalPhospho
6,C09,842.5850412987617,693.0214908698292,936.5570592610455,1547.074529288703,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,3824,260119_ARMC5mAC_TotalPhospho
7,C10,859.9791903148351,694.8749643030382,915.4597293992941,1541.4407957057151,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,3167,260119_ARMC5mAC_TotalPhospho
8,C11,870.6144595275033,697.7202847513965,999.3704064056868,1574.6606271777002,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2870,260119_ARMC5mAC_TotalPhospho
9,C12,885.3304429223269,699.7554670455448,977.10475967721,1574.8093513335527,HCT116 OsTIRF74G,Vehicle,24.0,Total Pol II F12,Goat anti-mouse Alexa647,3037,260119_ARMC5mAC_TotalPhospho
10,C13,1229.3191605502604,701.1267006816234,976.2803756313097,1596.7867623084446,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3067,260119_ARMC5mAC_TotalPhospho
11,C14,1214.2126867572736,698.7199811833757,945.1376466814237,1602.2215635420525,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2699,260119_ARMC5mAC_TotalPhospho
12,C15,1202.3560966920707,691.4161807369866,958.5264478066848,1570.5820288040075,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3194,260119_ARMC5mAC_TotalPhospho
13,C16,1220.1454739592134,687.4813462179975,960.2859562396096,1566.0024968789014,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3204,260119_ARMC5mAC_TotalPhospho
14,C17,1180.5974687825453,685.1473817390992,943.0605336502363,1595.9159364731654,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3652,260119_ARMC5mAC_TotalPhospho
15,C18,1155.0861601280826,683.648454813118,882.7197854212474,1592.0925162050678,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3394,260119_ARMC5mAC_TotalPhospho
16,C19,1168.2111823789553,685.179482925219,910.8903498406801,1603.9208170759698,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4357,260119_ARMC5mAC_TotalPhospho
17,C20,1152.9443838168206,683.6787987587429,884.1173947088153,1602.356705882353,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4250,260119_ARMC5mAC_TotalPhospho
18,C21,1170.1294682559783,681.831255396189,911.5733925056018,1563.020538869258,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4528,260119_ARMC5mAC_TotalPhospho
19,C22,1193.3357693775315,679.003118880362,877.7160183999395,1560.7531659631193,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4501,260119_ARMC5mAC_TotalPhospho
20,D03,867.7661173504296,796.0516686067735,1000.4325407107824,1536.655172413793,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3306,260119_ARMC5mAC_TotalPhospho
21,D04,1040.361679517432,745.1712560466949,1242.229685192545,1354.172064777328,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1482,260119_ARMC5mAC_TotalPhospho
22,D05,1616.1298638036856,703.2211533260004,1065.3155723013863,1584.1985458612976,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1788,260119_ARMC5mAC_TotalPhospho
23,D06,1423.6657758680844,706.5844985538342,1085.365326275346,1491.1042561499414,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2561,260119_ARMC5mAC_TotalPhospho
24,D07,1021.6529017702868,720.9874689158808,1061.3273093651947,1509.9709976798144,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1724,260119_ARMC5mAC_TotalPhospho
25,D08,1022.0415110694499,726.069503424264,1209.6511043515043,1403.905077262693,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2265,260119_ARMC5mAC_TotalPhospho
26,D09,1558.2996816457153,696.2681323209317,1089.3868020002533,1525.567830313743,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2263,260119_ARMC5mAC_TotalPhospho
27,D10,1604.445476011552,704.2393210813461,1181.5516119909682,1422.6213692946058,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1928,260119_ARMC5mAC_TotalPhospho
28,D11,914.0957586214557,765.8262979310018,1066.3535993931323,1552.004068716094,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2212,260119_ARMC5mAC_TotalPhospho
29,D12,981.9104633114263,752.2672129158557,1184.9807833566456,1402.951733216323,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2279,260119_ARMC5mAC_TotalPhospho
30,D13,1578.318137496965,695.2476520253381,1098.1056578869216,1496.2509673852958,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1809,260119_ARMC5mAC_TotalPhospho
31,D14,1518.0702339235932,700.0318827660636,1168.474267679609,1446.9307595467897,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2383,260119_ARMC5mAC_TotalPhospho
32,D15,1477.6439880598662,713.8395937119001,1151.4134721421303,1472.8722627737227,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1644,260119_ARMC5mAC_TotalPhospho
33,D16,1378.3266377240461,781.1113488983453,1200.5969355809839,1419.9484484484485,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1998,260119_ARMC5mAC_TotalPhospho
34,D17,1458.1033703432815,688.6187720898586,1052.6611871986772,1497.3783154955793,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2149,260119_ARMC5mAC_TotalPhospho
35,D18,1434.4629443898853,695.0947770922003,1160.299979529514,1464.9394201644309,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2311,260119_ARMC5mAC_TotalPhospho
36,D19,1335.1673980906644,745.2641419027018,1071.103904950808,1540.776754385965,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2280,260119_ARMC5mAC_TotalPhospho
37,D20,1348.3883316952163,774.4757192176879,1140.2578609323778,1409.2788250767208,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2281,260119_ARMC5mAC_TotalPhospho
38,D21,1372.9767313729199,683.8239691431997,983.4021248543864,1535.338543992854,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2239,260119_ARMC5mAC_TotalPhospho
