,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity_x,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,DAPI_Intensity_y,NucleusArea2,EXPERIMENT
0,C03,2849.850840321998,177.7565858389146,473.6569846474867,1598.040254237288,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1416,266.2695923912938,2150.3981581517874,1508.5847840103158,260127_ARMC5mAC_PhosphoEU
1,C04,2882.174541120097,178.36882602807972,491.56862979088993,1529.4050343249428,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1311,263.6129257556695,2097.9237490258815,1423.5632338141563,260127_ARMC5mAC_PhosphoEU
2,C05,2891.036714744621,178.11554676977505,496.3807656262062,1485.019943019943,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1053,265.8716344886323,2235.5250860611536,1461.4234930448222,260127_ARMC5mAC_PhosphoEU
3,C06,2771.4138720955566,177.9237812212366,481.8671689758201,1499.017932987258,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,2119,255.26645732558455,2196.5757779364935,1429.0854834506124,260127_ARMC5mAC_PhosphoEU
4,C07,2793.9082815453817,178.03141684956876,510.0893230567045,1501.491587417703,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1367,260.1778839980222,2270.4824993951174,1439.9647742818058,260127_ARMC5mAC_PhosphoEU
5,C08,2672.1245040602585,176.66394453463843,485.2821482059393,1537.3767085839256,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1829,246.42338367728044,2077.6094778342426,1474.8346338535414,260127_ARMC5mAC_PhosphoEU
6,C09,2706.2591109520295,179.03239985450142,485.485029299798,1485.6693455797933,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1742,258.2217734681011,2218.6636196557274,1453.8041294642858,260127_ARMC5mAC_PhosphoEU
7,C10,2771.8935541708393,178.3681189365465,495.8799856496521,1560.895531400966,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1656,263.756897439746,2192.916469461035,1446.791569863923,260127_ARMC5mAC_PhosphoEU
8,C11,2885.8253771617874,178.09888951541427,509.5510749540043,1463.6803892215569,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1336,256.70266062545545,2292.0354944492633,1451.1697403086187,260127_ARMC5mAC_PhosphoEU
9,C12,2719.5191311326544,178.84099136919832,489.81798866956535,1552.8437321121924,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1747,250.02530723526104,2169.843901705054,1478.2563783447417,260127_ARMC5mAC_PhosphoEU
