,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
0,C03,481.0821726748636,277.9496083722829,683.3615532472843,1711.5619722146555,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3671,250210_ARMC5mAC_PhosphoPolII,13.205290520703215,0.2592392580888269,362.74706945507086,0.9919042314439478,24.0,0.0
1,C04,437.31847925685867,279.2019771205502,655.3284531030687,1678.0859924283398,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1849,250210_ARMC5mAC_PhosphoPolII,14.45765926897053,0.2838250969725263,318.9833760370659,0.8722357452170416,24.0,0.0
2,C05,448.8837498585127,281.0948985965144,668.9071584598481,1656.9298245614036,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2679,250210_ARMC5mAC_PhosphoPolII,16.35058074493469,0.3209859271928086,330.54864663871996,0.9038600967653752,24.0,0.0
3,C06,445.61720976856407,284.5946692173953,645.7447158194207,1687.6253699788583,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2365,250210_ARMC5mAC_PhosphoPolII,19.850351365815584,0.38969156739177346,327.2821065487713,0.8949279916975968,24.0,0.0
4,C07,446.4585016244699,288.560617808079,666.2819196517519,1709.9278948976473,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3273,250210_ARMC5mAC_PhosphoPolII,23.81629995649928,0.46754896618624686,328.1233984046771,0.8972284401974452,24.0,0.0
5,C08,425.59829433699235,301.5152661800984,642.0730193247396,1693.375598967932,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2713,250210_ARMC5mAC_PhosphoPolII,36.77094832851873,0.7218677505779068,307.2631911171996,0.8401877922651823,24.0,0.0
6,C09,429.98765748474113,282.4518108306531,644.8193002359634,1638.2524020694752,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2706,250210_ARMC5mAC_PhosphoPolII,17.70749297907338,0.34762410833076013,311.6525542649484,0.8521901714605169,24.0,0.0
7,C10,484.6623350026036,278.7364139284271,686.2312315429091,1712.552204176334,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,431,250210_ARMC5mAC_PhosphoPolII,13.992096076847417,0.27468540736628544,366.3272317828108,1.0016939126327613,24.0,0.0
8,C11,446.2672784072576,275.6435845416513,660.5449793580011,1688.6357635763577,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3333,250210_ARMC5mAC_PhosphoPolII,10.899266690071613,0.2139686215927314,327.93217518746485,0.8967055548752065,24.0,0.0
9,C12,437.70053085991674,272.0632619196624,664.250841807719,1679.6022241231822,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3507,250210_ARMC5mAC_PhosphoPolII,7.318944068082715,0.14368162724089348,319.365427640124,0.8732804362252212,24.0,0.0
20,D03,513.0413789836136,307.4972292995318,777.3697612525308,1502.0711166562694,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1603,250210_ARMC5mAC_PhosphoPolII,42.7529114479521,0.8393024771040181,394.7062757638209,1.0792942468033018,48.0,0.0
21,D04,524.5962440629469,335.58714508205946,890.5629364357596,1436.4451038575667,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,250210_ARMC5mAC_PhosphoPolII,70.84282723047977,1.390748802031394,406.2611408431541,1.1108901452434243,48.0,0.0
22,D05,535.1856460455748,272.05612953143975,799.5461010064702,1541.733467945482,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1981,250210_ARMC5mAC_PhosphoPolII,7.311811679860057,0.143541607979042,416.85054282578204,1.1398460583836973,48.0,48.0
23,D06,545.5341530940807,279.832456552549,866.8890271487355,1436.2740993184032,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2054,250210_ARMC5mAC_PhosphoPolII,15.088138700969296,0.29620233471185325,427.19904987428794,1.168143262675273,48.0,48.0
24,D07,499.803884657276,327.0266740605493,809.3107426306525,1402.3745819397993,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,897,250210_ARMC5mAC_PhosphoPolII,62.28235620896959,1.222694176271519,381.46878143748324,1.043097326850966,48.0,0.0
25,D08,536.1403129047756,351.96505023024037,956.4057371438905,1382.5866050808313,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,433,250210_ARMC5mAC_PhosphoPolII,87.22073237866067,1.7122711474131218,417.8052096849828,1.1424565221944265,48.0,0.0
