,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,EU_Intensity_BGS,EU_Intensity_FC
20,250128_ARMC5mAC_TotalPolII,D03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4609,21.81048623857697,0.6155475112337915
21,250128_ARMC5mAC_TotalPolII,D04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2201,45.96507315476106,1.2972515181274729
22,250128_ARMC5mAC_TotalPolII,D05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2540,35.804576666532824,1.0104964106156364
23,250128_ARMC5mAC_TotalPolII,D06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4446,38.035718191828096,1.0734649110921062
27,250128_ARMC5mAC_TotalPolII,D10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2051,43.74645180634019,1.2346363689532596
28,250128_ARMC5mAC_TotalPolII,D11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2010,,
29,250128_ARMC5mAC_TotalPolII,D12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3987,,
33,250128_ARMC5mAC_TotalPolII,D16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2101,45.85573821253729,1.2941658073899611
34,250128_ARMC5mAC_TotalPolII,D17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2303,33.89134099993234,0.9565000237356119
35,250128_ARMC5mAC_TotalPolII,D18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3435,31.031064950869165,0.8757757434887846
39,250128_ARMC5mAC_TotalPolII,D22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4395,24.815449400875906,0.7003552305881041
40,250128_ARMC5mAC_TotalPolII,E03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4501,26.951097768614034,0.760628670769669
41,250128_ARMC5mAC_TotalPolII,E04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2300,47.28326636669175,1.3344542903194125
42,250128_ARMC5mAC_TotalPolII,E05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2599,40.42358560111455,1.1408566154706536
43,250128_ARMC5mAC_TotalPolII,E06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4028,38.5087864236576,1.086816102329254
44,250128_ARMC5mAC_TotalPolII,E07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1937,44.87920048458733,1.266605423752007
