,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
0,250128_ARMC5mAC_TotalPolII,C03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4218,342.8332047332353,8.194533933840319,0.13319632369822637
1,250128_ARMC5mAC_TotalPolII,C04,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3306,345.2668605572173,10.628189757822327,0.17275366906018136
2,250128_ARMC5mAC_TotalPolII,C05,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3637,344.0512909694715,9.412620170076536,0.15299544954528213
3,250128_ARMC5mAC_TotalPolII,C06,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3696,341.2956208398161,6.656950040421123,0.10820399056073163
4,250128_ARMC5mAC_TotalPolII,C07,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4018,339.7770383124041,5.138367513009143,0.08352051111983995
5,250128_ARMC5mAC_TotalPolII,C08,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3467,333.141746760972,-1.4969240384229465,-0.024331436099136215
6,250128_ARMC5mAC_TotalPolII,C09,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4007,337.6278199822987,2.989149182903759,0.04858649501763065
7,250128_ARMC5mAC_TotalPolII,C10,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3940,342.20466005112013,7.565989251725171,0.12297977671535563
8,250128_ARMC5mAC_TotalPolII,C11,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3998,340.64133422037156,6.002663420976603,0.09756902668620791
9,250128_ARMC5mAC_TotalPolII,C12,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4108,341.2454867134108,6.60681591401584,0.10738909597576572
10,250128_ARMC5mAC_TotalPolII,C13,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4388,341.50999758433966,6.871326784944699,0.1116885321450939
11,250128_ARMC5mAC_TotalPolII,C14,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4201,341.2428290789214,6.604158279526416,0.10734589801642078
12,250128_ARMC5mAC_TotalPolII,C15,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4115,341.42985504096725,6.791184241572296,0.11038587207495283
13,250128_ARMC5mAC_TotalPolII,C16,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3427,340.30491484839,5.666244048995054,0.09210076895116324
