,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
0,250210_ARMC5mAC_PhosphoPolII,C03,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3671,362.74706945507086,0.9919042314439478
1,250210_ARMC5mAC_PhosphoPolII,C04,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1849,318.9833760370659,0.8722357452170416
2,250210_ARMC5mAC_PhosphoPolII,C05,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2679,330.54864663871996,0.9038600967653752
3,250210_ARMC5mAC_PhosphoPolII,C06,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2365,327.2821065487713,0.8949279916975968
4,250210_ARMC5mAC_PhosphoPolII,C07,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3273,328.1233984046771,0.8972284401974452
5,250210_ARMC5mAC_PhosphoPolII,C08,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2713,307.2631911171996,0.8401877922651823
6,250210_ARMC5mAC_PhosphoPolII,C09,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2706,311.6525542649484,0.8521901714605169
7,250210_ARMC5mAC_PhosphoPolII,C10,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,431,366.3272317828108,1.0016939126327613
8,250210_ARMC5mAC_PhosphoPolII,C11,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3333,327.93217518746485,0.8967055548752065
9,250210_ARMC5mAC_PhosphoPolII,C12,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3507,319.365427640124,0.8732804362252212
20,250210_ARMC5mAC_PhosphoPolII,D03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1603,394.7062757638209,1.0792942468033018
21,250210_ARMC5mAC_PhosphoPolII,D04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,406.2611408431541,1.1108901452434243
22,250210_ARMC5mAC_PhosphoPolII,D05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1981,416.85054282578204,1.1398460583836973
23,250210_ARMC5mAC_PhosphoPolII,D06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2054,427.19904987428794,1.168143262675273
24,250210_ARMC5mAC_PhosphoPolII,D07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,897,381.46878143748324,1.043097326850966
25,250210_ARMC5mAC_PhosphoPolII,D08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,433,417.8052096849828,1.1424565221944265
26,250210_ARMC5mAC_PhosphoPolII,D09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,555,408.3139141991334,1.1165032976282254
27,250210_ARMC5mAC_PhosphoPolII,D11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,331,436.6449350503771,1.1939723162082803
38,250210_ARMC5mAC_PhosphoPolII,E03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2370,374.0955731663781,1.0229358504414852
39,250210_ARMC5mAC_PhosphoPolII,E04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1509,402.22211258469946,1.0998457301183036
40,250210_ARMC5mAC_PhosphoPolII,E05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2019,429.9434856896614,1.175647713372241
41,250210_ARMC5mAC_PhosphoPolII,E06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1617,430.0392727048806,1.1759096356693834
42,250210_ARMC5mAC_PhosphoPolII,E07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1774,394.0308907707826,1.0774474579830509
43,250210_ARMC5mAC_PhosphoPolII,E08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2068,381.3089419786894,1.0426602580256616
