,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
0,250128_ARMC5mAC_TotalPolII,C03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4218,535.1371129611521,1.1907286466526648
1,250128_ARMC5mAC_TotalPolII,C04,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3306,558.1780779726711,1.2419968850559486
2,250128_ARMC5mAC_TotalPolII,C05,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3637,525.9494485965815,1.170285259547278
3,250128_ARMC5mAC_TotalPolII,C06,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3696,535.181261315477,1.190826880748047
4,250128_ARMC5mAC_TotalPolII,C07,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4018,510.95173574328294,1.1369139872206846
5,250128_ARMC5mAC_TotalPolII,C08,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3467,521.8468024162714,1.1611564994301862
6,250128_ARMC5mAC_TotalPolII,C09,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4007,511.79797019369676,1.138796935679102
7,250128_ARMC5mAC_TotalPolII,C10,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3940,481.4457538401365,1.0712604994532569
8,250128_ARMC5mAC_TotalPolII,C11,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3998,490.4516457915497,1.0912994264412732
9,250128_ARMC5mAC_TotalPolII,C12,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4108,507.9322985427689,1.1301954653982562
