,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells
0,C03,160.0675175046937,126.58992109268341,8692.357886506728,159.98729390067427,126.43888331905725,535.1006582739515,6177.791341920086,159.9993543918323,127.0377250263683,1934.9123328258097,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,121505
1,D03,160.6979284252366,126.97966193812786,8359.864152089407,160.64470924725387,126.84825838819262,575.8675475994996,5736.588155976677,160.67853347326533,127.4020666494928,2016.5745444606414,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,164640
2,D04,463.20403422217885,155.43747922245169,12103.359356209972,716.4104937440189,168.88229862215525,578.943715392835,5277.373073803731,231.0393951132883,141.6603573049121,6134.031630170316,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71514
3,D05,415.49259287414327,153.09461558088756,12473.549861351217,628.6571767526564,165.1277968840996,597.9383135864161,5529.00025525299,219.92409020779868,141.7036801477219,6258.346981633387,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86189
4,D06,411.3058937580026,150.3221145246218,12778.289282805166,617.6349680396658,160.84901633228262,560.5045027408916,5677.73260346767,216.92617538168037,138.79742589760312,6377.068180055079,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103124
5,D07,429.23222736344957,152.3857954999129,10782.632525263385,635.4676211621743,163.72219775166417,610.7228687326369,5035.1680418189635,221.7964491001994,139.88111308262054,5403.822887551064,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74416
6,D08,421.34156361875404,148.43858152205357,12104.647697292958,648.8680854152082,159.79607582719294,574.2307899198221,5300.858955609085,224.26614018527738,137.3942357422415,6264.088738816242,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,69744
7,D09,414.0751612823081,148.2351977665291,12490.584826427772,623.0273568895618,158.55291260481224,567.0013138849922,5591.956904395297,223.0299283442285,137.98680410429424,6385.34805431131,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57152
8,D10,416.6365733461903,151.75243732691914,12566.118471337579,645.3494385217189,161.79628783723152,562.0256796110302,5243.755162035417,223.519250245611,144.03202294095846,6540.982207601316,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71435
9,D11,443.34978575543784,152.96346879986945,11038.907264101594,657.1415930722283,164.36201218771475,599.5240438420302,4931.800313869798,233.7761572536565,140.46855901500686,5510.182152713892,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,55437
