WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2
C03,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568
C04,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C05,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C06,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C07,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C08,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C09,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C10,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C11,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C12,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C13,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C14,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C15,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C16,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C17,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C18,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C19,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C20,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C21,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
C22,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
D03,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568
D04,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568
