,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
0,D04,409.9446855107305,436.60514463898363,9728.665863254102,527.5030023026778,573.1364735157555,603.3362031824025,5490.906000729889,232.86539285229304,223.2498623573898,3793.250287744683,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,249353,260306_CytoplasmicPOLR2A
1,D05,418.7425341058018,458.07175517772436,9394.21492857583,525.4858074515104,587.1373652297154,603.4148809895644,5668.101878667715,229.55119085968263,223.42214458803113,3130.8225686603573,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275887,260306_CytoplasmicPOLR2A
2,D06,379.6696751208834,405.736766511378,11937.885963548319,505.7528791683848,551.776220586318,627.1446028030704,6063.488815709097,218.75515402154514,211.79524783239728,5369.646217666071,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,180074,260306_CytoplasmicPOLR2A
3,D07,382.1745965366245,418.6426753453414,10671.769266644997,498.34331878171105,558.1544745438708,590.160904219639,5596.430548685407,223.22629956480253,219.0237549389429,4531.6888741278835,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,212271,260306_CytoplasmicPOLR2A
4,D08,380.00927350209156,409.47020148551064,11117.396379292053,505.5596532276492,557.2287833058839,636.5204022675279,5724.677252193142,216.05738401247885,208.2466360310408,4854.299384077596,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,179081,260306_CytoplasmicPOLR2A
5,D09,393.228337999864,418.6025955325382,11017.346768915811,510.9551962752494,555.0331733001562,659.8599711174096,5898.918100000559,217.71088045634997,209.36757864873348,4617.923973173583,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,178779,260306_CytoplasmicPOLR2A
6,D10,390.5626169863034,434.75686330159385,9846.120308587057,498.83246407506545,567.0698901681503,615.456400725859,5550.675773527086,222.4152225253217,220.90959872664232,3797.76932993937,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,242784,260306_CytoplasmicPOLR2A
7,D11,389.22751153900913,429.9577827975229,10579.722443736193,512.1416238240356,580.7629114168126,641.3776615446745,5650.314117181631,224.7776373785554,218.98104578764162,4327.124520485227,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,224967,260306_CytoplasmicPOLR2A
8,D14,345.4829274741863,713.7569526410954,12580.089196471888,452.5877926107044,964.4667200591317,737.283071623922,6354.498641010504,214.3286493366013,402.6530584527406,5464.8204672585825,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,171083,260306_CytoplasmicPOLR2A
9,D15,356.6060690876878,810.8363679751618,9339.320388191756,437.4248296480901,1014.1564811835779,703.8574490170353,5570.798986054183,216.292806065918,452.4127330205391,3182.467572826577,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,246167,260306_CytoplasmicPOLR2A
10,D16,334.1690814724149,729.0574961202763,11471.885823886229,425.3927922219404,952.2776416466501,674.0232276234887,6136.980372894219,206.60773273711197,409.8584882650197,4704.197908382583,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,192387,260306_CytoplasmicPOLR2A
11,D17,337.6698353720348,736.77113124562,10915.979881635232,425.2726002190118,947.6180756931193,700.1482468358104,6013.124805560957,210.14732386841916,423.3551321656169,4330.607196675092,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,164576,260306_CytoplasmicPOLR2A
12,D18,308.4501448736869,654.7085940045324,13153.87197681203,402.337358152295,882.1155980844256,645.2711408306046,6503.831096723194,198.01434451738422,378.9888032515801,5862.477241786026,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159393,260306_CytoplasmicPOLR2A
13,D19,308.3309173203417,625.1890071132341,12393.536088144494,396.6665862668475,828.9317917216472,659.1731445769418,6345.45680896112,196.43051431219206,362.41343350868664,5234.756851543002,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169086,260306_CytoplasmicPOLR2A
14,D20,293.99394237338396,605.5294562750241,11367.622074172248,363.71194629780524,775.1318563959906,587.8866447400742,6020.908544955388,196.34149924294115,359.1687516755907,4761.246331621423,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169012,260306_CytoplasmicPOLR2A
15,D21,281.5447214329041,570.7715846227765,12228.024934366797,358.4280528363424,759.5501544254822,621.7815587507129,6244.306294536817,189.36675151043877,337.9286762312367,5313.367558444806,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159980,260306_CytoplasmicPOLR2A
