,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,EXPERIMENT
0,C03,160.0675175046937,126.58992109268341,8692.357886506728,159.98729390067427,126.43888331905725,535.1006582739515,6177.791341920086,159.9993543918323,127.0377250263683,1934.9123328258097,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,121505,0.0,0.0,-0.08022360401943729,-0.15103777362615745,-0.06816311286141286,0.44780393368489513,-0.00018342327068206083,-0.0012219566518377098,260119_CytoplasmicPOLR2A
1,D03,160.6979284252366,126.97966193812786,8359.864152089407,160.64470924725387,126.84825838819262,575.8675475994996,5736.588155976677,160.67853347326533,127.4020666494928,2016.5745444606414,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,164640,0.6304109205428858,0.3897408454444502,0.57719174256016,0.25833729550920737,0.6110159685716212,0.8121455568093836,0.001319691361727047,0.010953652141638381,260119_CytoplasmicPOLR2A
2,D04,463.20403422217885,155.43747922245169,12103.359356209972,716.4104937440189,168.88229862215525,578.943715392835,5277.373073803731,231.0393951132883,141.6603573049121,6134.031630170316,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71514,303.13651671748516,28.847558129768274,556.3429762393253,42.292377529471835,70.97187760859458,15.0704362122287,1.2720227365761878,1.2723092343737246,260119_CytoplasmicPOLR2A
3,D05,415.49259287414327,153.09461558088756,12473.549861351217,628.6571767526564,165.1277968840996,597.9383135864161,5529.00025525299,219.92409020779868,141.7036801477219,6258.346981633387,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86189,255.42507536944956,26.50469448820415,468.5896592479627,38.5378757914162,59.85657270310497,15.1137590550385,1.0713835280477915,1.0730457295792368,260119_CytoplasmicPOLR2A
4,D06,411.3058937580026,150.3221145246218,12778.289282805166,617.6349680396658,160.84901633228262,560.5045027408916,5677.73260346767,216.92617538168037,138.79742589760312,6377.068180055079,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103124,251.23837625330887,23.7321934319384,457.56745053497207,34.259095239599205,56.858657876986655,12.207504804919708,1.0461823469616462,1.0193022632139854,260119_CytoplasmicPOLR2A
5,D07,429.23222736344957,152.3857954999129,10782.632525263385,635.4676211621743,163.72219775166417,610.7228687326369,5035.1680418189635,221.7964491001994,139.88111308262054,5403.822887551064,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74416,269.1647098587558,25.795874407229476,475.4001036574806,37.13227665898076,61.728931595505685,13.291191989937133,1.0869549300517387,1.1066114120598523,260119_CytoplasmicPOLR2A
6,D08,421.34156361875404,148.43858152205357,12104.647697292958,648.8680854152082,159.79607582719294,574.2307899198221,5300.858955609085,224.26614018527738,137.3942357422415,6264.088738816242,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,69744,261.2740461140603,21.848660429370156,488.8005679105145,33.206154734509525,64.19862268058367,10.804314649558094,1.1175937552702364,1.1508854383287397,260119_CytoplasmicPOLR2A
7,D09,414.0751612823081,148.2351977665291,12490.584826427772,623.0273568895618,158.55291260481224,567.0013138849922,5591.956904395297,223.0299283442285,137.98680410429424,6385.34805431131,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57152,254.0076437776144,21.645276673845686,462.95983938486813,31.962991512128824,62.96241083953478,11.396883011610825,1.0585115063372057,1.1287239316305122,260119_CytoplasmicPOLR2A
8,D10,416.6365733461903,151.75243732691914,12566.118471337579,645.3494385217189,161.79628783723152,562.0256796110302,5243.755162035417,223.519250245611,144.03202294095846,6540.982207601316,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71435,256.5690558414966,25.162516234235724,485.2819210170252,35.206366744548106,63.45173274091729,17.442101848275044,1.1095487200282057,1.137495980429104,260119_CytoplasmicPOLR2A
9,D11,443.34978575543784,152.96346879986945,11038.907264101594,657.1415930722283,164.36201218771475,599.5240438420302,4931.800313869798,233.7761572536565,140.46855901500686,5510.182152713892,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,55437,283.2822682507441,26.373547707186034,497.0740755675346,37.77209109503134,73.70863974896278,13.878637922323449,1.1365103054927372,1.321371029845417,260119_CytoplasmicPOLR2A
10,D12,415.01839925325294,149.23473687198182,12199.25613061267,624.2597854974301,160.0931578615908,555.0759138878739,5372.558465587783,219.54482158529845,138.05956117386805,6035.480220467516,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,76746,254.95088174855923,22.644815779298412,464.19226799273645,33.5032367689074,59.47730408060474,11.469640081184636,1.0613293314511532,1.0662466003047308,260119_CytoplasmicPOLR2A
20,E03,161.48060141046824,126.87513229612155,8198.11753254761,161.31512384534744,126.65204060925824,564.7709471378048,5767.944356358896,161.09097052919424,127.00322040264682,1806.433081408664,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,113526,1.4130839057745277,0.2852112034381378,1.247606340653732,0.06211951657482473,1.023453024500526,0.41329930996340636,0.002852527486435781,0.01834739023252287,260119_CytoplasmicPOLR2A
21,F04,413.40066019433664,150.88169258607547,13606.638784280021,644.1347329358701,162.49749754711937,624.7853982545068,5723.571263379951,220.57465284990784,139.9670576243696,7204.196968513165,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,63995,253.33314268964293,24.291771493392062,484.06721543117646,35.907576454435954,60.507135345214124,13.37713653168619,1.1067714168367642,1.084708332922759,260119_CytoplasmicPOLR2A
22,F05,462.05190174707496,152.55576510920477,10674.908521593914,637.6881838339204,165.94479051393725,660.3787425456457,4904.6642969801,293.04995864004024,138.70448819723535,5112.351359187271,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86228,301.9843842423812,25.96584401652136,477.62066632922676,39.35486942125384,132.98244113534653,12.114567104551938,1.0920320251658835,2.383969447717872,260119_CytoplasmicPOLR2A
