,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,EXPERIMENT
11,D13,373.78814432684584,867.654395048694,14436.948283366886,537.4522364919223,1304.9531540339158,529.8205911613865,6157.522090429295,231.00056689586899,481.34610066060003,7377.883440339518,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,73516,213.72062682215213,741.0644739560106,377.38471898722867,1178.3632329412324,70.93304939117527,354.7561795679166,1.1263341465319496,1.1879160775290492,1.0431281251151967,1.06150576545738,260119_CytoplasmicPOLR2A
12,D14,392.12551309935725,936.970131757308,13355.918701688624,559.832210520252,1386.2998632708993,521.8589453879835,6162.941797905769,231.42673495325593,498.1046242541665,6552.2680820908745,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107247,232.05799559466354,810.3802106646245,399.76469301555835,1259.709942178216,71.35921744856222,371.51470316148306,1.1931289256482154,1.1950531157847633,1.1151390619117096,1.1116508240629586,260119_CytoplasmicPOLR2A
13,D15,387.86778001368793,917.848450288349,13848.275285086085,549.6256864952464,1354.2651831534552,554.5750428806655,6200.144033688604,231.41339898589789,488.76947849061537,6700.166927529751,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,80502,227.80026250899422,791.2585291956656,389.55816899055276,1227.6752620607717,71.34588148120417,362.17955739793194,1.1626667581348786,1.1948297782831332,1.086780848692373,1.0837180871012972,260119_CytoplasmicPOLR2A
14,D16,386.77900191962925,888.1537514041702,14796.924497410904,561.5989043271895,1358.7899555107626,547.5334745980211,6280.301325007615,229.84871240598437,459.8605589620142,7592.746801705757,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,78792,226.71148441493554,761.5638303114868,401.53138682249585,1232.2000344180792,69.78119490129066,333.27063786933076,1.1984017611953472,1.1686259655255156,1.0907863345847577,0.9972164656492636,260119_CytoplasmicPOLR2A
15,D17,396.97808761542245,916.2040827213805,13709.011309155905,569.4392939353962,1366.9053711082743,534.8392747604713,5778.384578120041,242.060724473453,504.9037319566745,6883.650067654477,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,59863,236.91057011072874,789.614161628697,409.37177643070254,1240.3154500155908,81.9932069687593,378.3138108639911,1.2218020158785166,1.3731405831605716,1.0979703827798402,1.1319951970206572,260119_CytoplasmicPOLR2A
16,D18,408.43046052043576,958.7620225042729,12889.452890450335,577.0012068582669,1398.7394156593566,541.298231826907,5908.78844766197,241.40724749452784,508.0855477938139,6290.91688846304,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,84537,248.36294301574205,832.1721014115894,416.9336893535732,1272.1494945666732,81.33972998983413,381.49562670113045,1.2443711351607911,1.3621968014364927,1.1261509864163932,1.1415158651591537,260119_CytoplasmicPOLR2A
17,D19,395.2281212824272,901.3158417973706,13243.459872135685,556.4578941104623,1321.9856195061518,545.1919123180376,6081.493793527693,237.98708184728403,484.61087880585814,6283.359777665488,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,91034,235.16060377773348,774.7259207046872,396.39037660576867,1195.3956984134684,77.91956434259032,358.0209577131747,1.1830580149771401,1.3049192729071903,1.0582058560537255,1.0712746744256516,260119_CytoplasmicPOLR2A
18,D20,411.976283241209,917.1561157141471,14021.568923683119,590.5719615849722,1365.1829695260296,533.7927618243427,6120.299968892576,251.37555426298812,512.9135432707843,7130.679832019909,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,96440,251.90876573651528,790.5661946214636,430.5044440802785,1238.5930484333462,91.3080367582944,386.3236221781009,1.284874111762277,1.529136076959431,1.096445652982647,1.1559622520850934,260119_CytoplasmicPOLR2A
19,D21,414.07409789481915,936.5561384680431,13519.09641687323,586.5757395967789,1378.190558618841,557.5604528743934,6101.661473087819,253.41085184848075,521.1494446616073,6860.150451487252,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90368,254.00658039012544,809.9662173753596,426.50822209208525,1251.6006375261575,93.34333434378703,394.55952356892385,1.2729470753562901,1.56322121421371,1.1079604233381217,1.1806058166334126,260119_CytoplasmicPOLR2A
30,F13,349.0446521307945,863.751261399291,13836.301337750032,484.1345467728874,1263.3217425713044,533.8072155870676,6283.97851106298,220.1256967212062,476.43055698291505,6746.739516711258,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,117735,188.97713462610076,737.1613403066076,324.06702926819366,1136.731821478621,60.058179216512485,349.8406358902316,0.9672033404253652,1.0057945808162596,1.0062745514709324,1.0467974157379323,260119_CytoplasmicPOLR2A
