,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
2,260119_CytoplasmicPOLR2A,D04,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71514,12103.359356209972,5277.373073803731,5277.373073803731,463.20403422217885,716.4104937440189,231.0393951132883,303.13651671748516,556.3429762393253,70.97187760859458,1.2720227365761878,1.2723092343737246
3,260119_CytoplasmicPOLR2A,D05,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86189,12473.549861351217,5529.00025525299,5529.00025525299,415.49259287414327,628.6571767526564,219.92409020779868,255.42507536944956,468.5896592479627,59.85657270310497,1.0713835280477915,1.0730457295792368
4,260119_CytoplasmicPOLR2A,D06,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103124,12778.289282805166,5677.73260346767,5677.73260346767,411.3058937580026,617.6349680396658,216.92617538168037,251.23837625330887,457.56745053497207,56.858657876986655,1.0461823469616462,1.0193022632139854
5,260119_CytoplasmicPOLR2A,D07,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74416,10782.632525263385,5035.1680418189635,5035.1680418189635,429.23222736344957,635.4676211621743,221.7964491001994,269.1647098587558,475.4001036574806,61.728931595505685,1.0869549300517387,1.1066114120598523
6,260119_CytoplasmicPOLR2A,D08,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,69744,12104.647697292958,5300.858955609085,5300.858955609085,421.34156361875404,648.8680854152082,224.26614018527738,261.2740461140603,488.8005679105145,64.19862268058367,1.1175937552702364,1.1508854383287397
7,260119_CytoplasmicPOLR2A,D09,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57152,12490.584826427772,5591.956904395297,5591.956904395297,414.0751612823081,623.0273568895618,223.0299283442285,254.0076437776144,462.95983938486813,62.96241083953478,1.0585115063372057,1.1287239316305122
8,260119_CytoplasmicPOLR2A,D10,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,71435,12566.118471337579,5243.755162035417,5243.755162035417,416.6365733461903,645.3494385217189,223.519250245611,256.5690558414966,485.2819210170252,63.45173274091729,1.1095487200282057,1.137495980429104
9,260119_CytoplasmicPOLR2A,D11,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,55437,11038.907264101594,4931.800313869798,4931.800313869798,443.34978575543784,657.1415930722283,233.7761572536565,283.2822682507441,497.0740755675346,73.70863974896278,1.1365103054927372,1.321371029845417
10,260119_CytoplasmicPOLR2A,D12,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,76746,12199.25613061267,5372.558465587783,5372.558465587783,415.01839925325294,624.2597854974301,219.54482158529845,254.95088174855923,464.19226799273645,59.47730408060474,1.0613293314511532,1.0662466003047308
21,260119_CytoplasmicPOLR2A,F04,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,63995,13606.638784280021,5723.571263379951,5723.571263379951,413.40066019433664,644.1347329358701,220.57465284990784,253.33314268964293,484.06721543117646,60.507135345214124,1.1067714168367642,1.084708332922759
22,260119_CytoplasmicPOLR2A,F05,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86228,10674.908521593914,4904.6642969801,4904.6642969801,462.05190174707496,637.6881838339204,293.04995864004024,301.9843842423812,477.62066632922676,132.98244113534653,1.0920320251658835,2.383969447717872
23,260119_CytoplasmicPOLR2A,F06,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,114091,11805.898204065175,5368.0171266795805,5368.0171266795805,426.1026709094085,639.615662165673,220.55550569684692,266.03515340471483,479.54814466097935,60.48798819215321,1.096439012163042,1.084365082885248
24,260119_CytoplasmicPOLR2A,F07,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,46287,14600.235681724891,5453.940566465746,5453.940566465746,411.2597930129002,711.2270332812458,205.92877832760837,251.1922755082065,551.1595157765521,45.86126082291466,1.2601712711234188,0.8221524864652895
