,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_561_Intensity,NUCLEUS_IF_561_Intensity,CYTOPLASM_IF_561_Intensity,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
11,260119_CytoplasmicPOLR2A,D13,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,73516,14436.948283366886,6157.522090429295,6157.522090429295,867.654395048694,1304.9531540339158,481.34610066060003,741.0644739560106,1178.3632329412324,354.7561795679166,1.0431281251151967,1.06150576545738,373.78814432684584,537.4522364919223,231.00056689586899,213.72062682215213,377.38471898722867,70.93304939117527,1.1263341465319496,1.1879160775290492
12,260119_CytoplasmicPOLR2A,D14,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107247,13355.918701688624,6162.941797905769,6162.941797905769,936.970131757308,1386.2998632708993,498.1046242541665,810.3802106646245,1259.709942178216,371.51470316148306,1.1151390619117096,1.1116508240629586,392.12551309935725,559.832210520252,231.42673495325593,232.05799559466354,399.76469301555835,71.35921744856222,1.1931289256482154,1.1950531157847633
13,260119_CytoplasmicPOLR2A,D15,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,80502,13848.275285086085,6200.144033688604,6200.144033688604,917.848450288349,1354.2651831534552,488.76947849061537,791.2585291956656,1227.6752620607717,362.17955739793194,1.086780848692373,1.0837180871012972,387.86778001368793,549.6256864952464,231.41339898589789,227.80026250899422,389.55816899055276,71.34588148120417,1.1626667581348786,1.1948297782831332
14,260119_CytoplasmicPOLR2A,D16,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,78792,14796.924497410904,6280.301325007615,6280.301325007615,888.1537514041702,1358.7899555107626,459.8605589620142,761.5638303114868,1232.2000344180792,333.27063786933076,1.0907863345847577,0.9972164656492636,386.77900191962925,561.5989043271895,229.84871240598437,226.71148441493554,401.53138682249585,69.78119490129066,1.1984017611953472,1.1686259655255156
15,260119_CytoplasmicPOLR2A,D17,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,59863,13709.011309155905,5778.384578120041,5778.384578120041,916.2040827213805,1366.9053711082743,504.9037319566745,789.614161628697,1240.3154500155908,378.3138108639911,1.0979703827798402,1.1319951970206572,396.97808761542245,569.4392939353962,242.060724473453,236.91057011072874,409.37177643070254,81.9932069687593,1.2218020158785166,1.3731405831605716
16,260119_CytoplasmicPOLR2A,D18,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,84537,12889.452890450335,5908.78844766197,5908.78844766197,958.7620225042729,1398.7394156593566,508.0855477938139,832.1721014115894,1272.1494945666732,381.49562670113045,1.1261509864163932,1.1415158651591537,408.43046052043576,577.0012068582669,241.40724749452784,248.36294301574205,416.9336893535732,81.33972998983413,1.2443711351607911,1.3621968014364927
17,260119_CytoplasmicPOLR2A,D19,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,91034,13243.459872135685,6081.493793527693,6081.493793527693,901.3158417973706,1321.9856195061518,484.61087880585814,774.7259207046872,1195.3956984134684,358.0209577131747,1.0582058560537255,1.0712746744256516,395.2281212824272,556.4578941104623,237.98708184728403,235.16060377773348,396.39037660576867,77.91956434259032,1.1830580149771401,1.3049192729071903
18,260119_CytoplasmicPOLR2A,D20,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,96440,14021.568923683119,6120.299968892576,6120.299968892576,917.1561157141471,1365.1829695260296,512.9135432707843,790.5661946214636,1238.5930484333462,386.3236221781009,1.096445652982647,1.1559622520850934,411.976283241209,590.5719615849722,251.37555426298812,251.90876573651528,430.5044440802785,91.3080367582944,1.284874111762277,1.529136076959431
19,260119_CytoplasmicPOLR2A,D21,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90368,13519.09641687323,6101.661473087819,6101.661473087819,936.5561384680431,1378.190558618841,521.1494446616073,809.9662173753596,1251.6006375261575,394.55952356892385,1.1079604233381217,1.1806058166334126,414.07409789481915,586.5757395967789,253.41085184848075,254.00658039012544,426.50822209208525,93.34333434378703,1.2729470753562901,1.56322121421371
30,260119_CytoplasmicPOLR2A,F13,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,117735,13836.301337750032,6283.97851106298,6283.97851106298,863.751261399291,1263.3217425713044,476.43055698291505,737.1613403066076,1136.731821478621,349.8406358902316,1.0062745514709324,1.0467974157379323,349.0446521307945,484.1345467728874,220.1256967212062,188.97713462610076,324.06702926819366,60.058179216512485,0.9672033404253652,1.0057945808162596
31,260119_CytoplasmicPOLR2A,F14,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,101916,13807.620324581028,6333.257486557557,6333.257486557557,923.2576473401185,1341.216359802585,502.31040448304725,796.6677262474351,1214.6264387099015,375.7204833903638,1.0752295763372623,1.124235410937925,377.22264380952225,522.5217162657618,234.85940921808077,217.15512630482854,362.45419876106814,74.79189171338706,1.0817728436754352,1.2525401261854883
32,260119_CytoplasmicPOLR2A,F15,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90204,14084.670247439139,5898.39137953971,5898.39137953971,1200.7025178082574,1622.9893888518905,867.0583764073825,1074.112596715574,1496.399467759207,740.4684553146991,1.3246648635929457,2.2156387392975487,395.8089042329528,539.2001340345836,285.93723791865136,235.74138672825907,379.1326165298899,125.86972041395765,1.1315508831614083,2.1079407390094334
33,260119_CytoplasmicPOLR2A,F16,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,65888,14850.938532054395,6225.50438623118,6225.50438623118,853.6405088497171,1331.9139265503345,454.76201699997483,727.0505877570337,1205.324005457651,328.1720959072914,1.066994738821831,0.9819605462323756,357.3309647264903,524.0349698485545,221.26825221795409,197.2634472217966,363.9674523438608,61.200734713260374,1.0862892670940498,1.0249289625424858
34,260119_CytoplasmicPOLR2A,F17,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74151,16924.501018192608,6608.878356326954,6608.878356326954,865.3798186577326,1477.447714463006,446.76081656536235,738.7898975650492,1350.8577933703225,320.1708954726789,1.1958263105158444,0.9580192567465494,350.5933145564854,555.2768854131239,211.4928137859339,190.52579705179167,395.2093679084302,51.42529628124018,1.1795332023489729,0.8612196538639161
35,260119_CytoplasmicPOLR2A,F18,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,83369,15441.322853818565,6351.611978073384,6351.611978073384,698.9217545012685,852.20764768661,575.6176793750966,572.3318334085851,725.6177265939266,449.0277582824132,0.6423420533946879,1.3435863325840463,284.9213702902113,349.0849152221533,235.3301616008369,124.8538527855176,189.0173977174596,75.26264409614319,0.5641371752124117,1.2604238183263297
36,260119_CytoplasmicPOLR2A,F19,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,102369,12783.618546630327,6372.826890953316,6372.826890953316,791.3715837799602,886.4266035608076,682.5382803686218,664.7816626872768,759.8366824681242,555.9483592759384,0.6726338634975507,1.663515458382591,300.5166097623954,342.77551427018165,254.95844794134993,140.44909225770166,182.70799676548793,94.89093043665622,0.5453062756586664,1.5891388125126653
37,260119_CytoplasmicPOLR2A,F20,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,60552,16682.503583696656,6167.461504161713,6167.461504161713,897.1632021073709,1258.0454529497706,670.2930228582946,770.5732810146875,1131.4555318570872,543.7031017656112,1.0016037963534823,1.6268750495740558,319.30186274460607,439.0616939692363,243.28602607089869,159.23434523991236,278.99417646454253,83.21850856620497,0.8326798935550147,1.393660714184416
38,260119_CytoplasmicPOLR2A,F21,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,124087,13409.981295381467,6210.5109963171,6210.5109963171,793.6583482920087,1153.953015229557,435.679191807595,667.0684271993252,1027.3630941368735,309.08927071491155,0.9094575494557976,0.9248606840464696,332.5554704972428,458.9883348959994,210.9033249636595,172.4879529925491,298.9208173913057,50.835807458965775,0.8921525085610663,0.8513474820693315
48,260119_CytoplasmicPOLR2A,G13,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,145959,13300.358614405415,6191.130653128618,6191.130653128618,841.2713350565647,1204.1523544170466,464.8185007163842,714.6814139638813,1077.5624333243632,338.2285796237008,0.9538957507716727,1.012051679410658,336.43485082240164,457.59286838131135,214.63268832615393,176.36733331770793,297.5253508766176,54.565170821460214,0.8879876298398154,0.9138031460409145
49,260119_CytoplasmicPOLR2A,G14,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,135830,12590.751571817713,6051.437384966503,6051.437384966503,887.4198391843333,1249.1065304242652,485.4410847659478,760.8299180916499,1122.5166093315818,358.85116367326435,0.9936907511786882,1.0737588268207574,347.7164594987119,468.8949694865126,217.80970450553446,187.6489419940182,308.82745198181885,57.742187000840744,0.9217196326525087,0.9670086494056912
50,260119_CytoplasmicPOLR2A,G15,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107866,15777.257439786401,6579.075380564775,6579.075380564775,925.2359712862503,1191.9179093158598,718.9625017928346,798.6460501935669,1065.3279882231764,592.3725807001512,0.9430653943726773,1.7725044577882967,311.05574312466797,395.15913103825886,245.40084573518718,150.98822561997426,235.09161353356515,85.33332823049346,0.7016492681440768,1.4290776080279144
51,260119_CytoplasmicPOLR2A,G16,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,109019,13564.279428356525,6149.139718764619,6149.139718764619,1084.116569985306,1415.8858304503708,789.9685828157795,957.5266488926225,1289.2959093576874,663.3786617230961,1.1413295892558202,1.98496971908464,357.12672444244265,461.40469198677937,265.83158572827926,197.05920693774894,301.33717448208563,105.76406822358555,0.899364314881322,1.771231296920771
52,260119_CytoplasmicPOLR2A,G17,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,110993,12952.826052093375,6168.673537970863,6168.673537970863,832.262600319176,1180.5535420924266,466.81962028079545,705.6726792264926,1053.9636209997432,340.229699188112,0.9330052611781688,1.0180394537676243,342.83024016610824,466.21154166932513,218.29112720930016,182.76272266141453,306.14402416463145,58.223609704606446,0.9137107329059502,0.9750710374575142
53,260119_CytoplasmicPOLR2A,G18,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,72754,18080.660431041593,6844.678107045661,6844.678107045661,856.6036662326853,1499.0002356625776,448.47168975767687,730.0137451400019,1372.4103145698941,321.88176866499344,1.2149053520218314,0.9631385523704348,344.027745645925,557.0458556978738,208.68539476107682,183.96022814123128,396.9783381931801,48.61787725638311,1.184812832221802,0.8142037956058396
54,260119_CytoplasmicPOLR2A,G19,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,121181,14644.441752419934,6450.402472334772,6450.402472334772,688.438300962364,799.4679476055519,576.2119603413726,561.8483798696806,672.8780265128685,449.62203924868913,0.5956550362451672,1.3453645473364204,280.14482746965393,332.24408788482424,233.63089257893475,120.07730996496022,172.17657038013053,73.56337507424104,0.5138744116940923,1.231966152844719
