,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,FISH_647_Intensity_FC,IF_488_Intensity_BGS,IF_488_Intensity_FC,EXPERIMENT
0,D05,712.1435605048522,408.69675180118,605.6092953948628,5342.670243047953,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4567,D,5,236.224718451666,1.1030043538647905,486.2535605048522,1.2908300624908493,251024_LARP7_7SK
1,D06,653.1360716155544,412.3836100955741,606.5918045292625,5198.984561547962,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4858,D,6,239.9115767460601,1.120219405606428,427.24607161555446,1.1341861903281072,251024_LARP7_7SK
2,D07,672.3120019336711,392.8785209210361,573.0891625804769,5653.141359773371,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3530,D,7,220.4064875715221,1.0291442699345512,446.42200193367114,1.1850914573356228,251024_LARP7_7SK
3,D08,637.8029536495558,398.0710910039255,598.1556501441614,5334.662769371847,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4362,D,8,225.5990576544115,1.0533899434894418,411.9129536495558,1.09348222180255,251024_LARP7_7SK
4,D09,595.580461884741,392.8239724227143,522.8254351258113,5408.766406608536,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4358,D,9,220.35193907320027,1.028889566567604,369.690461884741,0.9813965403595009,251024_LARP7_7SK
5,D10,608.6481320220325,375.1906163432813,563.2453073317329,5574.414864864865,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3700,D,10,202.71858299376728,0.9465541164235822,382.75813202203256,1.0160865515594528,251024_LARP7_7SK
6,D11,619.4496822524301,392.6898040162125,564.802458836174,5337.379350619014,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4281,D,11,220.2177706666985,1.0282630938703667,393.5596822524301,1.0447608213055208,251024_LARP7_7SK
7,D12,589.283063084778,388.815348730484,574.9674116993759,5274.662242562929,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4370,D,12,216.34331538096998,1.0101720952779083,363.39306308477796,0.9646791888648479,251024_LARP7_7SK
8,D13,571.1604824692979,388.6137036177363,553.7978687902641,5337.716822217164,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4393,D,13,216.14167026822227,1.0092305535173587,345.2704824692979,0.9165701902508581,251024_LARP7_7SK
9,D14,602.4598947098149,386.63692135387475,559.2427642614334,5175.427120938628,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4432,D,14,214.16488800436073,1.0000003617830924,376.5698947098149,0.9996589849455557,251024_LARP7_7SK
10,E05,694.4547113494381,389.9202797108321,540.3632291037143,5364.84344894027,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4152,E,5,217.4482463613181,1.0153313507954185,468.5647113494381,1.2438724664642664,251024_LARP7_7SK
11,E06,790.9448708999429,212.30941551786674,473.19915428083397,5517.094775212637,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,823,E,6,39.83738216835272,0.18601273510358468,565.0548708999429,1.5000194827514353,251024_LARP7_7SK
12,E07,693.8424133511925,401.27450932920334,567.2100265765033,5203.134370219276,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3922,E,7,228.80247597968932,1.068347668418447,467.9524133511925,1.2422470333003062,251024_LARP7_7SK
13,E08,616.3126458288389,388.7485277882914,311.60608904615935,4051.877697841727,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,139,E,8,216.2764944387774,1.0098600881744566,390.4226458288389,1.0364331066076664,251024_LARP7_7SK
14,E09,717.5610171613808,219.11876995967734,553.820923765788,5145.908500270709,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1847,E,9,46.646736610163316,0.21780766175459226,491.67101716138086,1.305211480916306,251024_LARP7_7SK
15,E10,466.9669800783098,280.42290093994876,227.56965324565064,1592.1136363636363,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,44,E,10,107.95086759043474,0.5040551121668244,241.07698007830982,0.6399735416569451,251024_LARP7_7SK
16,E11,610.7792384176054,381.6669251432477,637.2355662990633,5260.85237388724,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4044,E,11,209.19489179373366,0.9767939526700052,384.8892384176054,1.0217438802151357,251024_LARP7_7SK
17,E12,589.8469932930547,387.56169405300614,573.9659832425427,5207.404952992433,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4361,E,12,215.08966070349211,1.0043184040276254,363.95699329305467,0.9661762227687941,251024_LARP7_7SK
18,E13,586.0389648323046,380.0689519933649,553.6527423360061,5294.273806696747,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4211,E,13,207.5969186438509,0.9693325347742301,360.1489648323046,0.9560672631328927,251024_LARP7_7SK
19,E14,610.2120182532947,375.87803799866674,510.1910935642131,5385.901171303075,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4098,E,14,203.40600464915272,0.9497638951622379,384.3220182532947,1.0202381126493762,251024_LARP7_7SK
20,F05,659.5347042950276,358.459408061858,500.21088736433455,5407.539122137405,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4192,F,5,185.987374712344,0.8684310660468516,433.6447042950276,1.1511722817264403,251024_LARP7_7SK
21,F06,654.1616759932476,366.46845558932705,523.0236024924083,5369.588697788698,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4070,F,6,193.99642223981303,0.9058277210244123,428.27167599324764,1.1369088047632057,251024_LARP7_7SK
22,F07,635.8212591746657,212.4038833820051,521.375502451243,5625.864203954215,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1922,F,7,39.93185003249107,0.1864538340119795,409.9312591746657,1.0882215285950714,251024_LARP7_7SK
23,F08,621.2687791935654,395.7531015213005,511.51650185598277,5088.118402282454,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4206,F,8,223.28106817178647,1.0425665524899461,395.3787791935654,1.0495898759570994,251024_LARP7_7SK
24,F09,334.4289418331579,231.01985879166403,189.28147312290793,866.0,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,33,F,9,58.547825442150014,0.27337742974269075,108.53894183315793,0.2881322430291754,251024_LARP7_7SK
25,F10,644.681605260968,218.86686121894454,553.7012615737453,5286.598317560462,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1902,F,10,46.394827869430515,0.2166314239771654,418.791605260968,1.1117425925445004,251024_LARP7_7SK
26,F11,406.41150163449936,214.92412711348246,201.8341862619289,2224.451612903226,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,62,F,11,42.452093763968435,0.19822161101194982,180.52150163449937,0.47922030842070823,251024_LARP7_7SK
27,F12,505.23200619723815,371.95327582233256,484.2111801428515,5438.730924855491,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3460,F,12,199.48124247281854,0.9314379985466972,279.34200619723816,0.7415535609477599,251024_LARP7_7SK
28,F13,494.904656720033,370.6152078489099,483.94967820968685,5463.33854718982,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3772,F,13,198.14317449939588,0.9251901561950331,269.01465672003303,0.7141381253524198,251024_LARP7_7SK
