,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells
0,D05,831.2731281077092,397.9965690468685,665.2668185262297,5827.604741546833,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2573
1,D06,735.0917004836524,391.322075288427,672.6855529466083,5615.433882551753,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2367
2,D07,833.7553703724506,396.83598089235676,653.2510390202253,5768.115484589677,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2693
3,D08,803.0513823348723,377.28125597821594,605.8812419994551,5692.36974789916,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2618
4,D09,786.9859716529384,367.2277303275699,601.1263576667856,5822.577610162763,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2519
5,D10,753.6339225235758,367.5631337712707,621.6996395350478,5701.979374110953,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2812
6,D11,766.0060719563138,358.7430770496728,606.0733018999434,5629.139280125196,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2556
7,D12,574.3419032508339,383.10541070341975,603.7371246332629,5866.972972972973,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2849
8,D13,619.7545799104171,381.9814816246867,613.9160120427698,5654.091242213265,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2729
9,D14,390.70721877181865,410.08101460367374,579.2546268625126,5652.342933097031,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2257
