,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,IF_488_Intensity_BGS,EXPERIMENT
0,D05,938.0549527180235,352.90149778741056,578.072268624131,5442.365384615385,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3796,D,5,182.48513785465707,685.0078547483189,251117_LARP7_7SK
1,D06,948.6251762564302,353.91829163051534,435.1167164420745,5418.977766674994,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4003,D,6,183.50193169776185,695.5780782867256,251117_LARP7_7SK
2,D07,943.6157812812019,347.76679531865756,463.5854250120775,5576.526126126126,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3330,D,7,177.35043538590406,690.5686833114972,251117_LARP7_7SK
3,D08,915.4430738180247,348.1631117856088,403.2580026905861,5466.048892723612,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3477,D,8,177.7467518528553,662.3959758483201,251117_LARP7_7SK
4,D09,949.1965054051612,353.41668529628976,414.50310677429314,5357.621089223639,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4315,D,9,183.00032536353626,696.1494074354566,251117_LARP7_7SK
5,D10,981.7249418357502,355.88550238646945,405.1075496042977,5575.7567780995,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3799,D,10,185.46914245371596,728.6778438660456,251117_LARP7_7SK
6,D11,949.8868049785787,346.677825675591,418.24149925415696,5645.652522255193,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3370,D,11,176.26146574283752,696.839707008874,251117_LARP7_7SK
7,D12,973.2088201030884,350.88293490178216,415.88328232149394,5628.010068107788,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3377,D,12,180.46657496902867,720.1617221333838,251117_LARP7_7SK
8,D13,911.201197177006,354.2518967497104,535.163159487935,5392.048264642082,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3688,D,13,183.8355368169569,658.1540992073013,251117_LARP7_7SK
9,D14,866.7010900743606,343.1166175327668,394.5353800868296,5305.213038130381,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4065,D,14,172.7002576000133,613.653992104656,251117_LARP7_7SK
10,E05,995.0037700552523,219.99395705719343,494.84455031671877,5128.768988764045,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2225,E,5,49.57759712443993,741.9566720855477,251117_LARP7_7SK
12,E07,939.4373614352497,219.382038188368,400.98345350953383,5702.487383339095,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2893,E,7,48.965678255614506,686.3902634655451,251117_LARP7_7SK
13,E08,889.485135109308,357.30204335720595,413.3659633931824,5640.544092611508,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2937,E,8,186.88568342445245,636.4380371396034,251117_LARP7_7SK
14,E09,942.2628685797259,357.61947381442394,405.80449306801347,5227.923860329777,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4124,E,9,187.20311388167045,689.2157706100213,251117_LARP7_7SK
15,E10,877.4639196352925,275.70824626462405,213.8537026906232,4579.483333333334,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,60,E,10,105.29188633187056,624.4168216655879,251117_LARP7_7SK
16,E11,942.2426902917509,362.9308885400031,391.25884531591345,5485.4765644793515,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3947,E,11,192.5145286072496,689.1955923220463,251117_LARP7_7SK
17,E12,959.9528469546681,361.19818428460337,412.86849768875703,5354.1126933464275,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4073,E,12,190.78182435184988,706.9057489849635,251117_LARP7_7SK
18,E13,903.5723738950282,342.3478162086425,468.72837620397763,5353.677260273973,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3650,E,13,171.931456275889,650.5252759253236,251117_LARP7_7SK
19,E14,868.1272827248876,344.70084076992697,395.64132628048065,5600.740719424461,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3475,E,14,174.28448083717348,615.0801847551829,251117_LARP7_7SK
20,F05,895.8985506411195,346.8706863242901,553.1016519511743,5662.413067863152,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3566,F,5,176.4543263915366,642.8514526714149,251117_LARP7_7SK
21,F06,1022.5265431369717,221.00317513639703,467.0894891435268,5009.143493761141,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2244,F,6,50.58681520364354,769.479445167267,251117_LARP7_7SK
22,F07,818.3878373738431,372.03042791257997,213.9054062556974,5209.254901960784,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,153,F,7,201.61406797982647,565.3407394041385,251117_LARP7_7SK
23,F08,953.0029766048443,219.9396468899926,427.6614214014752,5623.585666666667,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3000,F,8,49.523286957239094,699.9558786351397,251117_LARP7_7SK
24,F09,909.9395702803528,350.5654391562063,536.348931112507,5533.002640264026,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3030,F,9,180.14907922345282,656.8924723106481,251117_LARP7_7SK
25,F10,979.8163446427652,359.46420970732714,526.0239468208722,5039.36797188755,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3984,F,10,189.04784977457365,726.7692466730606,251117_LARP7_7SK
26,F11,387.4858238952163,201.1754134553043,183.49506490393867,1035.25,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,52,F,11,30.7590535225508,134.43872592551168,251117_LARP7_7SK
27,F12,906.164520112514,355.00010021795106,471.04193515944684,5474.290120087337,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3664,F,12,184.58374028519756,653.1174221428093,251117_LARP7_7SK
28,F13,873.8582858392963,360.8022237275871,518.3242640128431,5455.378100558659,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4475,F,13,190.3858637948336,620.8111878695917,251117_LARP7_7SK
29,F14,840.0583978806052,355.9839019205471,499.4325774895306,5534.914602683179,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3876,F,14,185.56754198779362,587.0112999109006,251117_LARP7_7SK
30,G05,910.0279707685584,340.8597238538697,530.2462987112635,5536.943925233645,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3852,G,5,170.4433639211162,656.9808727988537,251117_LARP7_7SK
31,G06,875.7331217139534,356.7729729308069,527.452781009125,5553.804612937433,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3772,G,6,186.35661299805338,622.6860237442488,251117_LARP7_7SK
32,G07,1028.1606831860386,222.28647784135683,430.3673292651501,5358.505357908272,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2333,G,7,51.87011790860333,775.113585216334,251117_LARP7_7SK
33,G08,834.0324500135953,394.40475117680023,226.81523255287328,4609.070175438596,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,114,G,8,223.98839124404674,580.9853520438907,251117_LARP7_7SK
34,G09,815.9176557648746,223.54971539080688,477.089347079719,5534.966705836271,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2553,G,9,53.13335545805339,562.8705577951699,251117_LARP7_7SK
35,G10,668.3848454911215,371.8247182287547,515.3317092195548,5419.370497427101,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3498,G,10,201.4083582960012,415.3377475214169,251117_LARP7_7SK
36,G11,504.42679621132754,397.3327854273534,428.60772635410865,5377.442180094787,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4220,G,11,226.91642549459988,251.37969824162292,251117_LARP7_7SK
37,G12,602.5103380506854,281.89487067299086,220.51283435457668,3221.309090909091,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,110,G,12,111.47851074023737,349.46324008098077,251117_LARP7_7SK
38,G13,733.1518798245205,368.7958555763357,480.80998323981225,5674.4379136881125,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3777,G,13,198.37949564358223,480.1047818548159,251117_LARP7_7SK
39,G14,663.1301537334089,368.26899196677334,456.130028371006,5696.80991980992,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3367,G,14,197.85263203401985,410.08305576370424,251117_LARP7_7SK
40,H05,884.2228330651668,350.39514379782213,549.9565258444286,5575.826476793249,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3792,H,5,179.97878386506864,631.1757350954622,251117_LARP7_7SK
41,H06,913.3544557114781,366.36012823052243,532.7287720867408,5541.762273276904,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4135,H,6,195.94376829776894,660.3073577417734,251117_LARP7_7SK
42,H07,871.2992947252415,355.90784700221684,402.73939798388716,5492.419875776398,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4025,H,7,185.49148706946335,618.2521967555368,251117_LARP7_7SK
43,H08,993.229969517675,227.69799530656093,443.64107278292164,5161.3103205354,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2839,H,8,57.28163537380743,740.1828715479704,251117_LARP7_7SK
44,H09,808.3058052930035,382.97124737378414,215.8982779553326,4621.309523809524,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,126,H,9,212.55488744103064,555.2587073232988,251117_LARP7_7SK
45,H10,440.929308136523,225.88645691484047,472.74479640369094,5740.9184608337155,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2183,H,10,55.47009698208697,187.88221016681837,251117_LARP7_7SK
