WELL,CELL,SIRNA,PRIMARY,SECONDARY,FISH
C03,HCT116,No transfection,No primary,No secondary,No probes
C04,HCT116,No transfection,No primary,No secondary,No probes
C05,HCT116,No transfection,No primary,No secondary,No probes
C06,HCT116,No transfection,No primary,No secondary,No probes
C07,HCT116,No transfection,No primary,No secondary,No probes
C08,HCT116,No transfection,No primary,No secondary,No probes
C09,HCT116,No transfection,No primary,No secondary,No probes
C10,HCT116,No transfection,No primary,No secondary,No probes
C11,HCT116,No transfection,No primary,No secondary,No probes
C12,HCT116,No transfection,No primary,No secondary,No probes
C13,HCT116,No transfection,No primary,No secondary,No probes
C14,HCT116,No transfection,No primary,No secondary,No probes
C15,HCT116,No transfection,No primary,No secondary,No probes
C16,HCT116,No transfection,No primary,No secondary,No probes
C17,HCT116,No transfection,No primary,No secondary,No probes
C18,HCT116,No transfection,No primary,No secondary,No probes
C19,HCT116,No transfection,No primary,No secondary,No probes
C20,HCT116,No transfection,No primary,No secondary,No probes
C21,HCT116,No transfection,No primary,No secondary,No probes
C22,HCT116,No transfection,No primary,No secondary,No probes
D03,HCT116,No transfection,No primary,No secondary,No probes
D04,HCT116,No transfection,No primary,No secondary,No probes
D05,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D06,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D07,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D08,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D09,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D10,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D11,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
D12,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
