,WELL,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,FISH_647_Intensity_FC,EXPERIMENT
10,E05,389.9202797108321,540.3632291037143,5364.84344894027,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4152,E,5,217.4482463613181,1.0153313507954185,251024_LARP7_7SK
11,E06,212.30941551786674,473.19915428083397,5517.094775212637,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,823,E,6,39.83738216835272,0.18601273510358468,251024_LARP7_7SK
12,E07,401.27450932920334,567.2100265765033,5203.134370219276,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3922,E,7,228.80247597968932,1.068347668418447,251024_LARP7_7SK
13,E08,388.7485277882914,311.60608904615935,4051.877697841727,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,139,E,8,216.2764944387774,1.0098600881744566,251024_LARP7_7SK
14,E09,219.11876995967734,553.820923765788,5145.908500270709,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1847,E,9,46.646736610163316,0.21780766175459226,251024_LARP7_7SK
15,E10,280.42290093994876,227.56965324565064,1592.1136363636363,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,44,E,10,107.95086759043474,0.5040551121668244,251024_LARP7_7SK
21,F06,366.46845558932705,523.0236024924083,5369.588697788698,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4070,F,6,193.99642223981303,0.9058277210244123,251024_LARP7_7SK
22,F07,212.4038833820051,521.375502451243,5625.864203954215,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1922,F,7,39.93185003249107,0.1864538340119795,251024_LARP7_7SK
23,F08,395.7531015213005,511.51650185598277,5088.118402282454,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4206,F,8,223.28106817178647,1.0425665524899461,251024_LARP7_7SK
24,F09,231.01985879166403,189.28147312290793,866.0,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,33,F,9,58.547825442150014,0.27337742974269075,251024_LARP7_7SK
