,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
0,250822_PTEFB_SIRNA,C03,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2607,766.3073220983931,1.043937617571537
1,250822_PTEFB_SIRNA,C04,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2470,821.1888129559734,1.1187024686468865
2,250822_PTEFB_SIRNA,C05,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2276,763.9019591992989,1.0406608006315663
3,250822_PTEFB_SIRNA,C06,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2201,745.984125445974,1.0162514022856541
4,250822_PTEFB_SIRNA,C07,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2354,774.1180805260092,1.0545781847555018
5,250822_PTEFB_SIRNA,C08,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3000,768.0585501631449,1.0463233090572128
6,250822_PTEFB_SIRNA,C09,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3441,774.1149356301248,1.054573900475524
7,250822_PTEFB_SIRNA,C10,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1927,758.5974116201827,1.0334344351743323
8,250822_PTEFB_SIRNA,C11,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3492,806.5866602439658,1.0988100102636797
9,250822_PTEFB_SIRNA,C12,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2056,782.3976836655464,1.0658574573484585
10,250822_PTEFB_SIRNA,C13,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3581,762.3143276512837,1.0384979760727746
11,250822_PTEFB_SIRNA,C14,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1956,738.2575186912042,1.0057254746129303
12,250822_PTEFB_SIRNA,C15,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2380,705.0752533584241,0.9605213978434781
13,250822_PTEFB_SIRNA,C16,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2373,790.0257354584198,1.0762491239627858
14,250822_PTEFB_SIRNA,C17,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3540,730.2850113663368,0.9948645575072406
15,250822_PTEFB_SIRNA,C18,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2366,727.9604564051699,0.9916978249208552
16,250822_PTEFB_SIRNA,C19,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2922,769.9821109474603,1.048943768766424
17,250822_PTEFB_SIRNA,C20,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2309,749.7601708402354,1.0213954948958266
18,250822_PTEFB_SIRNA,C21,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3121,755.436330704452,1.029128106388275
19,250822_PTEFB_SIRNA,C22,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2332,808.386174956124,1.1012614824697018
20,250822_PTEFB_SIRNA,D03,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,2290.598756914805,3.1204741755017866
21,250822_PTEFB_SIRNA,D04,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2568,741.3717624384989,1.0099679972984572
22,250822_PTEFB_SIRNA,D05,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1644,974.0109231783144,1.3268914615706435
23,250822_PTEFB_SIRNA,D06,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1094,2393.630287378128,3.2608336466237655
24,250822_PTEFB_SIRNA,D07,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1812,1027.889676228684,1.4002902866570441
25,250822_PTEFB_SIRNA,D08,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1384,2057.0113234034675,2.8022588827563975
26,250822_PTEFB_SIRNA,D09,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2672,255.49338491095438,0.3480576889424304
27,250822_PTEFB_SIRNA,D10,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,664,1787.8845791712702,2.4356285190673104
28,250822_PTEFB_SIRNA,D11,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,156,2356.764163924773,3.2106110636245497
29,250822_PTEFB_SIRNA,D12,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2742,747.0952333020246,1.0177650603894737
30,250822_PTEFB_SIRNA,D13,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3383,1245.94217911199,1.6973424011300953
31,250822_PTEFB_SIRNA,D14,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,915,2531.580796154162,3.4487631121547544
32,250822_PTEFB_SIRNA,D15,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1334,1809.5900370151403,2.46519778363832
