,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
0,250822_PTEFB_SIRNA,I03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1976,1608.8147149674246,0.9636425751770894
1,250822_PTEFB_SIRNA,I04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,1738.4573944667145,1.0412955232532657
2,250822_PTEFB_SIRNA,I05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3239,1709.0252872191322,1.023666375933139
3,250822_PTEFB_SIRNA,I06,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3533,1863.3418651899324,1.1160984150019195
4,250822_PTEFB_SIRNA,I07,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3291,1771.648745528557,1.0611763701359276
5,250822_PTEFB_SIRNA,I08,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,1851.2381392953184,1.1088485648595683
6,250822_PTEFB_SIRNA,I09,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3622,1747.0885031789974,1.0464653565154547
7,250822_PTEFB_SIRNA,I10,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3509,1787.9853970784918,1.0709616442404528
8,250822_PTEFB_SIRNA,I11,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3775,1713.8534551141113,1.0265583361448525
9,250822_PTEFB_SIRNA,I12,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3117,1736.9288413515308,1.0403799555085733
10,250822_PTEFB_SIRNA,I13,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3181,1742.316909349272,1.0436072828522804
11,250822_PTEFB_SIRNA,I14,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3408,1815.0864771041552,1.087194560500508
12,250822_PTEFB_SIRNA,I15,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3154,1799.766805254341,1.078018433569992
13,250822_PTEFB_SIRNA,I16,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3547,1796.3643003912534,1.0759804123374572
14,250822_PTEFB_SIRNA,I17,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3319,1861.781203193339,1.1151636147844757
15,250822_PTEFB_SIRNA,I18,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3263,1726.92542337959,1.034388140935166
16,250822_PTEFB_SIRNA,I19,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2950,1734.5016428378285,1.038926120082747
17,250822_PTEFB_SIRNA,I20,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3363,1807.3120350492109,1.0825378506303827
18,250822_PTEFB_SIRNA,I21,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2803,1593.0616965296167,0.954206883724871
19,250822_PTEFB_SIRNA,I22,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2560,1595.9914004641284,0.9559617082038455
20,250822_PTEFB_SIRNA,J03,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1824,543.2119028857888,0.3253712886224488
21,250822_PTEFB_SIRNA,J04,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2707,2032.9586650497276,1.2176949309273097
22,250822_PTEFB_SIRNA,J05,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2138,2630.8149692895427,1.575796944318689
23,250822_PTEFB_SIRNA,J06,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1486,548.7393402039398,0.32868209494578654
24,250822_PTEFB_SIRNA,J07,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2373,2347.2113280678873,1.405924963030919
25,250822_PTEFB_SIRNA,J08,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2244,747.9507253960356,0.44800507878298573
26,250822_PTEFB_SIRNA,J09,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2178,5768.043786619911,3.4549239987434888
