,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_488_Intensity_BGS,IF_488_FC
0,120,I03,1756.0166545988416,1848.5706431415288,1199.9324709664836,1650.6751012145749,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1976,250822_PTEFB_SIRNA,Control,1608.8147149674246,0.9636425751770894
1,121,I04,1470.3865743758474,1978.2133226408187,1198.4112307655873,1657.4318104906938,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,250822_PTEFB_SIRNA,Control,1738.4573944667145,1.0412955232532657
2,122,I05,1528.6366531855056,1948.7812153932364,1166.708885540859,1598.179067613461,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3239,250822_PTEFB_SIRNA,Control,1709.0252872191322,1.023666375933139
3,123,I06,1408.855831199541,2103.0977933640365,1210.0889920896177,1621.4523068213982,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3533,250822_PTEFB_SIRNA,Control,1863.3418651899324,1.1160984150019195
4,124,I07,1521.913114083304,2011.404673702661,1196.0844814424056,1612.5834092980856,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3291,250822_PTEFB_SIRNA,Control,1771.648745528557,1.0611763701359276
5,125,I08,1439.790941149446,2090.9940674694226,1156.5725506397416,1587.9881556683588,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,250822_PTEFB_SIRNA,Control,1851.2381392953184,1.1088485648595683
6,126,I09,1379.6754546469742,1986.8444313531015,1139.6763355993853,1599.3909442297074,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3622,250822_PTEFB_SIRNA,Control,1747.0885031789974,1.0464653565154547
7,127,I10,1408.7523536187555,2027.741325252596,1161.7216205674465,1547.1068680535766,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3509,250822_PTEFB_SIRNA,Control,1787.9853970784918,1.0709616442404528
8,128,I11,1417.2614262192533,1953.6093832882154,1150.7571166676707,1607.7152317880796,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3775,250822_PTEFB_SIRNA,Control,1713.8534551141113,1.0265583361448525
9,129,I12,1398.1867062861927,1976.684769525635,1134.5534254260394,1563.32402951556,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3117,250822_PTEFB_SIRNA,Control,1736.9288413515308,1.0403799555085733
10,130,I13,1400.008737791766,1982.0728375233762,1177.372699322166,1544.705124174788,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3181,250822_PTEFB_SIRNA,Control,1742.316909349272,1.0436072828522804
