,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
0,0,C03,1803.1312175039916,1006.0632502724973,1231.553477995898,1621.6873801304182,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2607,250822_PTEFB_SIRNA,Control,1644.0257950938148,1.0432025367392423
1,1,C04,1733.9024645893119,1060.9447411300775,1233.8916828537645,1686.538866396761,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2470,250822_PTEFB_SIRNA,Control,1574.7970421791351,0.999274022435264
2,2,C05,1708.8287540790884,1003.657887373403,1133.019313791776,1669.195079086116,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2276,250822_PTEFB_SIRNA,Control,1549.7233316689117,0.9833637134317256
3,3,C06,1829.1165988961286,985.7400536200781,1113.7406535790835,1626.4884143571105,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2201,250822_PTEFB_SIRNA,Control,1670.0111764859519,1.0596913387199114
4,4,C07,1703.3677151747465,1013.8740087001133,1170.912615471331,1614.4927782497875,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2354,250822_PTEFB_SIRNA,Control,1544.2622927645698,0.9798984578042029
5,5,C08,1729.4961705969547,1007.814478337249,1218.3758682826797,1623.6613333333332,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3000,250822_PTEFB_SIRNA,Control,1570.390748186778,0.9964780461895363
6,6,C09,1694.3570091584318,1013.870863804229,1284.1554216385373,1637.1502470212147,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3441,250822_PTEFB_SIRNA,Control,1535.251586748255,0.9741807912067061
7,7,C10,1895.79530923311,998.3533397942869,1255.7557998639536,1626.6798131811106,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1927,250822_PTEFB_SIRNA,Control,1736.6898868229332,1.1020017452704793
8,8,C11,1735.1018146162867,1046.34258841807,1270.5970471372832,1608.3092783505156,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3492,250822_PTEFB_SIRNA,Control,1575.99639220611,1.0000350597585907
9,9,C12,1907.6465854137791,1022.1536118396506,1248.5970087112164,1630.3088521400778,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2056,250822_PTEFB_SIRNA,Control,1748.5411630036024,1.1095218714218857
10,10,C13,1736.8212687594985,1002.0702558253879,1211.3094209420533,1599.4730522200502,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3581,250822_PTEFB_SIRNA,Control,1577.7158463493217,1.0011261247098575
11,11,C14,1815.4094146313969,978.0134468653083,1185.012283789018,1609.1411042944785,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1956,250822_PTEFB_SIRNA,Control,1656.3039922212201,1.0509935619336874
12,12,C15,1823.0149357664245,944.8311815325283,1181.5236257219356,1619.6861344537815,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2380,250822_PTEFB_SIRNA,Control,1663.9095133562478,1.0558195804578263
13,13,C16,1793.776590684739,1029.781663632524,1228.8874877059313,1611.5541508638853,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2373,250822_PTEFB_SIRNA,Control,1634.6711682745622,1.0372666381315587
14,14,C17,1703.6852769967584,970.040939540441,1152.5989999023222,1607.7838983050847,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3540,250822_PTEFB_SIRNA,Control,1544.5798545865816,0.9800999639480134
15,15,C18,1815.6534059994865,967.7163845792741,1170.355048632962,1642.3448858833474,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2366,250822_PTEFB_SIRNA,Control,1656.5479835893098,1.0511483845738754
16,16,C19,1853.2835174300412,1009.7380391215645,1314.2843122022105,1543.1362080766598,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2922,250822_PTEFB_SIRNA,Control,1694.1780950198645,1.0750262506142285
17,17,C20,1800.8509036246483,989.5160990143396,1183.166689261155,1608.0186227804245,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2309,250822_PTEFB_SIRNA,Control,1641.7454812144715,1.0417555830292753
18,18,C21,1739.335108254957,995.1922588785561,1165.4704995940854,1609.6097404677987,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3121,250822_PTEFB_SIRNA,Control,1580.2296858447803,1.002721260106421
19,19,C22,1830.7344942376606,1048.1421031302282,1112.6088973891308,1611.9536878216124,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2332,250822_PTEFB_SIRNA,Control,1671.6290718274838,1.060717960400363
20,20,D03,2037.8476239017375,2530.3546850889093,1517.2840532818977,1387.96269982238,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,250822_PTEFB_SIRNA,HEXIM1,1878.7422014915608,1.192139829146187
21,21,D04,1971.5576393666418,981.127690612603,1405.1818493624812,1466.7932242990655,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2568,250822_PTEFB_SIRNA,HEXIM2,1812.452216956465,1.1500760852354837
22,22,D05,2071.457425290172,1213.7668513524186,1386.070374102297,1552.949513381995,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1644,250822_PTEFB_SIRNA,LARP7,1912.3520028799953,1.2134666417621147
23,23,D06,2077.8092288841726,2633.386215552232,1456.3505428680016,1375.0063985374773,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1094,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,1918.7038064739959,1.217497124520904
