,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_647_Intensity_BGS,IF_647_FC
0,250822_PTEFB_SIRNA,I03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1976,1602.4041619292975,1.1750688702189351
1,250822_PTEFB_SIRNA,I04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,1316.7740817063034,0.965611715998821
2,250822_PTEFB_SIRNA,I05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3239,1375.0241605159615,1.0083274402357185
3,250822_PTEFB_SIRNA,I06,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3533,1255.243338529997,0.920490227559312
4,250822_PTEFB_SIRNA,I07,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3291,1368.30062141376,1.0033969603453117
5,250822_PTEFB_SIRNA,I08,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2955,1286.178448479902,0.9431754436630739
6,250822_PTEFB_SIRNA,I09,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3622,1226.0629619774302,0.8990917858160605
7,250822_PTEFB_SIRNA,I10,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3509,1255.1398609492114,0.9204143457769032
8,250822_PTEFB_SIRNA,I11,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3775,1263.6489335497092,0.9266541862396483
9,250822_PTEFB_SIRNA,I12,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3117,1244.5742136166486,0.9126663858244913
10,250822_PTEFB_SIRNA,I13,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3181,1246.396245122222,0.9140025109754516
11,250822_PTEFB_SIRNA,I14,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3408,1231.4064846954209,0.9030102773879114
12,250822_PTEFB_SIRNA,I15,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3154,1304.929707171129,0.9569260447217693
13,250822_PTEFB_SIRNA,I16,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3547,1256.5941522854878,0.9214808011182509
14,250822_PTEFB_SIRNA,I17,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3319,1344.8443499765738,0.9861960973969419
15,250822_PTEFB_SIRNA,I18,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3263,1279.2177092461056,0.9380710210825073
16,250822_PTEFB_SIRNA,I19,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2950,1324.7254036635036,0.9714425489003936
17,250822_PTEFB_SIRNA,I20,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3363,1274.1385089128848,0.934346361387423
18,250822_PTEFB_SIRNA,I21,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2803,1302.887205423291,0.955428245178886
19,250822_PTEFB_SIRNA,I22,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2560,1436.788413765705,1.0536201653861008
20,250822_PTEFB_SIRNA,J03,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1824,1599.0512944000436,1.1726101582702275
21,250822_PTEFB_SIRNA,J04,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2707,1605.9507898788963,1.177669669815464
22,250822_PTEFB_SIRNA,J05,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2138,1560.5277040849242,1.144360186868592
23,250822_PTEFB_SIRNA,J06,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1486,1577.4827489685752,1.1567935953115378
24,250822_PTEFB_SIRNA,J07,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2373,1551.9462509141463,1.1380672685638356
25,250822_PTEFB_SIRNA,J08,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2244,1446.4511130485416,1.0607059789400781
26,250822_PTEFB_SIRNA,J09,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2178,2123.9637956350734,1.5575369791338252
27,250822_PTEFB_SIRNA,J10,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,917,1769.6517014402175,1.2977141940200003
28,250822_PTEFB_SIRNA,J11,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,168,1154.9068262422738,0.8469118414462302
29,250822_PTEFB_SIRNA,J12,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3114,1354.8779278716215,0.9935538822314447
30,250822_PTEFB_SIRNA,J13,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3049,1241.503207398264,0.9104143673305255
31,250822_PTEFB_SIRNA,J14,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1233,1416.6909598720451,1.0388823776280696
32,250822_PTEFB_SIRNA,J15,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1548,1977.2130186381958,1.4499222625557984
33,250822_PTEFB_SIRNA,J16,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3876,1214.385239028659,0.8905283228407643
34,250822_PTEFB_SIRNA,J17,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3337,1335.4538231974832,0.9793098723388511
35,250822_PTEFB_SIRNA,J18,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1852,1584.267706792363,1.1617691145431417
36,250822_PTEFB_SIRNA,J19,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3557,1263.0717810966075,0.9262309510177716
37,250822_PTEFB_SIRNA,J20,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,986,1783.9497308277262,1.3081991700565756
38,250822_PTEFB_SIRNA,J21,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2920,1263.0983094795542,0.9262504047097418
39,250822_PTEFB_SIRNA,J22,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2155,1550.9962407509763,1.1373706107569883
40,250822_PTEFB_SIRNA,K03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2725,1497.7552166586563,1.0983281073013451
41,250822_PTEFB_SIRNA,K04,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2583,1352.4178055884433,0.9917498348003558
