,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_647_Intensity_BGS,IF_647_FC
0,250822_PTEFB_SIRNA,C03,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2607,1644.0257950938148,1.0432025367392423
1,250822_PTEFB_SIRNA,C04,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2470,1574.7970421791351,0.999274022435264
2,250822_PTEFB_SIRNA,C05,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2276,1549.7233316689117,0.9833637134317256
3,250822_PTEFB_SIRNA,C06,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2201,1670.0111764859519,1.0596913387199114
4,250822_PTEFB_SIRNA,C07,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2354,1544.2622927645698,0.9798984578042029
5,250822_PTEFB_SIRNA,C08,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3000,1570.390748186778,0.9964780461895363
6,250822_PTEFB_SIRNA,C09,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3441,1535.251586748255,0.9741807912067061
7,250822_PTEFB_SIRNA,C10,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1927,1736.6898868229332,1.1020017452704793
8,250822_PTEFB_SIRNA,C11,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3492,1575.99639220611,1.0000350597585907
9,250822_PTEFB_SIRNA,C12,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2056,1748.5411630036024,1.1095218714218857
10,250822_PTEFB_SIRNA,C13,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3581,1577.7158463493217,1.0011261247098575
11,250822_PTEFB_SIRNA,C14,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1956,1656.3039922212201,1.0509935619336874
12,250822_PTEFB_SIRNA,C15,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2380,1663.9095133562478,1.0558195804578263
13,250822_PTEFB_SIRNA,C16,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2373,1634.6711682745622,1.0372666381315587
14,250822_PTEFB_SIRNA,C17,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3540,1544.5798545865816,0.9800999639480134
15,250822_PTEFB_SIRNA,C18,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2366,1656.5479835893098,1.0511483845738754
16,250822_PTEFB_SIRNA,C19,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2922,1694.1780950198645,1.0750262506142285
17,250822_PTEFB_SIRNA,C20,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2309,1641.7454812144715,1.0417555830292753
18,250822_PTEFB_SIRNA,C21,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3121,1580.2296858447803,1.002721260106421
19,250822_PTEFB_SIRNA,C22,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2332,1671.6290718274838,1.060717960400363
20,250822_PTEFB_SIRNA,D03,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,1878.7422014915608,1.192139829146187
21,250822_PTEFB_SIRNA,D04,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2568,1812.452216956465,1.1500760852354837
22,250822_PTEFB_SIRNA,D05,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1644,1912.3520028799953,1.2134666417621147
23,250822_PTEFB_SIRNA,D06,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1094,1918.7038064739959,1.217497124520904
24,250822_PTEFB_SIRNA,D07,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1812,1860.9219708966464,1.1808321539154392
