,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
0,C03,173.11885152123918,2680.7673232718166,1693.4434622467772,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3270,384.79697608071683,1025.4952229646603,1837.7497279623158,1677.0739561217267,260515_mACPOLR2A_CRC_EU
1,C04,156.58214632160968,2582.5156428958217,1719.649752114319,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4202,398.9553396396548,978.8291373690234,1833.5424556023215,1705.955088118249,260515_mACPOLR2A_CRC_EU
2,C05,156.23415735363594,2696.439550469091,1672.9842260926716,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3923,387.72168551612543,1019.1715171449645,1838.8296058298265,1646.0517406579368,260515_mACPOLR2A_CRC_EU
3,C06,156.3974679465287,2692.692109670512,1713.6472392638036,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3391,400.1613341397563,995.2735048240671,1756.8837504820895,1689.8216541353383,260515_mACPOLR2A_CRC_EU
4,C07,157.07454161310324,3101.1116909601005,1736.681070745698,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,2966,378.11655788131617,1009.5776215744397,1789.419582132269,1721.8153169659215,260515_mACPOLR2A_CRC_EU
5,C08,155.23201074742227,2864.0122295308347,1734.0009996667777,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3511,383.49637387078883,948.8707328765402,1697.4800082076233,1707.8738392571245,260515_mACPOLR2A_CRC_EU
6,C09,155.33836147790583,3290.9148938641742,1728.6091870215093,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3168,379.48057324088063,954.0032456654878,1742.803946166277,1695.059633027523,260515_mACPOLR2A_CRC_EU
7,C10,156.1747966807019,3965.576391414158,1652.0458505272811,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3501,382.20679051618464,1047.4100613306045,2001.6745037331643,1627.1760500446828,260515_mACPOLR2A_CRC_EU
8,C11,155.6304035505289,3534.896521870728,1779.0346841913106,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3163,362.4146791889288,961.6058069171609,1797.4233374125588,1731.2361984626136,260515_mACPOLR2A_CRC_EU
9,C12,155.04156727317965,3615.95852675542,1698.467893353361,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3898,366.89489119577485,993.1928875920452,1896.174077106133,1670.9410892923304,260515_mACPOLR2A_CRC_EU
10,C13,154.85361945325653,4006.203424000426,1710.9475106136626,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3262,346.05840362193425,966.4591568485248,1856.0497830204326,1680.357661444402,260515_mACPOLR2A_CRC_EU
11,C14,155.489868323565,3589.437861506364,1671.7467036780015,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3071,356.7817843281564,970.5008068924346,1804.295813364323,1632.355473965287,260515_mACPOLR2A_CRC_EU
12,C15,155.77926989471356,4004.206926416961,1738.376844494892,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3847,347.2668516639209,964.1691373054254,1877.7824642958813,1688.0173035328046,260515_mACPOLR2A_CRC_EU
13,C16,154.87993158550853,3393.5307759600805,1667.227657004831,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3324,158.89710426573322,1741.8308920647137,1711.210598737729,1657.255180580225,260515_mACPOLR2A_CRC_EU
