,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,DRUG_CONCENTRATION_LOG
13,C16,132.37967980927672,5568.76679700774,1677.3107701564381,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3324,187.38709280835832,558.2091210571092,5685.710400010792,1645.5753056963913,260508_mACPOLR2A_CRC_EU,-0.6666783166234325,-0.00623075974996453,432.02942365633817,1.2720098584423718,-12.0
14,C17,132.35600882138942,5948.821178656199,1707.3377097009482,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4113,186.52451770324166,546.0886520532057,5671.237799344881,1679.2980030721967,260508_mACPOLR2A_CRC_EU,-0.6903493045107325,-0.006451988241866112,419.90895465243466,1.2363239648024646,-12.0
15,C18,132.14705214997375,5399.507681750492,1689.5446834292638,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3301,187.2164808429949,551.1297530278508,5648.951974996006,1648.8173488087966,260508_mACPOLR2A_CRC_EU,-0.8993059759264099,-0.008404892341608667,424.9500556270798,1.2511663106845654,-12.0
16,C19,132.4186737318126,5905.85914691821,1693.9344550477147,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3982,185.3938069540311,545.2339564129132,5580.991301310308,1667.3734498308906,260508_mACPOLR2A_CRC_EU,-0.6276843940875665,-0.005866323473920257,419.0542590121422,1.2338075128644954,-12.0
17,C20,132.6093003084611,4891.997567110255,1648.3991609229847,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3337,184.41264734448913,547.5201027535892,5422.121465235045,1649.4644121116792,260508_mACPOLR2A_CRC_EU,-0.4370578174390687,-0.004084732005533146,421.34040535281815,1.2405385374752056,-12.0
18,C21,132.5060164852378,6034.256809163049,1725.089439110662,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3958,186.6951235020259,532.3475269294487,5718.83147585834,1681.9683143219265,260508_mACPOLR2A_CRC_EU,-0.5403416406623478,-0.0050500201700281605,406.16782952867766,1.1958664272681396,-12.0
19,C22,132.500302838993,5949.8197774673,1719.3209211170995,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4082,185.43947956530826,546.3853167393996,5547.141965696573,1675.4677234091432,260508_mACPOLR2A_CRC_EU,-0.5460552869071478,-0.005103419772445025,420.2056193386286,1.2371974247679844,-12.0
33,D16,132.6755628239705,5413.373246174087,1668.3090117070515,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3673,187.06944551682253,545.3202042857735,5657.954732924577,1629.0594485927627,260508_mACPOLR2A_CRC_EU,-0.37079530192966104,-0.0034654441056979073,419.1405068850024,1.234061449607089,-12.0
34,D17,150.49710956047397,4679.909693238685,1904.0129932627526,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4156,182.34175188348075,293.73994165844175,5115.266004828676,1901.8798760010334,260508_mACPOLR2A_CRC_EU,17.450751434573817,0.16309430940528752,167.5602442576707,0.49334205243463175,-6.0
35,D18,231.16418966018614,5016.726304936486,1989.6378845116028,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3706,184.5030443964001,535.9393669794096,5256.123641257032,1984.45610965296,260508_mACPOLR2A_CRC_EU,98.11783153428598,0.9170069285798367,409.7596695786385,1.2064417624266375,-12.0
36,D19,234.3311781767981,4994.947809426299,1937.9108087679517,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3969,184.4810074471421,535.0729836424782,5316.310858108049,1870.8044332211,260508_mACPOLR2A_CRC_EU,101.28482005089793,0.946605528213086,408.8932862417072,1.2038908987923043,-12.0
37,D20,232.5820645418169,4941.5135176542,1977.1157024793388,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3872,184.02323774040786,527.0268540148072,5301.466655560619,1906.9733153638815,260508_mACPOLR2A_CRC_EU,99.53570641591674,0.9302583536264692,400.8471566140362,1.1802009470244725,-12.0
38,D21,234.8908649954692,5207.098252825948,1939.5423107152214,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3817,185.1484679431006,546.6247525850275,5465.069490454105,1903.804655029094,260508_mACPOLR2A_CRC_EU,101.84450686956905,0.9518363479583927,420.4450551842565,1.2379023877622304,-12.0
39,D22,132.6290853843236,6415.201054299872,1689.9832928311057,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3292,185.80469199449746,540.1567455375572,5589.810846222257,1664.087493431424,260508_mACPOLR2A_CRC_EU,-0.4172727415765678,-0.0038998211553371636,413.97704813678615,1.2188588498031085,-12.0
53,E16,132.367187034823,5545.310395311695,1733.9801548886737,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4132,186.66512838820074,487.73328674110763,5682.939846502947,1696.4220956155561,260508_mACPOLR2A_CRC_EU,-0.6791710910771656,-0.006347516923988044,361.55358934033654,1.064510204198417,-12.0
54,E17,155.41317172736612,4879.380847813879,1947.9637821398949,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3617,181.62529941781003,269.35808722862106,5179.717342717766,1910.9957459738682,260508_mACPOLR2A_CRC_EU,22.366813601465964,0.20903970992908547,143.17838982785,0.4215553696217753,-6.5
55,E18,151.6146030561945,5055.516459599968,1927.172932330827,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3458,181.03385601037104,258.05691169955463,5126.985113853429,1932.6045214327658,260508_mACPOLR2A_CRC_EU,18.568244930294355,0.17353837713685524,131.87721429878357,0.388281694501918,-6.0
56,E19,233.71069871470615,5447.428850256888,1931.5006105006105,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4095,183.3603378384577,483.80280498195526,5307.992495384444,1925.6275006330716,260508_mACPOLR2A_CRC_EU,100.664340588806,0.9408065418628733,357.6231075811842,1.0529378175221642,-12.0
57,E20,229.90471751636107,5158.5856218523895,1941.078133478025,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3686,182.1556946336704,479.06451128640197,5158.240390567241,1940.3351515151514,260508_mACPOLR2A_CRC_EU,96.85835939046092,0.9052359317673224,352.88481388563093,1.0389870170374884,-12.0
58,E21,232.27696202969895,6053.391693510226,1992.3738396624472,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3555,182.6494664749936,485.657354183503,5272.952843527002,1887.1354375896701,260508_mACPOLR2A_CRC_EU,99.2306039037988,0.9274068727777358,359.47765678273197,1.0583981050353863,-12.0
59,E22,132.22331560677893,6521.497046429518,1712.9611801242236,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3220,184.47770463678043,494.7231174369257,5528.210428849745,1664.662625665287,260508_mACPOLR2A_CRC_EU,-0.8230425191212305,-0.007692135881399281,368.54342003615466,1.0850901301642841,-12.0
73,F16,132.0859306392385,5535.107171485603,1683.3618677042803,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4369,184.93489391434682,462.2195570448288,5467.380905387983,1643.9479571984436,260508_mACPOLR2A_CRC_EU,-0.9604274866616436,-0.008976132532642553,336.03985964405774,0.9893909786960443,-12.0
74,F17,164.07478816495694,5008.644399708772,1941.1744,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3750,182.15441019481753,292.3759262828952,5256.958734686997,1895.918732782369,260508_mACPOLR2A_CRC_EU,31.028430039056786,0.28999097191449014,166.19622888212413,0.48932602734523334,-7.0
75,F18,156.10595451246755,5146.347247181515,2001.9097644879598,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3779,182.56142467787393,277.77253218775184,5365.429817637312,1932.9579504316346,260508_mACPOLR2A_CRC_EU,23.059596386567392,0.21551444142288997,151.59283478698077,0.4463297399661643,-6.5
76,F19,154.07016676057424,5028.670788847735,1911.714214088744,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3989,180.8806259281541,264.601445944542,5130.966897625548,1903.1629359708486,260508_mACPOLR2A_CRC_EU,21.023808634674083,0.19648801733246565,138.42174854377092,0.40755054894262754,-6.0
77,F20,235.58253803152337,5137.553573798261,1921.5107116473775,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4061,183.00331625664606,484.2270379291981,5295.628003906778,1832.2429350520574,260508_mACPOLR2A_CRC_EU,102.53617990562321,0.9583007077638974,358.04734052842707,1.0541868724744914,-12.0
78,F21,242.2201320683285,5461.575514475067,1994.635738831615,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3492,183.92559296360864,486.0484914930938,5386.0487073111435,2001.197099733649,260508_mACPOLR2A_CRC_EU,109.17377394242834,1.020335504351545,359.8687940923228,1.0595497176028672,-12.0
79,F22,132.64824041680052,6506.741404259384,1672.8845329249616,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3265,184.74030200403143,486.70190014899487,5491.634459443121,1620.2800226052557,260508_mACPOLR2A_CRC_EU,-0.39811770909963684,-0.0037207986756935983,360.5222027482238,1.0614735269695152,-12.0
93,G16,132.1356607908935,5361.806752808543,1650.7128580946037,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4503,184.76451912745202,471.9270150452083,5471.347936931522,1625.6138571120225,260508_mACPOLR2A_CRC_EU,-0.9106973350066596,-0.008511355713650064,345.7473176444372,1.0179723243192078,-12.0
94,G17,185.13855070928275,5595.656315129813,1883.3929929386204,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3682,183.67406004524193,345.38949797349824,5424.6159454079625,1848.4434065934065,260508_mACPOLR2A_CRC_EU,52.0921925833826,0.48685239753983767,219.20980057272718,0.6454121227111114,-7.5
95,G18,165.29452307145073,5287.208907058448,1950.9958060288336,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3815,179.62801103283797,280.4418382527948,4968.514389491767,1941.8666666666666,260508_mACPOLR2A_CRC_EU,32.24816494555057,0.3013905854484953,154.26214085202375,0.45418888900559545,-7.0
96,G19,159.09999753547825,5416.778924625525,1932.5452544031311,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4088,179.83496928552557,261.132743361645,5027.166521089256,1905.917951268026,260508_mACPOLR2A_CRC_EU,26.053639409578096,0.24349669657095177,134.95304596087394,0.3973377633316197,-6.5
97,G20,156.38273883103545,5271.432679107015,1883.9709081022295,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3678,178.8684344395337,244.87738971031274,4987.263484264401,1888.401706970128,260508_mACPOLR2A_CRC_EU,23.336380705135298,0.21810126110571518,118.69769230954168,0.3494776663919966,-6.0
98,G21,234.9043724853192,5908.23277313443,1986.4806830907055,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3572,180.1154689671078,448.32471708004374,4874.853444522567,1937.2551895931358,260508_mACPOLR2A_CRC_EU,101.85801435941903,0.9519625886384654,322.14501967927265,0.9484808636693767,-12.0
99,G22,132.65209825249542,6729.124959756595,1691.464190193165,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3365,183.34777826786032,456.8964333725987,5420.551118902442,1679.3153969099626,260508_mACPOLR2A_CRC_EU,-0.3942598734047351,-0.003684743434701941,330.7167359718277,0.9737182827683458,-12.0
113,H16,132.6529870283714,5213.559953267739,1658.3761276891048,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4323,181.22043924487434,434.82656502653316,5145.095217107143,1631.2976851851852,260508_mACPOLR2A_CRC_EU,-0.39337109752875676,-0.0036764369564249322,308.64686762576207,0.9087387036620587,-12.0
114,H17,204.6263372518661,5052.925428585762,1859.129397293973,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4065,182.07385699365773,388.50022240134376,5186.534786917808,1862.782806573957,260508_mACPOLR2A_CRC_EU,71.57997912596593,0.668984788796255,262.32052500057273,0.7723415943492115,-8.0
115,H18,181.96129649836948,5174.7242009691145,1891.408615855213,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3923,180.22128305461598,331.3611659520179,4981.517931563937,1878.6164102564103,260508_mACPOLR2A_CRC_EU,48.91493837246932,0.4571578549708977,205.18146855124687,0.6041089714631999,-7.5
116,H19,167.47586142181117,5517.106703136273,1956.0537507383344,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3386,181.8266988665352,289.02512184479207,5259.815020831151,1891.5034143676592,260508_mACPOLR2A_CRC_EU,34.42950329591102,0.32177732198331627,162.845424444021,0.479460365319468,-7.0
117,H20,157.79532077791086,5144.989167512793,1976.0477682067346,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3831,179.4726238740028,258.36050995023777,5000.142878753442,1928.14152892562,260508_mACPOLR2A_CRC_EU,24.748962652010704,0.23130321850954244,132.1808125494667,0.38917556873068354,-6.5
118,H21,155.5744089060906,5579.914298337531,1945.6790633608816,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3630,179.67826430270202,247.67758237681574,4946.936863503812,1906.5907281001137,260508_mACPOLR2A_CRC_EU,22.528050780190455,0.21054662878086786,121.49788497604467,0.35772218049750615,-6.0
119,H22,133.04416110122907,6377.384974118679,1665.266941661756,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3394,184.37452870790412,461.614171297087,5489.344120350882,1640.5400398974066,260508_mACPOLR2A_CRC_EU,-0.0021970246710907304,-2.053334051667286e-05,335.4344738963159,0.987608561580166,-12.0
133,I16,132.88440480977127,4991.488324792795,1597.9146341463415,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4756,180.64747747355045,447.7632900673587,5059.399465510041,1603.888366124893,260508_mACPOLR2A_CRC_EU,-0.16195331612888708,-0.0015136118549947202,321.5835926665876,0.9468278727946179,-12.0
134,I17,226.3492163434067,5099.5462418958905,1876.2359173126615,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3870,182.0188469396966,418.9848363350503,5178.3197055669325,1869.2412184412733,260508_mACPOLR2A_CRC_EU,93.30285821750655,0.8720063020538531,292.8051389342793,0.8620964289304083,-8.5
