,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
0,260508_mACPOLR2A_CRC_EU,C03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3270,653.0256371198706,470.7557035000933,2.0456906264829686
1,260508_mACPOLR2A_CRC_EU,C04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4202,687.6745710819544,505.4046374621771,2.1962591674413856
2,260508_mACPOLR2A_CRC_EU,C05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3923,673.1370230277896,490.86708940801236,2.133085581725191
3,260508_mACPOLR2A_CRC_EU,C06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3391,688.9659044099049,506.6959707901276,2.2018707159898416
4,260508_mACPOLR2A_CRC_EU,C07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,2966,640.6040360470778,458.33410242730054,1.9917119859872876
5,260508_mACPOLR2A_CRC_EU,C08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3511,642.8125940906855,460.54266047090823,2.001309376851084
6,260508_mACPOLR2A_CRC_EU,C09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3168,675.529910607971,493.2599769881938,2.1434839850936673
7,260508_mACPOLR2A_CRC_EU,C10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3501,662.0213004721405,479.7513668523633,2.0847816965686046
8,260508_mACPOLR2A_CRC_EU,C11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3163,671.059428026048,488.7894944062707,2.124057296801417
9,260508_mACPOLR2A_CRC_EU,C12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3898,673.0880482001503,490.81811458037305,2.1328727593523755
