,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
0,260508_mACPOLR2A_CRC_EU,C03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3270,133.71515041225604,0.6687922863558811,0.006250516860992672
1,260508_mACPOLR2A_CRC_EU,C04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4202,133.79522291207718,0.7488647861770232,0.006998872546972514
2,260508_mACPOLR2A_CRC_EU,C05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3923,133.0693229125692,0.022964786669035675,0.00021462835204939112
3,260508_mACPOLR2A_CRC_EU,C06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3391,132.80173557544674,-0.24462255045341408,-0.0022862365601125775
4,260508_mACPOLR2A_CRC_EU,C07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,2966,132.9785570143808,-0.0678011115193442,-0.0006336675816864837
5,260508_mACPOLR2A_CRC_EU,C08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3511,132.61241357164283,-0.43394455425732303,-0.004055635521606514
6,260508_mACPOLR2A_CRC_EU,C09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3168,133.41004418699058,0.36368606109041934,0.0033990013092705393
7,260508_mACPOLR2A_CRC_EU,C10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3501,132.79495214519747,-0.2514059807026854,-0.002349634338486289
8,260508_mACPOLR2A_CRC_EU,C11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3163,132.9566220563184,-0.08973606958176106,-0.0008386711799805986
9,260508_mACPOLR2A_CRC_EU,C12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3898,132.60873952117421,-0.43761860472594094,-0.0040899731102281844
