,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,IF_568_Intensity,IF_Intensity_BGS,IF_Intensity_FC
13,260508_mACPOLR2A_CRC_EU,C16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3324,558.2091210571092,432.02942365633817,1.2720098584423718
14,260508_mACPOLR2A_CRC_EU,C17,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4113,546.0886520532057,419.90895465243466,1.2363239648024646
15,260508_mACPOLR2A_CRC_EU,C18,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3301,551.1297530278508,424.9500556270798,1.2511663106845654
16,260508_mACPOLR2A_CRC_EU,C19,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3982,545.2339564129132,419.0542590121422,1.2338075128644954
17,260508_mACPOLR2A_CRC_EU,C20,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3337,547.5201027535892,421.34040535281815,1.2405385374752056
18,260508_mACPOLR2A_CRC_EU,C21,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3958,532.3475269294487,406.16782952867766,1.1958664272681396
19,260508_mACPOLR2A_CRC_EU,C22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4082,546.3853167393996,420.2056193386286,1.2371974247679844
33,260508_mACPOLR2A_CRC_EU,D16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3673,545.3202042857735,419.1405068850024,1.234061449607089
34,260508_mACPOLR2A_CRC_EU,D17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4156,293.73994165844175,167.5602442576707,0.49334205243463175
35,260508_mACPOLR2A_CRC_EU,D18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3706,535.9393669794096,409.7596695786385,1.2064417624266375
36,260508_mACPOLR2A_CRC_EU,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3969,535.0729836424782,408.8932862417072,1.2038908987923043
37,260508_mACPOLR2A_CRC_EU,D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3872,527.0268540148072,400.8471566140362,1.1802009470244725
38,260508_mACPOLR2A_CRC_EU,D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3817,546.6247525850275,420.4450551842565,1.2379023877622304
39,260508_mACPOLR2A_CRC_EU,D22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3292,540.1567455375572,413.97704813678615,1.2188588498031085
53,260508_mACPOLR2A_CRC_EU,E16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4132,487.73328674110763,361.55358934033654,1.064510204198417
54,260508_mACPOLR2A_CRC_EU,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3617,269.35808722862106,143.17838982785,0.4215553696217753
55,260508_mACPOLR2A_CRC_EU,E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3458,258.05691169955463,131.87721429878357,0.388281694501918
56,260508_mACPOLR2A_CRC_EU,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4095,483.80280498195526,357.6231075811842,1.0529378175221642
57,260508_mACPOLR2A_CRC_EU,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3686,479.06451128640197,352.88481388563093,1.0389870170374884
58,260508_mACPOLR2A_CRC_EU,E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3555,485.657354183503,359.47765678273197,1.0583981050353863
59,260508_mACPOLR2A_CRC_EU,E22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3220,494.7231174369257,368.54342003615466,1.0850901301642841
73,260508_mACPOLR2A_CRC_EU,F16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4369,462.2195570448288,336.03985964405774,0.9893909786960443
74,260508_mACPOLR2A_CRC_EU,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3750,292.3759262828952,166.19622888212413,0.48932602734523334
75,260508_mACPOLR2A_CRC_EU,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3779,277.77253218775184,151.59283478698077,0.4463297399661643
76,260508_mACPOLR2A_CRC_EU,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3989,264.601445944542,138.42174854377092,0.40755054894262754
77,260508_mACPOLR2A_CRC_EU,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4061,484.2270379291981,358.04734052842707,1.0541868724744914
78,260508_mACPOLR2A_CRC_EU,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3492,486.0484914930938,359.8687940923228,1.0595497176028672
79,260508_mACPOLR2A_CRC_EU,F22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3265,486.70190014899487,360.5222027482238,1.0614735269695152
93,260508_mACPOLR2A_CRC_EU,G16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4503,471.9270150452083,345.7473176444372,1.0179723243192078
94,260508_mACPOLR2A_CRC_EU,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3682,345.38949797349824,219.20980057272718,0.6454121227111114
95,260508_mACPOLR2A_CRC_EU,G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3815,280.4418382527948,154.26214085202375,0.45418888900559545
96,260508_mACPOLR2A_CRC_EU,G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4088,261.132743361645,134.95304596087394,0.3973377633316197
97,260508_mACPOLR2A_CRC_EU,G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3678,244.87738971031274,118.69769230954168,0.3494776663919966
