,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
0,C03,1901.0469745240944,266.18944165846546,321.62606359538444,1730.572891072891,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2442,250912_mACPOLR2A_Kinetic_pSer2,C,03
1,C04,1871.977518600805,268.6085646476718,320.8684521097988,1672.8459669582119,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2058,250912_mACPOLR2A_Kinetic_pSer2,C,04
2,C05,2017.6234812580374,270.2889115225443,323.3262504062184,1692.3127090301002,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1196,250912_mACPOLR2A_Kinetic_pSer2,C,05
3,C06,2162.5840467041967,270.3637726021786,327.25128408146884,1650.9734079776067,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1429,250912_mACPOLR2A_Kinetic_pSer2,C,06
4,C07,2182.5864942398757,271.4922498329163,327.3099496824658,1607.4405458089668,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1026,250912_mACPOLR2A_Kinetic_pSer2,C,07
5,C08,1879.3626579630832,272.77649661873875,328.7455409780488,1729.1878761822873,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2326,250912_mACPOLR2A_Kinetic_pSer2,C,08
6,C09,2047.8174422083594,269.6487183975268,329.16500475246323,1712.257275132275,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1512,250912_mACPOLR2A_Kinetic_pSer2,C,09
7,C10,1905.9617768088933,276.30713288418116,323.57406006388203,1730.6841286307053,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1928,250912_mACPOLR2A_Kinetic_pSer2,C,10
8,C11,1890.7207883593192,275.1707673217473,326.3671177744824,1627.1157450796627,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2134,250912_mACPOLR2A_Kinetic_pSer2,C,11
9,C12,1837.6553452135902,278.2623832224156,332.2571363138829,1719.7974736842104,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2375,250912_mACPOLR2A_Kinetic_pSer2,C,12
10,C13,1565.2432441882727,277.64059568395714,326.799026123435,1689.8156996587031,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1758,250912_mACPOLR2A_Kinetic_pSer2,C,13
