,WELL,IF_647_Intensity,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
0,C03,2443.855820503874,1070.4114720201715,224.79536947862564,416.7627797554265,1793.7128712871288,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3030,260522_mACPOLR2A_Kinetic_pSer2,C,03
1,C04,2484.863721239369,1156.2459991143344,244.4727939447165,457.37594488097284,1736.8157594213933,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2627,260522_mACPOLR2A_Kinetic_pSer2,C,04
2,C05,2482.6857985934325,1155.9705829355019,244.9848747625888,459.78073053582585,1748.3550512445095,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2732,260522_mACPOLR2A_Kinetic_pSer2,C,05
3,C06,2442.9750758212977,1095.9501664859706,245.77554823516024,438.6592200938705,1712.2979452054794,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2920,260522_mACPOLR2A_Kinetic_pSer2,C,06
4,C07,2449.5907434850037,1141.2190655180439,247.27479148158653,449.4760183150152,1789.3352803738317,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2568,260522_mACPOLR2A_Kinetic_pSer2,C,07
5,C08,2355.355171447967,1065.1891186230655,245.60875395339627,412.98288858103103,1753.2623211446742,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3145,260522_mACPOLR2A_Kinetic_pSer2,C,08
6,C09,2388.5443026657017,1119.0368933591124,244.00931062877618,448.5623658621188,1685.5243949289281,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2603,260522_mACPOLR2A_Kinetic_pSer2,C,09
7,C10,2366.086326402022,1086.1645900717417,244.04980268764726,421.8540323191823,1716.3577981651376,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2616,260522_mACPOLR2A_Kinetic_pSer2,C,10
8,C11,2334.7056648588923,1071.0989349713268,248.6880746255553,422.72954444782243,1706.6271043771044,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2376,260522_mACPOLR2A_Kinetic_pSer2,C,11
9,C12,2431.236645972163,1157.3096816876864,246.69533769206842,459.5732823681711,1737.1661224489796,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2450,260522_mACPOLR2A_Kinetic_pSer2,C,12
10,C13,2900.145476830647,902.0705945100943,247.05366845930658,467.2596637120451,1678.728842105263,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2375,260522_mACPOLR2A_Kinetic_pSer2,C,13
11,C14,2798.453495595544,853.721553948149,246.57440454784464,422.50709637583964,1725.4088298636038,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2786,260522_mACPOLR2A_Kinetic_pSer2,C,14
12,C15,2766.4549756313404,843.7955382436726,247.644556473055,415.94647189331226,1701.5476609215618,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2843,260522_mACPOLR2A_Kinetic_pSer2,C,15
13,C16,2831.692234591368,849.2315732036944,243.9937915990242,399.68484964725076,1732.7147138148036,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,3337,260522_mACPOLR2A_Kinetic_pSer2,C,16
14,C17,2767.784345014408,858.3772660819358,246.40795916245537,431.2914913591137,1768.4528448947779,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2566,260522_mACPOLR2A_Kinetic_pSer2,C,17
15,C18,2747.551219101358,848.2696357332512,246.19750696171008,417.7521812565,1754.4663719608461,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,3167,260522_mACPOLR2A_Kinetic_pSer2,C,18
16,C19,2713.8451388104427,825.9583173883062,247.18519425875218,417.31991622846056,1728.0070646414695,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2831,260522_mACPOLR2A_Kinetic_pSer2,C,19
17,C20,2718.331123478923,807.2395307468372,244.93060632052376,400.19671425169383,1777.0699426111908,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2788,260522_mACPOLR2A_Kinetic_pSer2,C,20
18,C21,2773.68887178917,836.742650353425,242.67032561248325,428.28127802606565,1821.264705882353,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2312,260522_mACPOLR2A_Kinetic_pSer2,C,21
