WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY
C03,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C04,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C05,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C06,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C07,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C08,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C09,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C10,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C11,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C12,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
C13,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C14,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C15,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C16,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C17,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C18,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C19,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C20,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C21,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
C22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
D03,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D12,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
D13,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa568
D15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa568
D16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa568
D17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
D18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa568
D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa568
D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa568
D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
D22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568
E03,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568
E04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568
E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568
E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568
