,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,GFP_Intensity_FC,IF_561_Intensity_BGS,IF_561_Intensity_FC,IF_647_Intensity,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
0,C03,2593.2489339273325,275.54706372969923,458.7232144577456,1567.7804208600182,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1093,250905_mACPOLR2A_Kinetic_pSer2,C,03,15.30470548045082,0.024013382615985502,2403.8055981237467,1.7607234457972873,,0,0.0
1,C04,2269.083878975587,271.6190389126815,432.36593693534934,1663.1464108031273,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1407,250905_mACPOLR2A_Kinetic_pSer2,C,04,11.376680663433092,0.017850234754263,2079.6405431720013,1.5232811946405358,,0,0.0
2,C05,2245.798431497741,272.1624857781509,411.88775564217,1646.881934566145,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1406,250905_mACPOLR2A_Kinetic_pSer2,C,05,11.92012752890247,0.018702913528685892,2056.3550956941554,1.506225225825035,,0,0.0
3,C06,275.40860990860995,259.0146472162097,153.85438537157287,31.75,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,4,250905_mACPOLR2A_Kinetic_pSer2,C,06,-1.2277110330387018,-0.001926302653512856,85.96527410502426,0.06296726896686204,,0,0.0
4,C12,2172.1050049017167,259.53717048739577,389.2406979646787,1579.478834524464,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1819,250905_mACPOLR2A_Kinetic_pSer2,C,12,-0.7051877618526419,-0.0011064534082742207,1982.661669098131,1.4522467576369091,,0,0.0
9,D03,2155.910886322869,271.4893327999883,405.80622193404116,1561.7441462021702,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1751,250905_mACPOLR2A_Kinetic_pSer2,D,03,11.246974550739878,0.01764672332336923,1966.4675505192831,1.4403849979804484,,0,0.0
10,D04,1751.5326855593253,945.7652556201078,316.2842977136059,1892.4781136008337,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3838,250905_mACPOLR2A_Kinetic_pSer2,D,04,685.5228973708595,1.0755988507986962,1562.0893497557395,1.1441887583138826,,0,0.0
11,D05,1711.5500413485618,954.0250072058177,313.3313370092708,1924.3519629225736,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3668,250905_mACPOLR2A_Kinetic_pSer2,D,05,693.7826489565693,1.0885585627901486,1522.1067055449762,1.114902538520647,,0,0.0
12,D06,1819.6547659863543,947.0677623609596,316.36510871037353,1918.4043377226956,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647,3873,250905_mACPOLR2A_Kinetic_pSer2,D,06,686.8254041117111,1.0776425093825168,1630.2114301827687,1.1940863641260913,,0,0.0
13,D07,1365.4373861278698,654.6884288542891,313.60627102485466,1947.665731125456,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,3563,250905_mACPOLR2A_Kinetic_pSer2,D,07,394.4460706050407,0.618893609348428,1175.9940503242842,0.8613842559232983,,0,0.0
14,D08,1738.7069068077337,878.2847181769259,315.48391014528715,1931.66395821242,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3446,250905_mACPOLR2A_Kinetic_pSer2,D,08,618.0423599276776,0.9697205660564451,1549.2635710041482,1.1347942176837411,,0,0.0
15,D09,1706.8166458320363,912.1070714791866,307.6671284693622,1926.3664143537987,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3567,250905_mACPOLR2A_Kinetic_pSer2,D,09,651.8647132299382,1.0227885007421311,1517.3733100284508,1.1114354526337171,,0,0.0
