,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
0,250905_mACPOLR2A_Kinetic_pSer2,C03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1093,275.54706372969923,15.30470548045082,0.024013382615985502
1,250905_mACPOLR2A_Kinetic_pSer2,C04,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1407,271.6190389126815,11.376680663433092,0.017850234754263
2,250905_mACPOLR2A_Kinetic_pSer2,C05,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1406,272.1624857781509,11.92012752890247,0.018702913528685892
3,250905_mACPOLR2A_Kinetic_pSer2,C06,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,4,259.0146472162097,-1.2277110330387018,-0.001926302653512856
4,250905_mACPOLR2A_Kinetic_pSer2,C12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1819,259.53717048739577,-0.7051877618526419,-0.0011064534082742207
5,250905_mACPOLR2A_Kinetic_pSer2,C13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1201,258.0332006314005,-2.209157617847893,-0.0034662115650746844
6,250905_mACPOLR2A_Kinetic_pSer2,C14,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1562,257.9859189103405,-2.25643933890791,-0.0035403975113515837
7,250905_mACPOLR2A_Kinetic_pSer2,C15,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1360,254.88533918434305,-5.357019064905359,-0.00840526782112974
8,250905_mACPOLR2A_Kinetic_pSer2,C16,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2025,254.41471954505704,-5.827638704191372,-0.009143679251471045
9,250905_mACPOLR2A_Kinetic_pSer2,D03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1751,271.4893327999883,11.246974550739878,0.01764672332336923
10,250905_mACPOLR2A_Kinetic_pSer2,D04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3838,945.7652556201078,685.5228973708595,1.0755988507986962
11,250905_mACPOLR2A_Kinetic_pSer2,D05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3668,954.0250072058177,693.7826489565693,1.0885585627901486
12,250905_mACPOLR2A_Kinetic_pSer2,D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3873,947.0677623609596,686.8254041117111,1.0776425093825168
13,250905_mACPOLR2A_Kinetic_pSer2,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3563,654.6884288542891,394.4460706050407,0.618893609348428
14,250905_mACPOLR2A_Kinetic_pSer2,D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3446,878.2847181769259,618.0423599276776,0.9697205660564451
