,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
5,250905_mACPOLR2A_Kinetic_pSer2,C13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1201,2479.962438391381,2299.2371730776645,1.663108200197009
6,250905_mACPOLR2A_Kinetic_pSer2,C14,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1562,2216.1645140303544,2035.4392487166376,1.472295135613282
7,250905_mACPOLR2A_Kinetic_pSer2,C15,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1360,2345.7428752231085,2165.017609909392,1.5660231066078083
8,250905_mACPOLR2A_Kinetic_pSer2,C16,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2025,2163.7754337725005,1983.0501684587837,1.4344005199564775
19,250905_mACPOLR2A_Kinetic_pSer2,D13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1970,2067.819038574722,1887.0937732610053,1.3649923398942374
20,250905_mACPOLR2A_Kinetic_pSer2,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3416,1450.88613111987,1270.1608658061532,0.9187459981189997
21,250905_mACPOLR2A_Kinetic_pSer2,D15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3700,1620.6017277813821,1439.8764624676653,1.0415064526793587
22,250905_mACPOLR2A_Kinetic_pSer2,D16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3340,1647.0771540084068,1466.35188869469,1.0606569339683058
23,250905_mACPOLR2A_Kinetic_pSer2,D17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3274,1544.1015995256466,1363.3763342119298,0.9861715824415336
24,250905_mACPOLR2A_Kinetic_pSer2,D18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3257,1708.1631439865018,1527.437878672785,1.1048422890240153
25,250905_mACPOLR2A_Kinetic_pSer2,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2841,1633.020485669859,1452.2952203561422,1.0504893180933434
26,250905_mACPOLR2A_Kinetic_pSer2,D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2461,1759.4231165656654,1578.6978512519486,1.1419201867444004
27,250905_mACPOLR2A_Kinetic_pSer2,D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2814,1645.742313870537,1465.01704855682,1.0596914034848752
28,250905_mACPOLR2A_Kinetic_pSer2,D22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1278,2404.992971904621,2224.2677065909043,1.6088805041861487
39,250905_mACPOLR2A_Kinetic_pSer2,E13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1716,2117.274499881182,1936.549234567465,1.4007649797099042
40,250905_mACPOLR2A_Kinetic_pSer2,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3850,1402.9010988359978,1222.175833522281,0.8840369643522904
41,250905_mACPOLR2A_Kinetic_pSer2,E15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4165,1493.274386817592,1312.549121503875,0.9494067131023807
42,250905_mACPOLR2A_Kinetic_pSer2,E16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4021,1491.2889896357453,1310.5637243220285,0.9479706149162344
43,250905_mACPOLR2A_Kinetic_pSer2,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3664,1431.4512211191854,1250.7259558054686,0.9046881364200415
44,250905_mACPOLR2A_Kinetic_pSer2,E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3237,1647.8477756568982,1467.1225103431814,1.0612143480523606
45,250905_mACPOLR2A_Kinetic_pSer2,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3489,1482.258923561388,1301.5336582476712,0.9414388933903154
46,250905_mACPOLR2A_Kinetic_pSer2,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3189,1581.8074761195862,1401.0822108058694,1.013445390160577
47,250905_mACPOLR2A_Kinetic_pSer2,E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3143,1472.1559597030925,1291.4306943893757,0.9341311122550033
48,250905_mACPOLR2A_Kinetic_pSer2,E22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1332,2290.0658338113267,2109.34056849761,1.5257502086141244
59,250905_mACPOLR2A_Kinetic_pSer2,F13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2042,2022.4287559184895,1841.7034906047727,1.3321601674768988
60,250905_mACPOLR2A_Kinetic_pSer2,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4212,1317.760267872654,1137.035002558937,0.8224520109578622
61,250905_mACPOLR2A_Kinetic_pSer2,F15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3696,1379.2858126225822,1198.5605473088654,0.8669553093532285
62,250905_mACPOLR2A_Kinetic_pSer2,F16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3946,1294.4961636868657,1113.7708983731488,0.8056243766038855
63,250905_mACPOLR2A_Kinetic_pSer2,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3595,1328.6510295893254,1147.9257642756086,0.8303296302524144
64,250905_mACPOLR2A_Kinetic_pSer2,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3638,1512.127198457986,1331.4019331442692,0.9630435253473478
65,250905_mACPOLR2A_Kinetic_pSer2,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2831,1418.2873185653475,1237.5620532516307,0.8951662851990224
66,250905_mACPOLR2A_Kinetic_pSer2,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2838,1383.288665163366,1202.5633998496492,0.8698506943803617
67,250905_mACPOLR2A_Kinetic_pSer2,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3469,1260.8212494727056,1080.0959841589888,0.7812662866137458
68,250905_mACPOLR2A_Kinetic_pSer2,F22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1243,2358.864338398841,2178.1390730851244,1.5755142601354513
79,250905_mACPOLR2A_Kinetic_pSer2,G13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2105,1952.40100195008,1771.6757366363631,1.2815069624791964
80,250905_mACPOLR2A_Kinetic_pSer2,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3952,1364.7799740693197,1184.0547087556029,0.8564627949962288
81,250905_mACPOLR2A_Kinetic_pSer2,G15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3580,1302.5566480928583,1121.8313827791414,0.8114547702101365
82,250905_mACPOLR2A_Kinetic_pSer2,G16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3615,1141.7147753704528,960.9895100567361,0.6951129501526541
83,250905_mACPOLR2A_Kinetic_pSer2,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3756,1199.7767180472977,1019.051452733581,0.7371109197905465
84,250905_mACPOLR2A_Kinetic_pSer2,G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3496,1438.4446226730477,1257.7193573593308,0.9097466765339918
85,250905_mACPOLR2A_Kinetic_pSer2,G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3714,1268.7056270589121,1087.9803617451953,0.7869692967993012
