,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
0,250905_mACPOLR2A_Kinetic_pSer2,C03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1093,2593.2489339273325,2403.8055981237467,1.7607234457972873
1,250905_mACPOLR2A_Kinetic_pSer2,C04,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1407,2269.083878975587,2079.6405431720013,1.5232811946405358
2,250905_mACPOLR2A_Kinetic_pSer2,C05,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1406,2245.798431497741,2056.3550956941554,1.506225225825035
3,250905_mACPOLR2A_Kinetic_pSer2,C06,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,4,275.40860990860995,85.96527410502426,0.06296726896686204
4,250905_mACPOLR2A_Kinetic_pSer2,C12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1819,2172.1050049017167,1982.661669098131,1.4522467576369091
9,250905_mACPOLR2A_Kinetic_pSer2,D03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1751,2155.910886322869,1966.4675505192831,1.4403849979804484
10,250905_mACPOLR2A_Kinetic_pSer2,D04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3838,1751.5326855593253,1562.0893497557395,1.1441887583138826
11,250905_mACPOLR2A_Kinetic_pSer2,D05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3668,1711.5500413485618,1522.1067055449762,1.114902538520647
12,250905_mACPOLR2A_Kinetic_pSer2,D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3873,1819.6547659863543,1630.2114301827687,1.1940863641260913
13,250905_mACPOLR2A_Kinetic_pSer2,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3563,1365.4373861278698,1175.9940503242842,0.8613842559232983
14,250905_mACPOLR2A_Kinetic_pSer2,D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3446,1738.7069068077337,1549.2635710041482,1.1347942176837411
15,250905_mACPOLR2A_Kinetic_pSer2,D09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3567,1706.8166458320363,1517.3733100284508,1.1114354526337171
16,250905_mACPOLR2A_Kinetic_pSer2,D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3309,1784.7868723318281,1595.3435365282426,1.1685465626084437
17,250905_mACPOLR2A_Kinetic_pSer2,D11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2929,1367.6753257209475,1178.2319899173617,0.8630234869471736
