,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,2712.3417573637075,296.44196302911973,473.38048690015324,855.4528381173905,1708.3483768804433,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2526,251103_mACmChPOLR2A_7SK
1,C04,2402.100486594297,301.3138538736434,486.3178101104517,884.8569946190278,1684.1953642384105,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3624,251103_mACmChPOLR2A_7SK
2,C05,2434.974400667106,302.05880525252,494.1815091891343,853.1043928163691,1667.6056922620812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3373,251103_mACmChPOLR2A_7SK
3,C06,2406.8576308992856,304.2566757863587,501.31031924519823,890.9676789197154,1623.691659401337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3441,251103_mACmChPOLR2A_7SK
4,C07,2288.6773355658283,300.9929355461538,487.23344539755476,843.1842745595413,1636.4515407554672,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4024,251103_mACmChPOLR2A_7SK
5,C08,2294.895975813516,298.74476995485367,489.89810510177807,850.8265990264533,1653.1433021806854,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3531,251103_mACmChPOLR2A_7SK
6,C09,2386.969234989843,300.41714607437524,492.36668037594205,874.7786440663672,1659.8433141919606,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3657,251103_mACmChPOLR2A_7SK
7,C10,2311.782892503387,301.1273095615321,499.6549373451889,865.7556282030517,1648.554018789144,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3832,251103_mACmChPOLR2A_7SK
8,C11,2381.902164913623,306.54774664368637,499.8071783179218,862.0500310919336,1605.8625134264232,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3724,251103_mACmChPOLR2A_7SK
9,C12,2340.352072463361,304.18949572152155,508.72686359731125,891.1970876476698,1633.2338021094927,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3982,251103_mACmChPOLR2A_7SK
