,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_IN_AUXIN
20,D03,2981.425782741537,307.59374218851406,284.50921811009607,581.6517776288343,1353.392857142857,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,84,251017_mACmChPOLR2A_7SK,56.80921811009608,0.20307601589218482,163.19374218851405,1.2147162803976277,2797.8362066161344,1.1037746499347163,8.0
21,D04,2993.0267651982454,315.58531962315203,283.20387999500286,661.5751952595558,1294.1698113207547,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,159,251017_mACmChPOLR2A_7SK,55.503879995002876,0.19840982134446875,171.18531962315203,1.2742007868850111,2809.4371890728426,1.1083513547181385,4.0
22,D05,3073.1378734096825,305.23564873687724,290.5583894644615,622.6553786895803,1233.5,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,104,251017_mACmChPOLR2A_7SK,62.85838946446154,0.22469999979763045,160.83564873687723,1.1971640478917178,2889.548297284279,1.139955996266797,2.0
23,D06,2978.84123421466,303.02594896863354,318.2731986828919,623.4067930382836,1184.3636363636363,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,121,251017_mACmChPOLR2A_7SK,90.57319868289193,0.32377217900600086,158.62594896863354,1.180716368910401,2795.251658089257,1.1027550194292752,1.0
24,D07,3329.1959120357747,312.9315306408344,337.62668858433995,683.7518644169703,1259.9256198347107,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,242,251017_mACmChPOLR2A_7SK,109.92668858433996,0.39295513475763477,168.5315306408344,1.254447574302648,3145.606335910372,1.2409734794486715,0.5
25,D08,3263.021861746593,301.37600465538503,591.7598924505206,697.1388052075916,1389.8815789473683,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,304,251017_mACmChPOLR2A_7SK,364.05989245052064,1.301405563472276,156.97600465538503,1.1684351736134804,3079.43228562119,1.2148671480558684,0.0
26,D09,3317.422922385519,302.9757605925192,571.3412399487769,675.392382312397,1227.458536585366,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,205,251017_mACmChPOLR2A_7SK,343.6412399487769,1.228414969024996,158.57576059251917,1.1803427967578461,3133.833346260116,1.2363289160896132,0.0
27,D10,3408.859989539567,304.3557099480072,573.2735828019985,675.6235988763766,1363.5131086142321,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,267,251017_mACmChPOLR2A_7SK,345.5735828019985,1.2353225185570011,159.95570994800718,1.1906143116196057,3225.270413414164,1.2724017628668312,0.0
28,D11,3169.456966770329,295.60110432039323,559.1172444604338,627.7094382740934,1227.3505154639174,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,97,251017_mACmChPOLR2A_7SK,331.4172444604338,1.184717829992984,151.20110432039323,1.125450281175111,2985.8673906449258,1.1779548517054288,0.0
29,D12,3185.284002173982,288.4315782449041,563.6339688322294,615.2765276439429,1258.8879310344828,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,116,251017_mACmChPOLR2A_7SK,335.93396883222937,1.2008637728667226,144.03157824490407,1.072084631672621,3001.694426048579,1.1841987770720606,0.0
