,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,122.49387311596108,130.37421408781654,232.51486128308935,336.50086003787504,1912.5443925233644,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1712,250510_mACmChPOLR2A_90min_IF
1,C04,122.28602698879561,130.04177166071653,228.29946890267172,330.6857744009853,1885.8761408083442,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1534,250510_mACmChPOLR2A_90min_IF
2,C05,122.47402164891173,131.1908436854776,232.48421409666628,341.26298197471675,1825.4372716199757,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1642,250510_mACmChPOLR2A_90min_IF
3,C06,122.78496059501099,131.14071157690736,229.82042092021433,336.101700333227,1869.344430992736,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1652,250510_mACmChPOLR2A_90min_IF
4,C07,122.46772598218011,130.2738975115184,227.89749532860156,328.7627503559828,1841.956442831216,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1653,250510_mACmChPOLR2A_90min_IF
5,C08,123.16804513097098,131.0303480340257,231.615874947846,342.2285093006635,1862.1713836477988,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,2544,250510_mACmChPOLR2A_90min_IF
6,C09,123.31520111530239,131.1555294851984,231.745398062727,338.00825407026946,1815.9949290060852,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1972,250510_mACmChPOLR2A_90min_IF
7,C10,123.78743618906931,131.04017205645863,231.10858931886793,331.3113963144948,1862.3861386138615,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,2222,250510_mACmChPOLR2A_90min_IF
8,C11,123.74683517748973,130.86562328129216,231.65916013851108,332.6944014232918,1928.73,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,2100,250510_mACmChPOLR2A_90min_IF
9,C12,123.87626959292639,130.1832680424174,231.36227147725612,318.28387797916236,1787.0076569678408,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1959,250510_mACmChPOLR2A_90min_IF
10,C13,124.03863257842262,131.26656889605303,230.85022093362738,333.1232785533613,1886.3132359868112,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,2123,250510_mACmChPOLR2A_90min_IF
11,C14,123.78108931834775,130.31702074761702,230.2184026773256,325.341190142833,1882.5126772668673,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,2327,250510_mACmChPOLR2A_90min_IF
