WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
C03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only
C17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
C18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
C19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
C20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
C21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
C22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
D03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,GTF2B,Goat anti-rabbit Alexa647
D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647
D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647
D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,GTF2B,Goat anti-rabbit Alexa647
D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rabbit Alexa647
D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
D22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
E03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Cyclin T1,Goat anti-rabbit Alexa647
E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647
E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647
E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Cyclin T1,Goat anti-rabbit Alexa647
E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rabbit Alexa647
E18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
