,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
16,D04,406.7166395689619,163.89645001588406,340.1116209651729,461.2755933586859,1588.4562937062938,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,572,250324_mACmChPOLR2A_90min_IF,279.5254409898009,1.0241530884061016
17,D05,337.75942118728983,166.790322654086,226.4391596715177,461.13560863258215,1691.7421602787456,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,574,250324_mACmChPOLR2A_90min_IF,210.56822260812888,0.7715007791085724
18,D06,402.3233841497925,164.39456587557507,333.5257787896736,467.26942941009884,1684.3369304556354,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,834,250324_mACmChPOLR2A_90min_IF,275.1321855706316,1.0080566426236826
19,D07,342.3765031931828,168.35915008747816,225.12150677109483,494.0565001233635,1657.6517357222845,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,893,250324_mACmChPOLR2A_90min_IF,215.18530461402187,0.7884173029820901
20,D08,381.8661853061513,163.24081916667797,329.13096119999074,465.80136882626306,1667.1997533908755,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,811,250324_mACmChPOLR2A_90min_IF,254.67498672699034,0.9331035245759504
21,D09,327.5800752831093,165.54843750487336,222.82953232785957,476.1708605884161,1690.857908847185,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1119,250324_mACmChPOLR2A_90min_IF,200.38887670394834,0.734204680017181
22,D10,417.42865306364206,164.5029566467473,328.97112411934154,474.1524809354528,1596.9828393135726,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,641,250324_mACmChPOLR2A_90min_IF,290.2374544844811,1.0634008279491538
23,D11,332.16499647568594,165.99147610388036,223.8609246616573,468.5647448423893,1674.7848258706467,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,804,250324_mACmChPOLR2A_90min_IF,204.97379789652499,0.7510033699069047
24,D12,400.5485052884231,164.82650950141417,331.2317716129627,470.2399337397452,1789.2472527472528,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1092,250324_mACmChPOLR2A_90min_IF,273.35730670926216,1.001553665073655
25,D13,330.6905729864948,167.66821345684627,224.65952182335846,496.0292841346848,1702.1997991967871,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,996,250324_mACmChPOLR2A_90min_IF,203.49937440733382,0.7456012306070736
26,D14,391.8633831140914,163.95056737871266,329.4179811169357,465.5205622540262,1673.1452095808384,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,668,250324_mACmChPOLR2A_90min_IF,264.67218453493047,0.9697322513714558
27,D15,322.5040873879201,165.0972903551984,219.3964349872021,471.0243575510545,1565.6357340720222,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,722,250324_mACmChPOLR2A_90min_IF,195.31288880875914,0.7156067711429054
31,E04,445.3920288113509,162.76108255664784,330.1801575196128,444.2672670477728,1672.972515856237,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,473,250324_mACmChPOLR2A_90min_IF,318.2008302321899,1.0426441701777076
32,E05,429.0098858733806,166.0015911188475,228.06859991725818,464.6053444067681,1679.2295597484276,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,954,250324_mACmChPOLR2A_90min_IF,301.81868729421967,0.9889650335870556
33,E06,425.122081820182,163.92919686672943,328.7656399453882,465.06342485831755,1675.0846824408468,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,803,250324_mACmChPOLR2A_90min_IF,297.9308832410211,0.9762259209081136
34,E07,454.91523092008094,166.84692359481141,223.0849168570762,480.50924030365405,1683.5116918844567,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,727,250324_mACmChPOLR2A_90min_IF,327.72403234091996,1.0738487121421205
35,E08,459.42437134878435,163.65490545024687,329.11552010465647,471.623360643251,1647.6124837451234,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,769,250324_mACmChPOLR2A_90min_IF,332.23317276962337,1.0886237489547825
36,E09,436.07633074987586,164.21066367678583,218.85706988623485,474.1022410695868,1685.5698560541914,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1181,250324_mACmChPOLR2A_90min_IF,308.8851321707149,1.0121195537967722
37,E10,411.395100197464,162.91720781103058,324.5192345569052,468.42753086344504,1823.7930693069306,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,1010,250324_mACmChPOLR2A_90min_IF,284.203901618303,0.9312469139312309
38,E11,424.83575726660047,164.91955198453232,222.5088522360715,467.7694104283903,1709.062437059416,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,993,250324_mACmChPOLR2A_90min_IF,297.6445586874395,0.9752877252838195
39,E12,420.80883007378907,164.66040914396856,332.30280716891417,477.8310899184504,1605.3994878361075,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,781,250324_mACmChPOLR2A_90min_IF,293.6176314946281,0.9620927497765238
40,E13,419.93688322169584,166.27412259267234,221.9010699256311,476.2572155230451,1659.2369098712447,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1165,250324_mACmChPOLR2A_90min_IF,292.7456846425349,0.9592356538306196
41,E14,432.1232336312265,165.23745907394456,336.41923315418,477.53852138963583,1721.8968335035752,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,979,250324_mACmChPOLR2A_90min_IF,304.93203505206554,0.9991664962516412
42,E15,393.1201960851194,163.4782654108548,217.589593163095,450.1128978493071,1681.5080875356803,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1051,250324_mACmChPOLR2A_90min_IF,265.9289975059585,0.871365793509927
46,F04,475.9707399606152,164.74602335797735,335.80720296627766,458.4395248384933,1662.976811594203,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,345,250324_mACmChPOLR2A_90min_IF,348.77954138145424,1.0862668444967614
47,F05,482.7154043686363,168.37188199550158,224.19894491389888,479.8259379762387,1632.016393442623,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,610,250324_mACmChPOLR2A_90min_IF,355.52420578947533,1.1072729657121048
48,F06,451.41904924056803,166.3255428192221,334.3927546943893,495.94271745196085,1728.4915254237287,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,944,250324_mACmChPOLR2A_90min_IF,324.22785066140705,1.009801099115332
49,F07,432.36577725182224,165.28590262449003,217.19091597500832,486.9298491047585,1770.9600760456274,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1052,250324_mACmChPOLR2A_90min_IF,305.17457867266126,0.9504600679339257
50,F08,460.0434462117136,164.84630095140818,326.52946924032557,480.50534827914163,1677.2634271099744,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,782,250324_mACmChPOLR2A_90min_IF,332.8522476325527,1.0366616094721814
51,F09,441.2517834262853,165.4277221514995,218.27516091060224,485.02243412726125,1722.2389140271493,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1105,250324_mACmChPOLR2A_90min_IF,314.06058484712435,0.9781353548761603
52,F10,433.40853956777465,162.93880439137024,320.2008519371941,478.0122956253404,1733.0767575322811,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1394,250324_mACmChPOLR2A_90min_IF,306.2173409886137,0.9537077301277095
53,F11,427.9562136399127,165.28610384427188,215.05557188747494,482.0225650663818,1730.1020599250937,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1068,250324_mACmChPOLR2A_90min_IF,300.7650150607517,0.9367265710340085
54,F12,431.35669410837056,161.39642698362383,320.7755858060658,454.2652163072582,1719.5886462882097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1145,250324_mACmChPOLR2A_90min_IF,304.1654955292096,0.9473172988433691
55,F13,436.8256814553261,167.09350195061486,218.98282895626028,494.756676153593,1634.6939619520265,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1209,250324_mACmChPOLR2A_90min_IF,309.6344828761652,0.9643503495906687
56,F14,437.4341517172466,164.76096057213726,326.47388023555715,486.3737051498435,1738.0780303030303,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1320,250324_mACmChPOLR2A_90min_IF,310.2429531380857,0.9662454179446454
57,F15,426.94518587001704,164.93199557827344,216.054528698518,481.96684705958637,1723.9104,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1250,250324_mACmChPOLR2A_90min_IF,299.7539872908561,0.933577745443628
61,G04,1161.4288013068976,167.44546654488508,334.79969472873256,465.8074277673128,1670.1283422459894,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,561,250324_mACmChPOLR2A_90min_IF,1034.2376027277367,1.06435346284604
