,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,IF_647_Intensity_BGS,IF_647_Intensity_FC
16,250324_mACmChPOLR2A_90min_IF,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,572,279.5254409898009,1.0241530884061016
17,250324_mACmChPOLR2A_90min_IF,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,574,210.56822260812888,0.7715007791085724
18,250324_mACmChPOLR2A_90min_IF,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,834,275.1321855706316,1.0080566426236826
19,250324_mACmChPOLR2A_90min_IF,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,893,215.18530461402187,0.7884173029820901
20,250324_mACmChPOLR2A_90min_IF,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,811,254.67498672699034,0.9331035245759504
21,250324_mACmChPOLR2A_90min_IF,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1119,200.38887670394834,0.734204680017181
22,250324_mACmChPOLR2A_90min_IF,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,641,290.2374544844811,1.0634008279491538
23,250324_mACmChPOLR2A_90min_IF,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,804,204.97379789652499,0.7510033699069047
24,250324_mACmChPOLR2A_90min_IF,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1092,273.35730670926216,1.001553665073655
25,250324_mACmChPOLR2A_90min_IF,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,996,203.49937440733382,0.7456012306070736
26,250324_mACmChPOLR2A_90min_IF,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,668,264.67218453493047,0.9697322513714558
