,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,1152.156834333459,150.73954129782064,253.98391233369446,399.51051265181945,1612.1927993182787,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4694,250825_mACmChPOLR2A_ARMC5
1,C04,1250.5847056538178,152.23149438434484,258.05456494684194,405.9207373631054,1568.971198156682,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4340,250825_mACmChPOLR2A_ARMC5
2,C05,1186.4420905616726,151.9332511939796,257.10552501403595,393.66522345140453,1620.8602860286028,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4545,250825_mACmChPOLR2A_ARMC5
3,C06,1248.9386078002688,153.35455622736401,256.90307452699824,403.7391930880862,1599.6604439959638,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3964,250825_mACmChPOLR2A_ARMC5
4,C07,1146.9253382903478,151.78254835943764,253.59175373735968,393.47728003542665,1605.609126984127,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4536,250825_mACmChPOLR2A_ARMC5
5,C08,1222.0395200653047,151.3283907748114,254.00664588584493,390.0309616998034,1587.4051394204482,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3658,250825_mACmChPOLR2A_ARMC5
6,C09,1297.8702580465665,152.3234593518817,253.30918036938672,423.40496216650723,1604.220484359233,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3964,250825_mACmChPOLR2A_ARMC5
7,C10,1163.5036464820842,150.84355544497788,250.86385901786664,398.6474900185544,1549.3289438323031,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3721,250825_mACmChPOLR2A_ARMC5
8,C11,1336.3377373472356,152.39992536035058,251.4778807148104,413.3433820093356,1529.4792473713337,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3614,250825_mACmChPOLR2A_ARMC5
9,C12,1255.0654223837341,151.27303976596295,249.73814293261592,406.2332756034193,1548.8905710491367,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3765,250825_mACmChPOLR2A_ARMC5
10,C13,1384.1770819004907,152.38598878644356,253.82072968256574,432.90082751914287,1487.156981547783,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3631,250825_mACmChPOLR2A_ARMC5
11,C14,1182.9991493009409,149.362138580219,249.15875503952464,385.9206547728581,1511.44952681388,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4438,250825_mACmChPOLR2A_ARMC5
12,C15,1515.38488583384,153.95869824982583,256.3404724340817,463.0551004292825,1481.8040016333198,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,2449,250825_mACmChPOLR2A_ARMC5
13,C16,1258.117153951799,151.74108853416544,249.2497644503205,450.6288212101765,1516.1843904739449,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4241,250825_mACmChPOLR2A_ARMC5
14,C17,1308.131342231186,150.31860573223761,248.44078832705665,406.431560287311,1531.1107913669064,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3475,250825_mACmChPOLR2A_ARMC5
15,C18,1189.0219032311836,149.1289190424717,248.07873925298654,389.0957455145128,1523.8705756929637,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4690,250825_mACmChPOLR2A_ARMC5
16,C19,1304.6626923709318,150.3137024890638,247.86389356414742,416.8555139617154,1532.0228036485837,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4166,250825_mACmChPOLR2A_ARMC5
17,C20,1277.0443345419933,148.55608160806267,245.01406790296159,388.3552541975895,1568.1358709352155,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3967,250825_mACmChPOLR2A_ARMC5
18,C21,1382.3712914401715,149.94670048708548,252.80134542668284,406.1125679001307,1542.557220356497,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3871,250825_mACmChPOLR2A_ARMC5
19,C22,1102.9064872237227,148.58837368650077,247.6251815194308,390.0800742671905,1578.1919540229885,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3480,250825_mACmChPOLR2A_ARMC5
20,D03,1179.1018835775367,151.73128024578943,256.97682643926845,392.48664801339106,1648.0937642239417,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4394,250825_mACmChPOLR2A_ARMC5
21,D04,1717.4095699242846,232.6622369203381,564.246373126045,510.61724974195386,1535.2256578947367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1520,250825_mACmChPOLR2A_ARMC5
22,D05,1656.6106087161083,236.67716723960893,584.7188643485623,498.04535790946204,1490.4453125,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1152,250825_mACmChPOLR2A_ARMC5
23,D06,1690.9839272165395,238.47795126019463,586.6814221834824,515.2873219870174,1375.5575620767495,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1329,250825_mACmChPOLR2A_ARMC5
24,D07,1612.888908790751,227.10470925889484,551.5897045539784,479.2611309902106,1506.1136198106337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1373,250825_mACmChPOLR2A_ARMC5
25,D08,1620.0302176099185,231.02158493273097,578.5073054839361,480.47282545578486,1500.431344356578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1391,250825_mACmChPOLR2A_ARMC5
26,D09,1669.446081839145,227.83733620966052,544.2144638179329,506.0270612702023,1485.1626195732156,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1359,250825_mACmChPOLR2A_ARMC5
27,D10,1747.5181792442813,233.40515537515037,574.9968060760757,537.5505255727417,1532.7109266943291,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1446,250825_mACmChPOLR2A_ARMC5
28,D11,1794.3110995992315,232.33915225236973,558.3438013431779,518.9780368365779,1524.4992967651197,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1422,250825_mACmChPOLR2A_ARMC5
29,D12,1811.1186211588165,230.44386175909526,555.9682417096085,504.94976933939995,1473.0816459830176,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1531,250825_mACmChPOLR2A_ARMC5
30,D13,1821.9497613328924,234.91188647319305,566.5971125132374,535.3139955878046,1496.3295847750865,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1156,250825_mACmChPOLR2A_ARMC5
31,D14,1704.5576339444392,229.53391321465068,541.205931907597,516.126376421632,1511.6668852459015,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1525,250825_mACmChPOLR2A_ARMC5
