,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN
21,D04,1717.4095699242846,232.6622369203381,564.246373126045,510.61724974195386,1535.2256578947367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1520,250825_mACmChPOLR2A_ARMC5,306.8711228058031,0.9847317053000474,81.40493187360244,1.015429155172255,0.0
22,D05,1656.6106087161083,236.67716723960893,584.7188643485623,498.04535790946204,1490.4453125,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1152,250825_mACmChPOLR2A_ARMC5,327.3436140283204,1.0504267469480277,85.41986219287327,1.065510608572435,0.0
23,D06,1690.9839272165395,238.47795126019463,586.6814221834824,515.2873219870174,1375.5575620767495,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1329,250825_mACmChPOLR2A_ARMC5,329.3061718632405,1.0567244816643497,87.22064621345896,1.087973235278029,0.0
24,D07,1612.888908790751,227.10470925889484,551.5897045539784,479.2611309902106,1506.1136198106337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1373,250825_mACmChPOLR2A_ARMC5,294.21445423373655,0.9441171870213894,75.84740421215918,0.9461056450578054,0.0
25,D08,1620.0302176099185,231.02158493273097,578.5073054839361,480.47282545578486,1500.431344356578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1391,250825_mACmChPOLR2A_ARMC5,321.1320551636942,1.030494213389939,79.76427988599531,0.99496398404117,0.0
26,D09,1669.446081839145,227.83733620966052,544.2144638179329,506.0270612702023,1485.1626195732156,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1359,250825_mACmChPOLR2A_ARMC5,286.83921349769105,0.9204504655632075,76.58003116292485,0.9552442899599044,0.0
27,D10,1747.5181792442813,233.40515537515037,574.9968060760757,537.5505255727417,1532.7109266943291,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1446,250825_mACmChPOLR2A_ARMC5,317.6215557558338,1.0192292235898244,82.1478503284147,1.0246961742774763,0.0
28,D11,1794.3110995992315,232.33915225236973,558.3438013431779,518.9780368365779,1524.4992967651197,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1422,250825_mACmChPOLR2A_ARMC5,300.968551022936,0.9657906934373023,81.08184720563406,1.0113990603869216,0.0
29,D12,1811.1186211588165,230.44386175909526,555.9682417096085,504.94976933939995,1473.0816459830176,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1531,250825_mACmChPOLR2A_ARMC5,298.5929913893666,0.9581676598080118,79.18655671235959,0.9877575784754824,0.0
30,D13,1821.9497613328924,234.91188647319305,566.5971125132374,535.3139955878046,1496.3295847750865,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1156,250825_mACmChPOLR2A_ARMC5,309.22186219299556,0.9922750921925668,83.65458142645738,1.043490842496508,0.0
