,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TIME_IN_AUXIN,TotalNumberCells,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
21,250825_mACmChPOLR2A_ARMC5,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1520,1717.4095699242846,1548.3994865405284,1.0329784197375593
22,250825_mACmChPOLR2A_ARMC5,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1152,1656.6106087161083,1487.6005253323524,0.9924178180217675
23,250825_mACmChPOLR2A_ARMC5,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1329,1690.9839272165395,1521.9738438327836,1.0153491716771745
24,250825_mACmChPOLR2A_ARMC5,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1373,1612.888908790751,1443.878825406995,0.9632499108442465
25,250825_mACmChPOLR2A_ARMC5,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1391,1620.0302176099185,1451.0201342261626,0.9680140676158062
26,250825_mACmChPOLR2A_ARMC5,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1359,1669.446081839145,1500.435998455389,1.0009807030255862
27,250825_mACmChPOLR2A_ARMC5,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1446,1747.5181792442813,1578.5080958605254,1.0530646726369024
28,250825_mACmChPOLR2A_ARMC5,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1422,1794.3110995992315,1625.3010162154756,1.0842814725282248
29,250825_mACmChPOLR2A_ARMC5,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1531,1811.1186211588165,1642.1085377750605,1.0954942165334007
30,250825_mACmChPOLR2A_ARMC5,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1156,1821.9497613328924,1652.9396779491362,1.1027199577960578
31,250825_mACmChPOLR2A_ARMC5,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1525,1704.5576339444392,1535.5475505606832,1.0244045519247447
32,250825_mACmChPOLR2A_ARMC5,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1633,1763.8820343126924,1594.8719509289363,1.063981434942958
33,250825_mACmChPOLR2A_ARMC5,D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1574,1879.2001811925206,1710.1900978087647,1.1409132333363639
34,250825_mACmChPOLR2A_ARMC5,D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1378,1726.9947064847354,1557.9846231009792,1.0393729188983054
35,250825_mACmChPOLR2A_ARMC5,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1689,1795.0338862719173,1626.0238028881613,1.0847636627132824
36,250825_mACmChPOLR2A_ARMC5,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1183,1930.8845773282126,1761.8744939444564,1.1753932666284308
37,250825_mACmChPOLR2A_ARMC5,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1515,1769.4621888338118,1600.4521054500556,1.067704104221282
38,250825_mACmChPOLR2A_ARMC5,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1129,1762.9517156676593,1593.9416322839033,1.0633607946675305
41,250825_mACmChPOLR2A_ARMC5,E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1427,2626.6738879145278,2457.663804530772,1.639572794435918
42,250825_mACmChPOLR2A_ARMC5,E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1523,2734.7265467771463,2565.7164633933903,1.711657592816809
43,250825_mACmChPOLR2A_ARMC5,E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1424,2944.484632380898,2775.474548997142,1.851592782461079
44,250825_mACmChPOLR2A_ARMC5,E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1626,2765.046202085095,2596.036118701339,1.7318846400996566
45,250825_mACmChPOLR2A_ARMC5,E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1872,2663.6262839134765,2494.6162005297206,1.6642247191855142
46,250825_mACmChPOLR2A_ARMC5,E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1510,2581.38611025034,2412.376026866584,1.6093601152070591
47,250825_mACmChPOLR2A_ARMC5,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1744,2570.4784521795077,2401.4683687957518,1.6020833268233199
48,250825_mACmChPOLR2A_ARMC5,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1719,2663.751524278099,2494.741440894343,1.6643082703588772
49,250825_mACmChPOLR2A_ARMC5,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1809,2725.4192871335167,2556.4092037497608,1.7054484727271066
50,250825_mACmChPOLR2A_ARMC5,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1742,2461.274723658602,2292.264640274846,1.529230619303372
51,250825_mACmChPOLR2A_ARMC5,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1182,2942.123260942911,2773.1131775591552,1.8500174488616894
52,250825_mACmChPOLR2A_ARMC5,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1832,2603.0906420866777,2434.0805587029217,1.6238397848222537
53,250825_mACmChPOLR2A_ARMC5,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1776,2578.2572575726776,2409.2471741889217,1.6072727744899782
54,250825_mACmChPOLR2A_ARMC5,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1876,2681.084382337049,2512.0742989532932,1.6758714802946233
55,250825_mACmChPOLR2A_ARMC5,E18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2017,2533.8998603859654,2364.8897770022095,1.5776807767866117
56,250825_mACmChPOLR2A_ARMC5,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1818,2735.1049678887066,2566.0948845049506,1.7119100475904077
57,250825_mACmChPOLR2A_ARMC5,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1935,2737.94975926167,2568.939675877914,1.7138078834670472
58,250825_mACmChPOLR2A_ARMC5,E21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1675,2447.3092324911086,2278.2991491073526,1.5199138692511698
61,250825_mACmChPOLR2A_ARMC5,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1533,1413.8004258968979,1244.7903425131417,0.830432696530182
62,250825_mACmChPOLR2A_ARMC5,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1565,1479.9935238483083,1310.9834404645521,0.8745918701244261
63,250825_mACmChPOLR2A_ARMC5,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1181,1442.6675099412855,1273.6574265575296,0.84969069494584
