,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TIME_IN_AUXIN,TotalNumberCells,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
21,250825_mACmChPOLR2A_ARMC5,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1520,232.6622369203381,81.40493187360244,1.015429155172255,564.246373126045,306.8711228058031,0.9847317053000474
22,250825_mACmChPOLR2A_ARMC5,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1152,236.67716723960893,85.41986219287327,1.065510608572435,584.7188643485623,327.3436140283204,1.0504267469480277
23,250825_mACmChPOLR2A_ARMC5,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1329,238.47795126019463,87.22064621345896,1.087973235278029,586.6814221834824,329.3061718632405,1.0567244816643497
24,250825_mACmChPOLR2A_ARMC5,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1373,227.10470925889484,75.84740421215918,0.9461056450578054,551.5897045539784,294.21445423373655,0.9441171870213894
25,250825_mACmChPOLR2A_ARMC5,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1391,231.02158493273097,79.76427988599531,0.99496398404117,578.5073054839361,321.1320551636942,1.030494213389939
26,250825_mACmChPOLR2A_ARMC5,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1359,227.83733620966052,76.58003116292485,0.9552442899599044,544.2144638179329,286.83921349769105,0.9204504655632075
27,250825_mACmChPOLR2A_ARMC5,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1446,233.40515537515037,82.1478503284147,1.0246961742774763,574.9968060760757,317.6215557558338,1.0192292235898244
28,250825_mACmChPOLR2A_ARMC5,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1422,232.33915225236973,81.08184720563406,1.0113990603869216,558.3438013431779,300.968551022936,0.9657906934373023
29,250825_mACmChPOLR2A_ARMC5,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1531,230.44386175909526,79.18655671235959,0.9877575784754824,555.9682417096085,298.5929913893666,0.9581676598080118
30,250825_mACmChPOLR2A_ARMC5,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1156,234.91188647319305,83.65458142645738,1.043490842496508,566.5971125132374,309.22186219299556,0.9922750921925668
