,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
0,C03,176.5936963047933,198.1860056695335,459.4541572342906,1662.36887452881,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1857,407.38342142305646,1611.6537166537166,241026_mACmChPOLR2A_ActivePolII
1,C04,172.3713417294651,196.03352083901996,399.9909808821544,1638.156010230179,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2346,416.83445316464645,1585.1465067778936,241026_mACmChPOLR2A_ActivePolII
2,C05,205.6191339134845,195.17525266405192,480.696064090009,1652.0042881646655,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2332,388.6995713300013,1611.924059139785,241026_mACmChPOLR2A_ActivePolII
3,C06,178.66506152542127,193.73535040661568,487.17385520278674,1733.5386363636364,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1760,369.4276037998835,1621.4006268436578,241026_mACmChPOLR2A_ActivePolII
4,C07,177.026921442439,193.86774697958714,449.7607080803489,1650.125,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2032,379.5701739320901,1598.757861043118,241026_mACmChPOLR2A_ActivePolII
5,C08,179.6159548745861,192.77388309007114,506.9052766200088,1701.1787531806615,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,1572,502.77021724990186,1622.2740362285183,241026_mACmChPOLR2A_ActivePolII
6,C09,180.56558525249096,192.7084709810733,508.13524778653937,1650.8459000942507,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2122,499.2444056973138,1646.459037162162,241026_mACmChPOLR2A_ActivePolII
7,C10,179.88994384255716,190.6855895093346,529.4111329459748,1668.3755635707844,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2218,533.7416833761386,1612.503191065018,241026_mACmChPOLR2A_ActivePolII
8,C11,180.19686525641285,192.34346107548754,523.6895396921036,1620.625,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2744,510.45995819763067,1622.7779448621554,241026_mACmChPOLR2A_ActivePolII
9,C12,182.7522258967042,192.76161562695336,540.6493275147025,1659.6810666666668,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1875,384.29476925395556,1626.4855599031116,241026_mACmChPOLR2A_ActivePolII
10,C13,185.8694159569358,190.94523650415206,617.1697891208399,1659.5718015665796,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,1915,517.3126783541646,1621.4910010111223,241026_mACmChPOLR2A_ActivePolII
11,C14,179.5220314126246,189.73171620137967,530.3126251012736,1745.9274432379073,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,2026,131.6221558713465,1527.110055248619,241026_mACmChPOLR2A_ActivePolII
12,C15,185.20679270617487,190.16618601118944,601.9321018692317,1653.3064081852451,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1857,130.4743598646746,1498.0285440153514,241026_mACmChPOLR2A_ActivePolII
13,C16,178.84592815219526,188.8836093827318,527.0782922082733,1639.5633802816901,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1846,129.7904072750854,1511.3855758880516,241026_mACmChPOLR2A_ActivePolII
14,C17,179.78746635510487,187.2549739299677,549.2971729806349,1602.5483568075117,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1065,131.0934457269644,1502.0884893766051,241026_mACmChPOLR2A_ActivePolII
15,C18,186.34787372629177,189.19813053570007,634.6493972694017,1545.673888888889,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1800,134.32869822329758,1480.5573388558116,241026_mACmChPOLR2A_ActivePolII
16,C19,180.4671843224271,187.11127478663093,561.6112154783502,1632.4767932489451,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1659,132.84576607274667,1515.6171301446052,241026_mACmChPOLR2A_ActivePolII
17,C20,182.07473066064676,187.6977135853445,582.1522043018247,1645.4588948787061,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,1484,137.6202657449479,1530.9787626962143,241026_mACmChPOLR2A_ActivePolII
18,C21,181.52829245598477,187.26486389515517,575.943826017677,1712.9105243857719,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,2727,133.6026745093489,1537.8252800535029,241026_mACmChPOLR2A_ActivePolII
19,C22,185.2052320572573,359.1603244724943,609.8924966378014,1852.0301109350237,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary,631,132.21140019695932,1822.7781840341256,241026_mACmChPOLR2A_ActivePolII
20,D03,175.85753360451946,190.00037202812217,445.9585248859042,1705.3058712121212,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2112,506.84767659422926,1628.4643705463184,241026_mACmChPOLR2A_ActivePolII
21,D04,244.3072185118074,190.26424945378125,360.3590690665747,1704.2682271680737,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2606,346.1655074530797,1648.7055342290466,241026_mACmChPOLR2A_ActivePolII
