WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
C03,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C04,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C05,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C06,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C07,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C08,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
C09,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
C10,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
C11,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
C12,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
C13,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
C14,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C16,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C17,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C19,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C20,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
C22,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
D03,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
D04,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
D05,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
D06,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
D07,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
D08,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
D09,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
D10,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
D11,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
D12,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
D13,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
D14,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
D15,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
D16,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
D17,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
D18,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
D19,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
D20,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
D21,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
D22,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
E03,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
E04,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
E05,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
E06,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
E07,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
E08,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
