,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
71,F14,222.56839403736157,262.2261348268714,531.7002844633537,1843.855888807608,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1367,234.73038205006978,1754.5642836128272,241026_mACmChPOLR2A_ActivePolII,75.15368460660332,0.38764595086446185,45.34794027671066,0.6242295930123389,101.19749407301703,1.0511670320083222,0,0.0
72,F15,228.3122749214889,222.72776909009352,573.817829824543,1858.9853620955316,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1298,264.93887022300464,1732.8957928802588,241026_mACmChPOLR2A_ActivePolII,35.655318869825464,0.18391167457749175,51.09182116083798,0.7032960380312665,131.4059822459519,1.3649511542840267,30,0.5
73,F16,224.32265191680239,262.6787950460206,561.771661431665,1751.5917001338687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1494,248.0426116846638,1655.2225405921681,241026_mACmChPOLR2A_ActivePolII,75.60634482575253,0.3899807918238789,47.10219815615147,0.6483775405363067,114.50972370761104,1.189444931501691,0,0.0
74,F17,221.0855718849246,219.31170579595565,541.9556304016354,1810.6112469437653,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1227,257.86676452270757,1768.7926670992863,241026_mACmChPOLR2A_ActivePolII,32.239255575687594,0.16629147257673838,43.86511812427369,0.6038180492227574,124.33387654565482,1.2914911894190213,30,0.5
75,F18,223.78675926505656,265.8158959215021,536.9024265957546,1869.6575471698113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1060,238.94303653088096,1719.1276901004305,241026_mACmChPOLR2A_ActivePolII,78.74344570123404,0.4061620936216475,46.56630550440565,0.6410007986191131,105.41014855382821,1.0949250672050808,0,0.0
76,F19,233.79364262181602,221.7735924180495,627.9204229838138,1794.3057503506311,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,713,232.63210309952092,1743.498538011696,241026_mACmChPOLR2A_ActivePolII,34.70114219778145,0.1789899900950427,56.57318886116511,0.7787489011127553,99.09921512246817,1.029371614276115,30,0.5
77,F20,222.4685383488711,258.75778313023034,550.2687221686806,1798.7092882991556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,829,250.69435483941157,1629.778310940499,241026_mACmChPOLR2A_ActivePolII,71.68533290996228,0.36975604302541687,45.248084588220195,0.6228550460008095,117.16146686235882,1.2169893386745938,0,0.0
78,F21,227.41858522322036,218.86892568481926,588.4956629635312,1703.8145985401459,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,685,249.29940884958174,1619.4487315010572,241026_mACmChPOLR2A_ActivePolII,31.796475464551207,0.16400759364114384,50.19813146256945,0.6909940998787196,115.76652087252899,1.2024996396027636,30,0.5
91,G14,225.5523629035218,267.1112650715485,555.323685328826,1711.661381653454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1766,227.2884350893836,1700.8830865159782,241026_mACmChPOLR2A_ActivePolII,80.03881485128042,0.41284366364071884,48.3319091428709,0.665304924317768,93.75554711233085,0.9738654212255146,0,0.0
92,G15,227.2983009095333,203.6560976116975,573.1366112155489,1790.9622857142858,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1750,236.5070387811594,1739.6664704150721,241026_mACmChPOLR2A_ActivePolII,16.58364739142945,0.0855391694432874,50.0778471488824,0.6893383459961734,102.97415080410664,1.0696216686574231,60,1.0
