,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
61,F04,219.98311114223088,268.3989217086569,453.8812949361031,1767.772667542707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1522,360.91800606880173,1692.9457038902883,241026_mACmChPOLR2A_ActivePolII,81.32647148838888,0.41948545218497585,42.76265738157997,0.5886423076890849,233.82442620290857,1.0785637036706293,0,0.0
62,F05,230.71014419573535,231.89473666331753,481.5669255585158,1758.1056485355648,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,956,298.8594629081621,1775.7590176515732,241026_mACmChPOLR2A_ActivePolII,44.82228644304948,0.23119528921418359,53.48969043508444,0.736303512064842,171.7658830422689,0.7923057910877115,30,0.5
63,F06,216.8740460715161,265.95691086050505,443.69711313085014,1847.5102375102374,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1221,358.7908149205688,1751.1440501043842,241026_mACmChPOLR2A_ActivePolII,78.884460640237,0.40688945476703964,39.65359231086518,0.545844985210959,231.69723505467562,1.0687515929321962,0,0.0
64,F07,224.93840481692507,225.54450797445978,518.0104918947761,1700.7036747458953,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1279,313.60865543034,1674.880361173815,241026_mACmChPOLR2A_ActivePolII,38.472057754191724,0.1984405353896085,47.71795105627416,0.656853585531831,186.51507556444682,0.8603395032674079,30,0.5
81,G04,226.6931638950677,217.69768650608748,504.78465638226817,1738.8340807174889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1115,308.6682776069833,1687.7322421247684,241026_mACmChPOLR2A_ActivePolII,30.625236285819426,0.1579662913749167,49.472710134416786,0.6810084322238699,181.57469774109012,0.8375509850222359,0,0.0
82,G05,220.34370645786566,206.89213085054172,487.764109366755,1709.7678122380553,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1193,300.69118090628047,1709.6062378167642,241026_mACmChPOLR2A_ActivePolII,19.819680630273666,0.1022307686438747,43.12325269721475,0.5936060230364048,173.5976010403873,0.8007549705862481,60,1.0
83,G06,225.35724164007107,273.0752680963358,506.24889896150444,1746.5225375626044,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1198,354.65598116949826,1712.3844315466029,241026_mACmChPOLR2A_ActivePolII,86.00281787606772,0.4436062488100834,48.136787879420154,0.6626190147454987,227.5624013036051,1.049678813937127,0,0.0
84,G07,227.45063240107723,209.75680893957366,519.2405238284347,1740.9040404040404,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1386,293.9257815157888,1738.664154356346,241026_mACmChPOLR2A_ActivePolII,22.684358719305607,0.1170069019440084,50.23017864042632,0.691435240020228,166.83220164989564,0.7695481615205111,60,1.0
101,H04,226.95565032462767,277.1834114788598,503.8895930853317,1745.303317535545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1055,327.19364694720895,1727.0211952744962,241026_mACmChPOLR2A_ActivePolII,90.11096125859174,0.4647962297956085,49.73519656397676,0.6846216458802271,200.10006708131579,0.9230030966426068,0,0.0
102,H05,229.74223926608514,203.4062259121762,522.3496573316472,1751.9859620148638,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1211,283.3240047492432,1698.9232804232804,241026_mACmChPOLR2A_ActivePolII,16.33377569190816,0.08425032042594276,52.521785505434224,0.7229799763844246,156.23042488335005,0.7206452654437264,90,1.5
