,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
65,F08,221.24581102175478,269.61746076790763,499.23905853917574,1869.9556313993173,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,879,517.9811488438953,1735.7464788732395,241026_mACmChPOLR2A_ActivePolII,82.54501054763958,0.4257707292776604,44.02535726110386,0.6060237946338565,390.4353195904372,0.9883549159708258,0,0.0
66,F09,230.5476486610193,224.65062544805664,562.0102000913686,1768.7667638483965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1029,507.8080646472227,1704.269001490313,241026_mACmChPOLR2A_ActivePolII,37.57817522778859,0.19382985071429953,53.3271949003684,0.7340667065807743,380.26223539376457,0.9626025896010862,30,0.5
67,F10,224.0842182168294,265.1721479834328,514.4290807639163,1763.2193548387097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1085,542.9291945459227,1732.5346228239846,241026_mACmChPOLR2A_ActivePolII,78.09969776316476,0.40284161395553175,46.8637644561785,0.6450954207622583,415.38336529246453,1.0515088428218315,0,0.0
68,F11,223.9572156603665,220.14888262449074,532.6334082397453,1745.9071246819337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1572,517.7873883889555,1740.0280948200175,241026_mACmChPOLR2A_ActivePolII,33.076432404222686,0.17060966681349393,46.73676189971559,0.6433471880167662,390.24155913549737,0.9878644273071429,30,0.5
85,G08,226.30841425707473,268.91640540517903,523.265475952485,1733.9608163265307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1225,528.5502458639505,1700.5579761068166,241026_mACmChPOLR2A_ActivePolII,81.84395518491098,0.4221546554402151,49.08796049642382,0.6757122245357041,401.0044166104924,1.0151097162488896,0,0.0
86,G09,225.4674953818989,207.94855928077445,511.49228112142015,1705.7936507936508,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1260,487.40933410441085,1703.3780418788908,241026_mACmChPOLR2A_ActivePolII,20.876109060506394,0.10767987211100975,48.247041621248,0.6641366944453776,359.8635048509527,0.910964880101082,60,1.0
87,G10,221.3597565736338,264.1094343575961,525.2600827210002,1751.871385083714,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1314,511.7100670880604,1744.7887236679057,241026_mACmChPOLR2A_ActivePolII,77.03698413732806,0.3973600911780326,44.13930281298289,0.6075922933361346,384.16423783460226,0.9724801880175861,0,0.0
88,G11,226.71157778816027,206.49907427005022,556.8701320214946,1767.8579545454545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1584,495.1232917102034,1732.1876690102758,241026_mACmChPOLR2A_ActivePolII,19.426624049782163,0.10020336582675754,49.49112402750936,0.6812619056323821,367.57746245674525,0.9304921296574828,60,1.0
105,H08,219.61564007227346,265.2492131725665,497.6741980526587,1805.1304347826087,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1472,527.4110587112992,1736.562074554295,241026_mACmChPOLR2A_ActivePolII,78.17676295229845,0.40323911952929914,42.39518631162255,0.5835839452795989,399.8652294578411,1.012225957618357,0,0.0
106,H09,224.7874271318785,198.4563760828163,521.8921237998699,1737.495145631068,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1236,517.5912503312733,1707.1161137440758,241026_mACmChPOLR2A_ActivePolII,11.383925862548239,0.05871878123684587,47.56697337122759,0.6547753271078434,390.04542107781515,0.9873679199375675,90,1.5
