,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
71,241026_mACmChPOLR2A_ActivePolII,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1367,234.73038205006978,101.19749407301703,1.0511670320083222
72,241026_mACmChPOLR2A_ActivePolII,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1298,264.93887022300464,131.4059822459519,1.3649511542840267
73,241026_mACmChPOLR2A_ActivePolII,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1494,248.0426116846638,114.50972370761104,1.189444931501691
74,241026_mACmChPOLR2A_ActivePolII,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1227,257.86676452270757,124.33387654565482,1.2914911894190213
75,241026_mACmChPOLR2A_ActivePolII,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1060,238.94303653088096,105.41014855382821,1.0949250672050808
76,241026_mACmChPOLR2A_ActivePolII,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,713,232.63210309952092,99.09921512246817,1.029371614276115
77,241026_mACmChPOLR2A_ActivePolII,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,829,250.69435483941157,117.16146686235882,1.2169893386745938
78,241026_mACmChPOLR2A_ActivePolII,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,685,249.29940884958174,115.76652087252899,1.2024996396027636
91,241026_mACmChPOLR2A_ActivePolII,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1766,227.2884350893836,93.75554711233085,0.9738654212255146
92,241026_mACmChPOLR2A_ActivePolII,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1750,236.5070387811594,102.97415080410664,1.0696216686574231
93,241026_mACmChPOLR2A_ActivePolII,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1584,228.28624508757878,94.75335711052603,0.9842299562757034
94,241026_mACmChPOLR2A_ActivePolII,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1432,225.3585877929834,91.82569981593065,0.9538195507880254
