,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,RFP_Intensity,GFP_Intensity,RFP_Intensity_BGS,GFP_Intensity_BGS,RFP_Intensity_FC,GFP_Intensity_FC
61,241026_mACmChPOLR2A_ActivePolII,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1522,219.98311114223088,268.3989217086569,42.76265738157997,81.32647148838888,0.5886423076890849,0.41948545218497585
62,241026_mACmChPOLR2A_ActivePolII,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,956,230.71014419573535,231.89473666331753,53.48969043508444,44.82228644304948,0.736303512064842,0.23119528921418359
63,241026_mACmChPOLR2A_ActivePolII,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1221,216.8740460715161,265.95691086050505,39.65359231086518,78.884460640237,0.545844985210959,0.40688945476703964
64,241026_mACmChPOLR2A_ActivePolII,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1279,224.93840481692507,225.54450797445978,47.71795105627416,38.472057754191724,0.656853585531831,0.1984405353896085
65,241026_mACmChPOLR2A_ActivePolII,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,879,221.24581102175478,269.61746076790763,44.02535726110386,82.54501054763958,0.6060237946338565,0.4257707292776604
66,241026_mACmChPOLR2A_ActivePolII,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1029,230.5476486610193,224.65062544805664,53.3271949003684,37.57817522778859,0.7340667065807743,0.19382985071429953
67,241026_mACmChPOLR2A_ActivePolII,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1085,224.0842182168294,265.1721479834328,46.8637644561785,78.09969776316476,0.6450954207622583,0.40284161395553175
68,241026_mACmChPOLR2A_ActivePolII,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1572,223.9572156603665,220.14888262449074,46.73676189971559,33.076432404222686,0.6433471880167662,0.17060966681349393
71,241026_mACmChPOLR2A_ActivePolII,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1367,222.56839403736157,262.2261348268714,45.34794027671066,75.15368460660332,0.6242295930123389,0.38764595086446185
72,241026_mACmChPOLR2A_ActivePolII,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1298,228.3122749214889,222.72776909009352,51.09182116083798,35.655318869825464,0.7032960380312665,0.18391167457749175
73,241026_mACmChPOLR2A_ActivePolII,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1494,224.32265191680239,262.6787950460206,47.10219815615147,75.60634482575253,0.6483775405363067,0.3899807918238789
74,241026_mACmChPOLR2A_ActivePolII,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1227,221.0855718849246,219.31170579595565,43.86511812427369,32.239255575687594,0.6038180492227574,0.16629147257673838
75,241026_mACmChPOLR2A_ActivePolII,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1060,223.78675926505656,265.8158959215021,46.56630550440565,78.74344570123404,0.6410007986191131,0.4061620936216475
76,241026_mACmChPOLR2A_ActivePolII,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,713,233.79364262181602,221.7735924180495,56.57318886116511,34.70114219778145,0.7787489011127553,0.1789899900950427
77,241026_mACmChPOLR2A_ActivePolII,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,829,222.4685383488711,258.75778313023034,45.248084588220195,71.68533290996228,0.6228550460008095,0.36975604302541687
