,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
65,241026_mACmChPOLR2A_ActivePolII,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,879,517.9811488438953,390.4353195904372,0.9883549159708258
66,241026_mACmChPOLR2A_ActivePolII,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1029,507.8080646472227,380.26223539376457,0.9626025896010862
67,241026_mACmChPOLR2A_ActivePolII,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1085,542.9291945459227,415.38336529246453,1.0515088428218315
68,241026_mACmChPOLR2A_ActivePolII,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1572,517.7873883889555,390.24155913549737,0.9878644273071429
85,241026_mACmChPOLR2A_ActivePolII,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1225,528.5502458639505,401.0044166104924,1.0151097162488896
86,241026_mACmChPOLR2A_ActivePolII,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1260,487.40933410441085,359.8635048509527,0.910964880101082
87,241026_mACmChPOLR2A_ActivePolII,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1314,511.7100670880604,384.16423783460226,0.9724801880175861
88,241026_mACmChPOLR2A_ActivePolII,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1584,495.1232917102034,367.57746245674525,0.9304921296574828
105,241026_mACmChPOLR2A_ActivePolII,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1472,527.4110587112992,399.8652294578411,1.012225957618357
106,241026_mACmChPOLR2A_ActivePolII,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1236,517.5912503312733,390.04542107781515,0.9873679199375675
107,241026_mACmChPOLR2A_ActivePolII,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1552,528.2456530106211,400.699823757163,1.0143386644796146
108,241026_mACmChPOLR2A_ActivePolII,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,2057,487.68124493932777,360.13541568586965,0.9116532000273575
125,241026_mACmChPOLR2A_ActivePolII,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1670,483.6950082902591,356.149179036801,0.901562369637159
126,241026_mACmChPOLR2A_ActivePolII,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1538,490.2037515100231,362.657922256565,0.9180387180494738
127,241026_mACmChPOLR2A_ActivePolII,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1064,536.4940054326457,408.9481761791876,1.0352186905836043
128,241026_mACmChPOLR2A_ActivePolII,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1633,519.6603750872363,392.11454583377815,0.9926057391657515
145,241026_mACmChPOLR2A_ActivePolII,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1764,518.8392855512667,391.2934562978086,0.9905272185027668
146,241026_mACmChPOLR2A_ActivePolII,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1782,487.1295929110426,359.5837636575845,0.9102567382660782
147,241026_mACmChPOLR2A_ActivePolII,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1116,534.524185899905,406.97835664644685,1.030232254364663
148,241026_mACmChPOLR2A_ActivePolII,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1775,508.42832327376146,380.88249402030334,0.9641727233260678
165,241026_mACmChPOLR2A_ActivePolII,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1688,524.0329292639145,396.4871000104564,1.0036745006200227
166,241026_mACmChPOLR2A_ActivePolII,K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1426,503.31634842533003,375.7705191718719,0.9512321792250208
167,241026_mACmChPOLR2A_ActivePolII,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1330,511.6207941822061,384.074964928748,0.9722542009950579
168,241026_mACmChPOLR2A_ActivePolII,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1473,529.8362702323321,402.290440978874,1.0183651812203516
185,241026_mACmChPOLR2A_ActivePolII,L08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1444,499.267049983447,371.7212207299889,0.940981713090281
186,241026_mACmChPOLR2A_ActivePolII,L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1299,505.99236106384467,378.44653181038655,0.9580062852389194
187,241026_mACmChPOLR2A_ActivePolII,L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1073,540.4979587232733,412.9521294698152,1.04535436919552
188,241026_mACmChPOLR2A_ActivePolII,L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1040,518.134561155207,390.58873190174893,0.9887432666257164
205,241026_mACmChPOLR2A_ActivePolII,M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1357,522.8096864562366,395.26385720277847,1.0005779620085502
