,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
61,241026_mACmChPOLR2A_ActivePolII,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1522,360.91800606880173,233.82442620290857,1.0785637036706293
62,241026_mACmChPOLR2A_ActivePolII,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,956,298.8594629081621,171.7658830422689,0.7923057910877115
63,241026_mACmChPOLR2A_ActivePolII,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1221,358.7908149205688,231.69723505467562,1.0687515929321962
64,241026_mACmChPOLR2A_ActivePolII,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1279,313.60865543034,186.51507556444682,0.8603395032674079
81,241026_mACmChPOLR2A_ActivePolII,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1115,308.6682776069833,181.57469774109012,0.8375509850222359
82,241026_mACmChPOLR2A_ActivePolII,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1193,300.69118090628047,173.5976010403873,0.8007549705862481
83,241026_mACmChPOLR2A_ActivePolII,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1198,354.65598116949826,227.5624013036051,1.049678813937127
84,241026_mACmChPOLR2A_ActivePolII,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1386,293.9257815157888,166.83220164989564,0.7695481615205111
101,241026_mACmChPOLR2A_ActivePolII,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1055,327.19364694720895,200.10006708131579,0.9230030966426068
102,241026_mACmChPOLR2A_ActivePolII,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1211,283.3240047492432,156.23042488335005,0.7206452654437264
